name,place_category,frequency
Aaloorinmäki,elevation,2
Aavasaksa,populated place,2
Ahlaistenjoki,stream,2
Ahokaarre,concave shoreline,2
Ahokas,island,2
Ahonalus,elevation,2
Ahtaanmaa,populated place,2
Ahteri,populated place,2
Ahvensalmi,populated place,4
Aibutsaari,island,2
Aitamännikkö,populated place,2
Aittakallio,convex shoreline,2
Aittolamminperä,populated place,2
Aivusperä,populated place,2
Akalauttapää,elevation,2
Akonniemenlahti,basin,2
Alainen Tuhkio,basin,2
Alajärvi,basin,4
Alakääntä,populated place,2
Alasotkamo,populated place,4
Alaspää,populated place,4
Alatemmes,populated place,2
Alatie,populated place,2
Alavo,populated place,2
Aleksinmäki,populated place,2
Alhonjoki,populated place,2
Alhostenmäki,elevation,4
Alilammi,populated place,2
Alilampi,populated place,2
Alitalonperä,populated place,2
Alkkia,populated place,2
Alperi,populated place,2
Ammejärvi,basin,2
Angesselkä,populated place,2
Annalanmäki,populated place,2
Annankulma,populated place,2
Annanolli,populated place,2
Annikkala,populated place,4
Anola,populated place,6
Antbacka,populated place,2
Antilla,populated place,2
Antinjärvet,basin,2
Antinjärvi,basin,2
Anttikallio,elevation,4
Anttosenmäki,elevation,4
Apessiinia,populated place,2
Arabiastranden,populated place,2
Arentinmatala,underwater elevation,1
Arola,populated place,14
Aronperä,populated place,2
Arrakoski,populated place,2
Arvenniemi,convex shoreline,2
Asikaisenniemi,convex shoreline,4
Asola,populated place,4
Aspö,populated place,2
Asuntalamminsuo,marsh,2
Atinsaari,island,2
Auermavaara,elevation,2
Aukeissuo,marsh,2
Aunioniemi,convex shoreline,2
Aurekoski,populated place,2
Autionharju,elevated area,4
Autionlahti,concave shoreline,14
Autioranta,populated place,2
Autiosaari,elevation,2
Auvisensaari,island,6
Degelkil,concave shoreline,2
Eanta,stream,2
Ehättävä,elevation,2
Eitikanranta,populated place,2
Ellenkari,island,2
Ellola,populated place,4
Elämäistenjoki,stream,4
Enanniemi,populated place,4
Enkelinsaari,island,2
Enonkoski,stream,2
Ensimmäinen Matomäki,elevation,2
Ensimmäinenlompolo,basin,2
Epilä,populated place,2
Epuskeri,island,2
Erkin Uuni,elevation,2
Erkkilänluoma,stream,2
Esalankoski,stream,2
Etelä Vartsala,populated place,2
Eteläkangas,elevation,2
Etelälahdenkylä,populated place,2
Etelälammi,basin,2
Etseri,populated place,2
Etu Vetka,populated place,2
Fatijärvi,basin,2
Fiinanmäki,elevation,2
Filpus,populated place,2
Finnilänlahti,concave shoreline,2
Flaka,populated place,2
Formu,populated place,2
Frustila,populated place,2
Fäboda,populated place,2
Färdis Brännan,populated place,2
Haapaharju,populated place,2
Haapakallionmäki,elevation,2
Haapasaari,populated place,12
Haapasalmi,populated place,2
Haapasalo,island,6
Haaponiemi,convex shoreline,20
Haarahiltunen,populated place,2
Haarakarinlahti,strait,2
Haaralanjärvi,basin,1
Haarankylä,populated place,4
Haavikonlampi,basin,2
Haaviluoto,elevation,2
Habram,populated place,2
Haidus,island,2
Haikarasuo,marsh,2
Haikkoniemi,populated place,2
Haimistaho,elevation,2
Haisuluoma,stream,2
Hakalaisvuori,elevation,2
Hakanpää,populated place,2
Hakoapaja,concave shoreline,2
Hakolahti,populated place,2
Halijoensuo,marsh,2
Halikko,populated place,2
Halisensaari,island,2
Hallavaara,populated place,4
Halmeniemi,populated place,2
Haloja,stream,2
Halslahti,populated place,4
Halssilanrinne,populated place,2
Halttu,populated place,2
Haltunniemi,convex shoreline,2
Hamarinperä,populated place,2
Hamnskärinselka,strait,2
Hampaistensalmi,strait,2
Hamussuo,marsh,2
Hanganmaa,populated place,2
Hangaslamminjoki,stream,2
Hanhijärvi,populated place,6
Hanhikoski,populated place,8
Hanhisaari,island,2
Hanhisalo,populated place,2
Hankainjoki,stream,2
Hankala,populated place,6
Hankasalmen Asema,populated place,2
Hannijärvi,basin,1
Harakansärkät,elevated area,2
Haraniemi,convex shoreline,2
Haravaniemi,convex shoreline,2
Harhalainen,elevation,2
Haripuro,stream,2
Hariya Pula,populated place,2
Harjakangas,populated place,4
Harjukari,island,2
Harjulansalmi,strait,2
Harola,populated place,6
Harrijokka,stream,2
Harttusenmäki,elevation,2
Haudansyvä,basin,2
Hauensuolenmäki,elevation,2
Haukankallio,elevation,18
Haukivaara,populated place,4
Haukkalanoja,stream,2
Haukkarannanlahti,basin,2
Hautalampi,populated place,2
Hautalanloukko,populated place,2
Hautamäki,populated place,12
Heikkilä,populated place,2
Heikkuri,populated place,4
Heinolahti,concave shoreline,2
Heinäahonlähde,basin,2
Heinäjärvet,basin,10
Heinäkulma,populated place,2
Heinälampi,elevation,2
Heinämaankulma,populated place,2
Heinäsuonkalliot,elevated area,6
Heinäsuonvuori,elevation,2
Heiskalankalliot,elevated area,2
Heiskilä,populated place,2
Heivataja,populated place,2
Helanen,populated place,2
Heljämäki,populated place,2
Helppäänlampi,basin,2
Heponotkonsuot,marsh,2
Herajärvi,populated place,2
Herkolankulma,populated place,2
Herola,populated place,2
Heronniittu,marsh,2
Herranlahja,convex shoreline,2
Herttuanvuori,elevation,2
Hetta,populated place,4
Hetteilänniityt,marsh,2
Hevonkoski,populated place,2
Hevonpäänlahti,concave shoreline,2
Hevosaho,populated place,4
Hevoshaankärki,convex shoreline,4
Hevosjärvi,basin,2
Hevoskumpu,populated place,2
Hevoslamminsuo,marsh,2
Hevossaari,populated place,4
Hevossalo,populated place,4
Hiekannoro,shoreline,2
Hiekanpohja,concave shoreline,4
Hiekkasaari,convex shoreline,2
Hiekkasärkät,populated place,1
Hieralahti,populated place,2
Hietakasanmäki,elevation,2
Hietamies,populated place,4
Hietasalmi,populated place,2
Hiidensalmi,populated place,2
Hiirenjärvi,populated place,2
Hiirensaparo,concave shoreline,2
Hiitoperä,populated place,2
Hiittenharju,elevation,2
Hiltikansalmi,strait,2
Himmaala,populated place,2
Hinnosaari,island,2
Hintikanjoki,stream,2
Hinttinen,populated place,2
Hipsunsalmi,strait,2
Hirsilä,populated place,2
Hirsirannanniemi,convex shoreline,2
Hirsisuo,populated place,2
Hirvasjoki,stream,6
Hirvensalmi,populated place,2
Hirvensorkka,basin,2
Hirvikalliot,elevated area,2
Hirvolanvaara,elevated area,2
Hitis,populated place,2
Hohonmäki,elevation,4
Hoiluansärkkä,elevated area,2
Holinoja,stream,4
Holja,populated place,2
Hollolan Kirkonseutu,populated place,2
Holmisperä,populated place,2
Holstilanlahti,concave shoreline,2
Holsveri,populated place,2
Holtinlahti,basin,2
Homa,island,2
Hongikkoniemi,convex shoreline,6
Honkasalmi,strait,16
Honkassuo,marsh,6
Honkasuonkallio,elevation,2
Honkimaa,populated place,1
Hopiala,populated place,2
Horkanvuori,elevation,2
Hornean,marsh,2
Horonkylä,populated place,4
Hosiolampi,basin,4
Hotinjoki,stream,2
Houkanmäki,elevation,2
Hovi,populated place,12
Hovilanmäki,populated place,2
Hovinluhta,marsh,2
Huhkaankylä,populated place,2
Huhmari,populated place,4
Huhtalahti,concave shoreline,4
Huhtalanniemi,convex shoreline,2
Huhtalansaaret,island,1
Huhtanen,populated place,2
Huhtijärvi,populated place,2
Huhtmaanfäärtti,strait,2
Huhtsaarenmäki,elevation,2
Huikkemjäävrih,basin,2
Hujajärvi,basin,4
Hujalamminsaari,elevation,2
Hujalanlahti,concave shoreline,2
Hulkkionjoki,stream,2
Humalasalmi,strait,2
Humla,populated place,2
Huokauskallio,elevation,2
Huokausvaara,populated place,2
Huonokkaanlahti,concave shoreline,2
Huosiaisenpuro,stream,4
Hurjanhaka,populated place,2
Hurrilakso,marsh,2
Hurtanlahti,concave shoreline,4
Huruslahti,populated place,2
Hussinperä,concave shoreline,2
Husunkylä,populated place,2
Huttula,populated place,12
Huuhkaispuro,stream,2
Huuhtlampi,basin,2
Hyljemäki,populated place,2
Hyppeis,populated place,2
Hyttikoski,populated place,2
Hyttyispussinmäki,elevation,2
Hyttyssuo,marsh,6
Hytölä,populated place,4
Hyvinge,populated place,2
Hyvälahti,basin,2
Hyväluoma,populated place,2
Hyypiänniemi,convex shoreline,2
Hyypiöjärvi,basin,2
Hyypiönkallio,elevation,6
Hyyrylä,populated place,8
Hyökönsuo,marsh,2
Hällinsaari,convex shoreline,2
Hälvänmäki,populated place,2
Häpeänsuo,marsh,4
Härkänotko,depression,4
Härkökoski,stream,2
Härkönen,populated place,2
Härmäniemi,populated place,2
Häränkärki,convex shoreline,2
Häähkäjärvi,basin,2
Högback Jutt,elevation,2
Hörönniitty,marsh,2
Hötervarpet,strait,2
Höykkylä,populated place,2
Höykönmäki,elevation,2
Iattbole,populated place,2
Ierikanmäki,elevation,2
Ihakanselkä,basin,2
Ihalanpuro,stream,2
Ihamonmäki,elevation,2
Ihanteenlahti,concave shoreline,2
Ihantola,populated place,4
Iijärven Uulan,basin,2
Iisa,populated place,2
Iisakkiniemi,convex shoreline,2
Iittala,populated place,2
Iivonniemi,convex shoreline,2
Ikolanlahti,concave shoreline,2
Ikolanvaara,populated place,2
Ilbisjävri,basin,2
Ilja,elevation,2
Iljana,populated place,2
Ilkonsaari,island,6
Illevaara,populated place,2
Ilmojärvi,basin,2
Ilmoniemi,populated place,2
Ilosaari,island,18
Ilpois,populated place,2
Iltasenmäki,populated place,2
Ilveslaki,elevation,2
Ilvessalo,populated place,2
Imarrekivi,elevation,2
Immilänhaara,concave shoreline,2
Impola,populated place,4
Ina,populated place,2
Inari,populated place,4
Inkerinkylä,populated place,2
Inuräme,marsh,1
Iskoinen,populated place,2
Iskolanvuori,elevation,2
Isoajos,marsh,2
Isonkivenjärvi,basin,4
Isonmetsänmäki,elevation,2
Isopuoli,populated place,2
Istanmäki,elevation,2
Itäkankare,populated place,2
Itälahti,marsh,2
Itävaara,elevation,8
Jaakkolankylä,populated place,4
Jaaninniemi,convex shoreline,2
Jakela,populated place,2
Jankinsuo,marsh,2
Jaskankari,elevation,2
Jeageloaivi,elevation,6
Jero,populated place,2
Joenniskanlahti,concave shoreline,2
Joenpohjanmäki,elevation,2
Joenpolvi,depression,2
Joensuunlahti,concave shoreline,2
Jofs,populated place,2
Jokikokko,populated place,2
Jokilamminniittu,marsh,2
Jokiniemensuo,marsh,2
Jokipohja,populated place,4
Jokipolvi,convex shoreline,4
