name,frequency,place_type,place_category
Abries Rivière,1,river,stream
Ache Rivière,1,river,stream
Aff,1,river,stream
Agout,1,river,stream
Agréau,1,river,stream
Aignerville,1,populated place,populated place
Aigre,1,river,stream
Aigues,1,river,stream
Aiguille de Beranger,1,peak,elevation
Aiguille de Chambeyron,1,peak,elevation
Aiguille de la Sanssaz,1,peak,elevation
Aiguille de Plovezan,1,peak,elevation
Aiguille de Scolotte,1,mountain,elevation
Aiguille de Terassin,1,peak,elevation
Aiguille de Varans,1,peak,elevation
Aiguille des Grands Charmoz,1,peak,elevation
Aiguille des Grands Montets,1,peak,elevation
Aiguille du Borgne,1,peak,elevation
Aiguille du Géant,1,peak,elevation
Aiguille du Marinet,1,peak,elevation
Aiguille Rousse,1,peak,elevation
Aiguillon,1,river,stream
Ailleux,1,populated place,populated place
Aillon-le-Jeune,1,populated place,populated place
Ailly-le-Haut-Clocher,1,populated place,populated place
Aingeville,1,populated place,populated place
Ainson,1,river,stream
Aizenay,1,populated place,populated place
Ajara,1,river,stream
Al Leue Bihan,1,rocks,elevation
Alauzène,1,river,stream
Albo,1,populated place,populated place
Alène,1,river,stream
Alisse,1,river,stream
Almont,1,river,stream
Alps,2,mountains,elevated area
Alquines,1,populated place,populated place
Alto de Aintziaga,1,peak,elevation
Alzett,1,river,stream
Ameysin,1,populated place,populated place
Ampuis,1,populated place,populated place
An Arrou Doun,1,rocks,elevation
An Dréaliou,1,rocks,elevation
Anciens Marais de Saint-Michel,1,marsh,marsh
Ancier,1,populated place,populated place
Ancretiéville-Saint-Victor,1,populated place,populated place
Andlau,1,river,stream
Angouts,1,river,stream
Anisy,1,populated place,populated place
Anse d’Acône,1,cove,concave shoreline
Anse d’Arbitru,1,cove,concave shoreline
Anse d’Ecalgrain,1,cove,concave shoreline
Anse de Bause,1,cove,concave shoreline
Anse de l’Aiguillon,1,bay,concave shoreline
Anse de la Figiera,1,cove,concave shoreline
Anse de Lesconil,1,bay,concave shoreline
Anse de Porsmoguer,1,cove,concave shoreline
Anse de Sainte-Anne,2,bay,concave shoreline
Anse du Camp Long,1,cove,concave shoreline
Anse du Moulin Blanc,1,cove,concave shoreline
Anse du Repos,1,bay,concave shoreline
Anse du Saillant,1,cove,concave shoreline
Anteine Rivière,1,river,stream
Antichan,2,populated place,populated place
Apance,1,river,stream
Apinac,1,populated place,populated place
Ar C’helleg,1,rock,elevation
Ar C’héo Braz,1,reef,underwater elevation
Ar Moudennou,1,rocks,elevation
Ar-Vaz-Du,1,rock,elevation
Archipel des Lavezzi,1,islands,island
Ardanavy,1,river,stream
Ardière Rivière,1,river,stream
Argaray,1,mountain,elevation
"Argentière, Col d’",1,pass,depression
Aries-Espénan,1,populated place,populated place
Arignac,1,populated place,populated place
Aron,2,river,stream
Arpeix,1,populated place,populated place
Arraggio,1,populated place,populated place
Arrayou,1,populated place,populated place
Arsaillier,1,populated place,populated place
Arsure-Arsurette,1,populated place,populated place
Artuby,1,river,stream
Arvière,1,river,stream
Asfeld-la-Ville,1,populated place,populated place
Asnières-sur-Nouère,1,populated place,populated place
Aspres,1,mountains,elevated area
Astet,1,populated place,populated place
Athas,1,populated place,populated place
Attignéville,1,populated place,populated place
Aubazat,1,populated place,populated place
Aubepierre,2,populated place,populated place
Aubussargues,1,populated place,populated place
Aucey,1,populated place,populated place
Augrogne,1,river,stream
Aulon,3,populated place,populated place
Aunaie,1,river,stream
Aunois,1,river,stream
Aups,2,populated place,populated place
Aure,1,river,stream
Aussonne,1,populated place,populated place
Authézat,1,populated place,populated place
Autise,1,river,stream
Auxange,1,populated place,populated place
Auxence,1,river,stream
Avance,1,river,stream
Avant-lès-Marcilly,1,populated place,populated place
Avrechy,1,populated place,populated place
Ayat,1,populated place,populated place
Bachant,1,populated place,populated place
Bagil,1,populated place,populated place
Bagnères-de-Bigorre,1,populated place,populated place
Baie de Cavalas,1,bay,concave shoreline
Baie de Cupabia,1,bay,concave shoreline
Baie de la Mauresque,1,cove,concave shoreline
Baie de Liscia,1,bay,concave shoreline
Baie de Macinaggio,1,bay,concave shoreline
Baie de Pero,1,bay,concave shoreline
Baie de Saint Joseph,1,bay,concave shoreline
Baie de Saint-Brieuc,1,bay,concave shoreline
Baie de Saint-Mandrier,1,cove,concave shoreline
Baie de Saint-Raphaël,1,bay,concave shoreline
Baie de Stagnolu,1,cove,concave shoreline
Baie du Mont-Saint-Michel,1,bay,concave shoreline
Baisses,1,marsh,marsh
Baixas,1,populated place,populated place
"Balme, Col de",1,pass,depression
Balomier,1,populated place,populated place
Balsac,1,populated place,populated place
Banc du Cardonnet,1,shoal,underwater elevation
Banc du Chatelier,1,shoal,underwater elevation
Baranciascolie,1,populated place,populated place
Barbaste,1,populated place,populated place
Barbefer,1,populated place,populated place
Barmainville,1,populated place,populated place
Bartherans,1,populated place,populated place
Bas-Lieu,1,populated place,populated place
Basse Capella,1,rock,elevation
Basse Coton,1,reef,underwater elevation
Basse de l’Iroise,1,rock,elevation
Basse des Chats,2,shoal,underwater elevation
Basse du Joubert,1,shoal,underwater elevation
Basse du Nord-Ouest,1,shoal,underwater elevation
Basse du Turc,1,shoal,underwater elevation
Basse Ferrec,1,shoal,underwater elevation
Basse Kaléri,1,reef,underwater elevation
Basse Laye,1,shoal,underwater elevation
Basse Lédan,1,reef,underwater elevation
Basse Ler,1,reef,underwater elevation
Basse Ruelle,1,shoal,underwater elevation
Basse Saint-Louis,1,reef,underwater elevation
Basse Saint-Modé,1,shoal,underwater elevation
Basse Wenn,1,shoal,underwater elevation
"Basse, Col de la",1,pass,depression
Bassin d’Aquitaine,1,depression,depression
Bassin Parisien,1,depression,depression
Bassurelle,1,shoal,underwater elevation
Baudribosc,1,populated place,populated place
Baune,1,river,stream
Bazeü Trèz,1,islands,island
Béard,1,populated place,populated place
Beaulieu-sous-la-Roche,1,populated place,populated place
Beaurepaire,11,populated place,populated place
Beauvilliers,4,populated place,populated place
Bec de Jus,1,mountain,elevation
Becoinson,1,populated place,populated place
Becque Rouge,1,peak,elevation
Beg er Goalennec,1,point,convex shoreline
Beg er Skeul,1,point,convex shoreline
Beg er Vil,1,point,convex shoreline
Beg or Gador,1,point,convex shoreline
Beg Run er Vilin,1,point,convex shoreline
Béguélan,1,rock,elevation
Belle-Île,2,island,island
Bellechaume,1,populated place,populated place
Bellenod-sur-Seine,1,populated place,populated place
Bellonne,1,populated place,populated place
Benoîte-Vaux,1,populated place,populated place
Bens,1,river,stream
Berbérust,1,populated place,populated place
Berchères,3,populated place,populated place
Bergères,3,populated place,populated place
Bergesserin,1,populated place,populated place
Berghe-Supérieur,1,populated place,populated place
Berlaimont,1,populated place,populated place
Bertignat,1,populated place,populated place
Bétahon,1,populated place,populated place
Betbezer,1,populated place,populated place
Beune,1,river,stream
Beuzeville-la-Grenier,1,populated place,populated place
Bidouze,1,river,stream
Biesme,1,river,stream
Bigny,2,populated place,populated place
Bionne,2,river,stream
Bist,1,river,stream
Bisten,1,populated place,populated place
Blac Meyanne,1,mountain,elevation
Blancheville,1,populated place,populated place
Blanzac-lès-Matha,1,populated place,populated place
Blau,1,river,stream
Bléneau,1,populated place,populated place
Blies Bach,1,river,stream
Bocca d’Aresia,1,pass,depression
Bocca d’Osini,1,pass,depression
Bocca di Belle Valle,1,pass,depression
Bocca di Capronale,1,pass,depression
Bocca di Gradello,1,pass,depression
Bocca di Granaccia,1,pass,depression
Bocca di l’Usciolu,1,pass,depression
Bocca di Monte Bracciutu,1,pass,depression
Bocca di Rapari,1,pass,depression
Bocca di San Martino,1,pass,depression
Bocca Pazzara,1,pass,depression
Bocca San Bastiano,1,pass,depression
Boëme,1,river,stream
Boisdinghem,1,populated place,populated place
Boisset-Saint-Priest,1,populated place,populated place
Boissy-le-Sec,1,populated place,populated place
Bonne Source,1,populated place,populated place
Bonnenn Sant Stinen,1,rocks,elevation
Bordes-Bricard,1,populated place,populated place
Bordessoule,1,populated place,populated place
Bordeville,1,populated place,populated place
Bordigue Michel,1,inlet,basin
Borrant Torrent,1,river,stream
Bosancon Rivière,1,river,stream
Boscodon,1,river,stream
Bossieu,1,populated place,populated place
Botticola,1,populated place,populated place
Bouchot,1,river,stream
Bouessay,1,populated place,populated place
Bouëx,1,populated place,populated place
Bouhet,1,populated place,populated place
Bouillé-Saint-Paul,1,populated place,populated place
Boulc,1,populated place,populated place
Bourdigue de Châteauneuf,1,inlet,basin
Bourgogne,2,populated place,populated place
Bourriot,1,populated place,populated place
Boury,1,populated place,populated place
Bousquet-d’Orb,1,populated place,populated place
Boussenois,1,populated place,populated place
Bousson-le Haut,1,populated place,populated place
Boutillon,1,populated place,populated place
Bouville,5,populated place,populated place
Bouyssou,1,populated place,populated place
Bras de Mézy,1,river,stream
Bras du Cours-la-Reine,1,river,stream
Bras du Cours-le-Reine,1,river,stream
Brassioux,1,populated place,populated place
Braye-sous-Faye,1,populated place,populated place
Braysse,1,river,stream
Brecha de Rolando,1,pass,depression
Brecha de Roldán,1,pass,depression
Brechottière,1,populated place,populated place
Brédannaz,1,populated place,populated place
Brégegere,1,populated place,populated place
Brémontier-Merval,1,populated place,populated place
"Bretolet, Col de",1,pass,depression
Brévonne,1,river,stream
Brezons,2,populated place,populated place
Briance,1,river,stream
Briarres,1,populated place,populated place
Brommes,1,populated place,populated place
Brousse-le-Château,1,populated place,populated place
Bruch,1,populated place,populated place
Brueil,1,populated place,populated place
Brueschbach,1,river,stream
Brunstatt,1,populated place,populated place
Budange,1,populated place,populated place
Bufega,1,river,stream
Bulainville,1,populated place,populated place
Bullecourt,1,populated place,populated place
Burelles,1,populated place,populated place
Burgundy Gate,1,pass,depression
Burthecourt-aux-Chênes,1,populated place,populated place
Bussin,1,populated place,populated place
Cabaneta,1,peak,elevation
Cabariot,1,populated place,populated place
Cailly,2,populated place,populated place
Caisnes,1,populated place,populated place
Cala di Copabia,1,bay,concave shoreline
Cala di u Commissariu,1,cove,concave shoreline
Cala Fiumara,1,cove,concave shoreline
Calanque de Tardieu,1,cove,concave shoreline
Cambronne-lès-Clermont,1,populated place,populated place
Campretti,1,populated place,populated place
Canne,2,river,stream
Canterrane,1,river,stream
Cap Blanc,1,cape,convex shoreline
Cap Corse,1,peninsula,convex shoreline
Cap d’Agde,1,cape,convex shoreline
Cap de Carterat,1,cape,convex shoreline
Cap de Muro,1,cape,convex shoreline
Cap de Saint-Hospice,1,point,convex shoreline
Cap de Saint-Tropez,1,cape,convex shoreline
Cap du Pinet,1,cape,convex shoreline
Cap l’Abeille,1,cape,convex shoreline
Cap Laisset,1,cape,convex shoreline
Cap Lardier,1,cape,convex shoreline
Cap Saint-Mathieu,1,point,convex shoreline
Cap Senino,1,cape,convex shoreline
Cape Nice,1,cape,convex shoreline
Capeluco-cascoa,1,pass,depression
Capo al Ceppo,1,peak,elevation
Capo alla Vorba,1,peak,elevation
Capo alli Sorbi,1,mountain,elevation
Capo Bianco,1,peak,elevation
Capo dello Vinillo,1,peak,elevation
Capo di Lino,1,mountain,elevation
Capo di Vegno,1,mountain,elevation
Capo Facciata,1,mountain,elevation
Capo Sant’Angelo,1,peak,elevation
Capo Tafonato,1,mountain,elevation
Capo Tibani,1,mountain,elevation
Capu a a Forcella,1,mountain,elevation
Capu a Chiostru,1,mountain,elevation
Capu a e Forbice,1,peak,elevation
Capu a e Macenule,1,peak,elevation
Capu a i Sorbi,1,mountain,elevation
Capu a Meta,1,mountain,elevation
Capu a u Celu,1,peak,elevation
Capu di a Pulmunaccia,1,peak,elevation
Capu di Acciaju,1,point,convex shoreline
Capu di Bagliu,1,peak,elevation
Capu di Calazzu,1,mountain,elevation
Capu di Luogo,1,peak,elevation
Capu Falu,1,mountain,elevation
Capu Rossu,2,peak,elevation
Capu Sorru,1,mountain,elevation
Caramany,1,populated place,populated place
Caranoet Rocher,1,hill,elevation
Carnel,1,populated place,populated place
Cartels,1,populated place,populated place
Castellu d’Ornucciu,1,peak,elevation
Catalans Bay,1,cove,concave shoreline
Cauquenas,1,populated place,populated place
Cauroy-lès-Hermonville,1,populated place,populated place
Cavatte,1,river,stream
Cavron-Saint-Martin,1,populated place,populated place
Cébron,1,river,stream
Ceilloux,1,populated place,populated place
Celle-Lévescault,1,populated place,populated place
Cèze,1,river,stream
Chablanc,1,populated place,populated place
Chadrac,1,populated place,populated place
Chaîne de la Sainte-Baume,1,mountains,elevated area
Chalaronne,1,river,stream
Châlets-les Ayes,1,populated place,populated place
Chalvasson,1,populated place,populated place
Chamagne,1,populated place,populated place
Chamblanc,1,populated place,populated place
Chambon-le-Château,1,populated place,populated place
Chamborne,1,populated place,populated place
Champ d’Ariette,1,populated place,populated place
Champagny-sous-Uxelles,1,populated place,populated place
Champceaux,1,populated place,populated place
Champigneulles-en-Bassigny,1,populated place,populated place
Champignol-lès-Mondeville,1,populated place,populated place
Changeon,1,river,stream
Chantenay-sur-Loire,1,populated place,populated place
Chanteuges,1,populated place,populated place
Chapelle-Sainte-Thecle,1,populated place,populated place
Charatelle,1,river,stream
Charigny,1,populated place,populated place
Chârost,1,populated place,populated place
Charras,1,shoal,underwater elevation
Château-Vieux,1,populated place,populated place
Châteauneuf-Villevieille,1,populated place,populated place
Châteaupanne,1,populated place,populated place
Châteauvilain,1,populated place,populated place
Chatenet,2,populated place,populated place
Châteneuf les Martiques,1,populated place,populated place
Chauffailles,1,populated place,populated place
Chaunay,1,populated place,populated place
Chaussée du Béniguet,1,bank,underwater elevation
Chaux,1,river,stream
"Chavanette, Pas de",1,pass,depression
Chavannes-les-Grands,1,populated place,populated place
Chavonnier,1,populated place,populated place
Chedde,1,populated place,populated place
Chenal de Richard,1,populated place,populated place
Chenevey,1,populated place,populated place
Cheniménil,1,populated place,populated place
Chestres,1,populated place,populated place
Chez Rigaud,1,populated place,populated place
