name,frequency,place_type,place_category
Abanais-Tskali,1,river,stream
Abano,1,glacier,glacier
Abasha,1,river,stream
Achis-Tskali,1,river,stream
Achkvistavi,1,river,stream
Adedi,1,river,stream
Adezi,1,river,stream
Adigeni,1,populated place,populated place
Adishch’ala,1,river,stream
Adjaris-Tskhali,1,river,stream
Adzharistskali,1,river,stream
Adzharo-Ime,1,mountains,elevated area
Adzula,1,river,stream
Ag-Kerpi,1,river,stream
Agapas-Kedi,1,ridge,elevated area
Aglagla,1,populated place,populated place
Agori,1,river,stream
Agrai,1,populated place,populated place
Akavreta,1,river,stream
Akhadis-Tskali,1,river,stream
Akhaldaba,9,populated place,populated place
Akhali Burguli,1,populated place,populated place
Akhalkalaki,1,river,stream
Akhalkalakskoye Plato,1,upland,elevation
Akhalsheni,1,mountain,elevation
Akhalsop’eli,7,populated place,populated place
Akhaltsykha,1,populated place,populated place
Akhatnis-Khevi,1,river,stream
Akhayeti,1,river,stream
Akho,3,populated place,populated place
Akhuk-Dara,1,pass,depression
Akhun-Dara,1,pass,depression
Akhuni,1,mountain,elevation
Akneli,1,populated place,populated place
Akuba,1,river,stream
Akushos-Khevi,1,river,stream
Alatovani,1,river,stream
Alaznis Vake,1,plain,area
Alegti,1,river,stream
Aleura,1,river,stream
Alevi,1,river,stream
Alevis K’edi,1,mountains,elevated area
Amali,1,river,stream
Anakliya,1,populated place,populated place
Andak’i,2,river,stream
Andak'i Ughelt'ekhili,1,pass,depression
Andaki,1,populated place,populated place
Andakis-Tskali,1,river,stream
Andriani,1,mountain,elevation
Aniskhevi,1,river,stream
Ant’oria,1,populated place,populated place
Antoria,1,populated place,populated place
Apeni,1,populated place,populated place
Aradeti,1,populated place,populated place
Aragva,1,river,stream
Aragvisp’iri,1,populated place,populated place
Arakali,1,populated place,populated place
Arakhlo,1,populated place,populated place
Archilosmt’a,1,mountain,elevation
Ardesti,1,populated place,populated place
Ardisubani,1,populated place,populated place
Ardzhaniskhevi,1,river,stream
Ardzhevani,1,mountain,elevation
Arguni,1,populated place,populated place
Arkala,1,river,stream
Arkhiloskalo,1,mountain,elevation
