place_category,beginning
basin,Kha
depression,Sak
depression,Nak
elevation,Chi
elevation,Gor
elevation,Did
elevation,Kor
elevation,Dik
elevation,Eli
elevation,Akh
elevation,Tse
elevation,Sab
elevation,Mak
elevation,Sat
elevation,Kva
elevation,Kha
elevation,Dzh
elevation,Ts’
elevation,Saka
elevation,Shua
elevation,Kara
elevation,Nats
elevation,Same
elevation,Tsiv
elevation,Sako
elevation,Char
elevation,Tsit
elevation,Bashk
elevation,Shavik
populated place,Sam
populated place,Kva
populated place,K’o
populated place,Sha
populated place,Cha
populated place,Var
populated place,K’a
populated place,Sak
populated place,Khu
populated place,Tsk
populated place,Kho
populated place,Kor
populated place,Sar
populated place,Ara
populated place,Bak
populated place,Mar
populated place,Kha
populated place,Kas
populated place,Mag
populated place,Gom
populated place,Dzh
populated place,San
populated place,Vak
populated place,Q’v
populated place,Zan
populated place,Ban
populated place,K’u
populated place,Muk
populated place,Kar
populated place,Gvi
populated place,Nad
populated place,Chi
populated place,Zar
populated place,Ts’i
populated place,Nak’
populated place,Mach
populated place,K’ve
populated place,Tsik
populated place,Tetr
populated place,Gant
populated place,Shua
populated place,Tsal
populated place,Akhal
populated place,Ts’q’
populated place,Gamog
populated place,Medzh
populated place,Ch’al
populated place,Chkha
stream,Kho
stream,Kha
stream,Sam
stream,Dzh
stream,Shu
stream,Tsa
stream,Kak
stream,Cho
stream,Tas
stream,Deb
stream,Mat
stream,Bzh
stream,Chu
stream,Khi
stream,Ale
stream,Dig
stream,Ch’
stream,Kva
stream,Gor
stream,Kve
stream,Skur
stream,Tskh
stream,Akha
stream,Shar
stream,Khev
stream,Kaba
stream,Cher
stream,Tsin
stream,Chan
stream,Saka
stream,Tsiv
stream,Bakh
stream,Pirik
stream,Macha
stream,Chkho
stream,Shavts
