name,place_category,frequency
Abanais,stream,1
Abano,glacier,1
Abasha,stream,1
Abuli,basin,1
Abuli,elevation,3
Achabeti,populated place,1
Achis,stream,1
Achkvistavi,stream,1
Ach’apara,glacier,2
Adedi,stream,1
Adezi,stream,1
Adigeni,populated place,1
Adishch’ala,stream,1
Adishi,glacier,1
Adjaris,stream,1
Adzharistskali,stream,1
Adzharo Ime,elevated area,1
Adzula,stream,1
Adzvisi,populated place,2
Ag Kerpi,stream,1
Agapas,elevated area,1
Agara,populated place,1
Aghvi,populated place,1
Aglagla,populated place,1
Agori,stream,1
Agrai,populated place,1
Akavreta,stream,1
Akhadis,stream,1
Akhaldaba,populated place,9
Akhali Burguli,populated place,1
Akhalkalaki,stream,1
Akhalkalakskoye Plato,elevation,1
Akhalsheni,elevation,1
Akhalsheni,populated place,2
Akhalsop’eli,populated place,7
Akhaltsykha,populated place,1
Akhatnis,stream,1
Akhayeti,stream,1
Akhieli,glacier,1
Akho,populated place,3
Akhuk,depression,2
Akhun,depression,1
Akhuni,elevation,2
Akneli,populated place,1
Akuba,stream,1
Akushos,stream,1
Alatovani,stream,1
Alaznis Vake,area,1
Alegti,stream,1
Aleura,stream,1
Alevi,stream,1
Alevis,elevated area,1
Amaghleba,elevation,1
Amali,stream,1
Amugo,elevation,1
Anakliya,populated place,1
Andak'i Ughelt'ekhili,depression,1
Andaki,populated place,1
Andakis,stream,1
Andak’i,depression,1
Andak’i,stream,2
Andarazani,elevation,1
Andriani,elevation,1
Aniskhevi,stream,1
Antoria,populated place,1
Ant’oria,populated place,1
Apeni,populated place,1
Aradeti,populated place,1
Aragva,stream,1
Aragvisp’iri,populated place,1
Arakali,populated place,2
Arakhlo,populated place,1
Archilosmt’a,elevation,1
Ardesti,populated place,1
Ardisubani,populated place,1
Ardzhaniskhevi,stream,1
Ardzhevani,elevation,1
Arguni,populated place,1
Arkala,stream,1
Arkhi,stream,1
Arkhiloskalo,elevation,1
Arkhoti,depression,2
Arsha,populated place,1
Artseula,stream,1
Artsivistsveri,elevation,1
Arzi,elevation,1
Askhis,stream,1
Askìs,stream,1
Asmashi,glacier,1
Asmasi,glacier,1
Aspara,populated place,1
Asuretis,stream,1
Atcharistskali,stream,1
Atnokhi,populated place,1
Ats'unta,depression,1
Atsriskhevi,populated place,1
Atsunta,depression,1
Avdzhikvara,stream,1
Ayazmi,populated place,1
Azavreti,populated place,1
Babi,populated place,1
Babkhiskhevi,populated place,1
Bachakhi,elevation,1
Bachakhi,glacier,1
Bai,stream,1
Bajiti,populated place,1
Bakhani,populated place,1
Bakhurkhevi,stream,1
Bakhvis,stream,1
Bakhvists’q’ali,stream,1
Bakkhiya,populated place,1
Bakur,stream,1
Bakurkhevi,populated place,1
Bak’i,glacier,1
Bak’o,populated place,1
Balka Shinoskhevi,depression,1
Banchueti,populated place,1
Bandza,populated place,1
Baniskhevi,stream,1
Banodzha,populated place,1
Banura,stream,1
Barbalo,elevation,1
Bardnala,populated place,1
Bartskha,stream,1
Basa,glacier,1
Bashkabsara,elevation,1
Bashkara,elevation,1
Bashkicheti,populated place,1
Bashk’absara,elevation,1
Bassa,depression,1
Baydara,stream,1
Bazaleti,basin,1
Beburiani,populated place,1
Bedeni,elevation,1
Bedoni,populated place,1
Beghleti,elevation,1
Begliari,populated place,1
Beitarapchi,populated place,1
Benian Begoni,populated place,1
Berg Gwandro,elevation,1
Berkhevi,stream,1
Bersheula,stream,1
Berta,elevation,1
Bertak’ari,populated place,1
Bestauti,elevation,1
Betsentsurebi,populated place,1
Bezhanidni,elevation,1
Bezhano,populated place,1
Bezhira,elevated area,1
Bezonis,stream,1
Bikariskhevi,stream,1
Bilkhevi,stream,1
Bilyuneti,elevation,1
Bilyurta,elevation,1
Bindilaruta,populated place,1
Biningour Kari,populated place,1
Bobinaskhevi,stream,1
Bod Ureshi,elevated area,1
Bodaviskhevi,stream,1
Boga,populated place,1
Bogila,stream,1
Bogovatchosgele,depression,1
Bogreshi,populated place,1
Bokhurstou,elevated area,1
Bokoris,stream,1
Bokostskali,stream,1
Boksiori,glacier,1
Bolkvi,populated place,1
Bolnisi,populated place,1
Boltsa,stream,1
Bonodzha,populated place,1
Boq’o,glacier,1
Borbalo,elevation,1
Borocha,elevation,1
Boseli,stream,1
Brdadzoi,populated place,1
Brili,glacier,1
Bubi,stream,1
Bubistskali,stream,1
Buchkinta,populated place,1
Buch’q’int’a,populated place,1
Budelure,stream,1
Bugaani,populated place,1
Buk’nari,populated place,2
Burianis,elevated area,1
