place_category,ending
basin,ris
basin,isi
basin,istba
depression,ari
depression,ris
depression,erigo
depression,skhevi
depression,isgele
elevated area,etis
elevation,eli
elevation,ala
elevation,khe
elevation,evi
elevation,khi
elevation,ora
elevation,ura
elevation,ris
elevation,aro
elevation,iya
elevation,era
elevation,ila
elevation,shi
elevation,los
elevation,t’i
elevation,ale
elevation,ria
elevation,alo
elevation,uli
elevation,eni
elevation,rta
elevation,nda
elevation,oni
elevation,vani
elevation,hara
elevation,smta
elevation,huri
elevation,anis
elevation,seri
elevation,dzha
elevation,hili
elevation,ncho
elevation,hati
elevation,reti
elevation,agali
elevation,liani
elevation,istavi
elevation,ismt’a
elevation,zhvari
elevation,ristsveri
glacier,ara
glacier,khi
glacier,eri
glacier,ula
glacier,ashi
glacier,ishi
glacier,Suatisi
populated place,eli
populated place,khi
populated place,oni
populated place,ati
populated place,eri
populated place,ara
populated place,ori
populated place,avi
populated place,ana
populated place,eni
populated place,ano
populated place,iti
populated place,ala
populated place,ela
populated place,nda
populated place,ula
populated place,alo
populated place,umi
populated place,lia
populated place,iya
populated place,aki
populated place,kha
populated place,reti
populated place,ishi
populated place,yeti
populated place,aani
populated place,ashi
populated place,urni
populated place,buli
populated place,leti
populated place,bisi
populated place,rali
populated place,nisi
populated place,rani
populated place,ak’i
populated place,heti
populated place,vari
populated place,kedi
populated place,vali
populated place,didi
populated place,hiri
populated place,visi
populated place,’iri
populated place,oria
populated place,ubani
populated place,ovani
populated place,reshi
populated place,het’i
populated place,rauli
populated place,ret’i
populated place,riani
populated place,evani
populated place,lauri
populated place,tskaro
populated place,tk’ari
populated place,tsqaro
populated place,akhani
populated place,tskali
populated place,aurebi
populated place,antkari
populated place,adzeebi
populated place,s’q’aro
populated place,riskhevi
stream,ari
stream,ori
stream,ris
stream,iya
stream,eli
stream,eti
stream,ana
stream,ami
stream,ona
stream,lis
stream,eta
stream,ela
stream,bis
stream,sha
stream,kis
stream,ros
stream,mis
stream,hra
stream,cha
stream,khe
stream,isa
stream,era
stream,his
stream,zha
stream,ila
stream,ili
stream,dis
stream,iri
stream,ria
stream,’ra
stream,oni
stream,ian
stream,rula
stream,ekhi
stream,vani
stream,eula
stream,huri
stream,hula
stream,anis
stream,hara
stream,kura
stream,hora
stream,euli
stream,akva
stream,etis
stream,kala
stream,khura
stream,akhevi
stream,ch’ala
stream,rkhevi
stream,ikhevi
stream,istsqali
stream,ristskali
stream,aniskhevi
stream,anistskali
stream,anists’q’ali
stream,skaya Alazani
