place_category,separate_beginning,frequency
basin,<NONE>,18
stream,<NONE>,373
glacier,<NONE>,13
elevation,<NONE>,220
elevated area,<NONE>,27
populated place,<NONE>,573
depression,<NONE>,34
elevation,Didi,4
populated place,Didi,8
stream,Didi,3
populated place,Kveda,6
populated place,Kvemo,8
populated place,K’veda,5
glacier,Mq’invali,3
glacier,Mq’invari,72
elevation,Mta,70
elevation,Mt’a,37
stream,Patara,2
populated place,Patara,6
populated place,P’at’ara,11
stream,Shavi,2
basin,Tba,3
stream,Tskal,2
basin,T’ba,5
depression,Ughelt'ekhili,2
depression,Ugheltekhili,11
populated place,Zeda,14
populated place,Zemo,15
