place_category,separate_ending,frequency
basin,<NONE>,18
stream,<NONE>,373
depression,<NONE>,34
populated place,<NONE>,573
glacier,<NONE>,13
elevated area,<NONE>,27
elevation,<NONE>,220
depression,Dara,3
elevation,Dudi,4
stream,Gele,11
elevated area,Kedi,11
stream,Khevi,39
elevated area,K’edi,12
elevation,Mta,11
elevation,Mt’a,3
elevated area,Seri,2
elevation,Seri,5
elevation,Tapa,3
elevation,Tavi,5
basin,Tba,7
elevation,Tsikhe,4
stream,Tsitela,2
stream,Tskali,32
stream,Tskari,2
stream,Tskaro,5
stream,Tskhali,2
elevation,Tsveri,10
stream,Ts’q’ali,4
depression,Ugheltekhili,6
depression,Ughelt’ekhili,6
populated place,Vani,4
