name,frequency,place_type,place_category
Abendberg,1,hill,elevation
Ablaß,1,populated place,populated place
Abterode,1,populated place,populated place
Abzugsgraben,1,river,stream
Achen,10,river,stream
Achering,1,populated place,populated place
Achterschlag,1,populated place,populated place
Achtrup,1,populated place,populated place
Ackumer Ee,1,channel,strait
Adernbach,1,river,stream
Adlanz,1,populated place,populated place
Ahausen,6,populated place,populated place
Ahe,9,populated place,populated place
Ahlerts,1,river,stream
Ahlstädter Berg,1,hill,elevation
Ahneberg,1,hill,elevation
Ahneby,1,populated place,populated place
Ahornberg,3,hill,elevation
Ahrenshöfter Marsch,1,marsh,marsh
Aiternbach,1,river,stream
Alacher Höhe,1,hill,elevation
Älbe,1,hill,elevation
Alberthain,1,populated place,populated place
Aldinger Berg,1,hill,elevation
Alenberg,3,hill,elevation
Alexisdorf,1,populated place,populated place
Alflen,1,populated place,populated place
Allenberg,3,hill,elevation
Allhorn-Berg,1,hill,elevation
Allmand,1,populated place,populated place
Allmannsberg,1,hill,elevation
Allmannsweier,1,populated place,populated place
Allmuts-Berg,1,hill,elevation
Almberg,1,mountain,elevation
Almerfeld,1,populated place,populated place
Almgraben,1,river,stream
Alpe,3,populated place,populated place
Älpele-Kopf,1,mountain,elevation
Alpi,1,mountains,elevated area
Alsch-Berg,1,hill,elevation
Alt Daber,1,populated place,populated place
Alt Fresenburg,1,populated place,populated place
Alt Lonnewitz,1,populated place,populated place
Alt und Neu Bleyen,1,populated place,populated place
Alte Landwehr,1,river,stream
Alte Luppe,1,river,stream
Alte Peene,1,river,stream
Alten Berg,1,slope,elevation
Altenhammer,3,populated place,populated place
Altenkreith,1,populated place,populated place
Altes Gericht,1,mountain,elevation
Altgaul,1,populated place,populated place
Altlayer Bach,1,river,stream
Altmyhl,1,populated place,populated place
Altschönau,1,populated place,populated place
Alzbach,1,river,stream
Am Aufgange,1,hill,elevation
Am Bühl,1,hill,elevation
Am Heidland,1,populated place,populated place
Am Scheuberg,1,populated place,populated place
Am Sittardsberg,1,populated place,populated place
Amelinghausen,1,populated place,populated place
Amern,1,populated place,populated place
Amerwolf-Weiher,1,pond,basin
Ammeldingen bei Neuerburg,1,populated place,populated place
Ammerwolf-Weiher,1,pond,basin
Ammerwolfweiher,1,pond,basin
Amor-Bach,1,river,stream
An der Weinleite,1,populated place,populated place
Angelbach,1,river,stream
Anger-Teich,1,pond,basin
Angerode,1,populated place,populated place
Angfeld,1,populated place,populated place
Angst,1,hill,elevation
Angst-Berg,1,hill,elevation
Annahöhe,1,mountain,elevation
Annasee,1,lake,basin
Anskopf,1,hill,elevation
Antonsberg,1,hill,elevation
Antonsthal,1,populated place,populated place
Antweiler,2,populated place,populated place
Apelland Grode,1,island,island
Apfelbach,3,river,stream
Apfelberg,3,hill,elevation
Apfelshöhe,1,hill,elevation
Appelland,1,island,island
Archs-Wial,1,river,stream
Archswehle,1,river,stream
Arennest,1,hill,elevation
Arles-Berg,1,hill,elevation
Armsberg,1,hill,elevation
Arnhofen,4,populated place,populated place
Arxt See,1,pond,basin
Arz-Berg,1,hill,elevation
As-Bach,2,river,stream
Asbacherhütte,1,populated place,populated place
Asch Thal,1,valley,depression
Aschauer Bach,1,river,stream
Aschbach,6,populated place,populated place
Aschen-Berg,4,hill,elevation
Aß Grund,1,valley,depression
Atdorf,1,populated place,populated place
Au Bach,1,river,stream
Au-Graben,1,river,stream
Aubach,21,river,stream
Aude-Berg,1,hill,elevation
Auer-Bach,2,river,stream
Auernhofen,1,populated place,populated place
Auersberg,1,mountain,elevation
Auf dem Stein,3,hill,elevation
Auf der Bleiche,1,populated place,populated place
Auf der Helle,1,populated place,populated place
Augrund,1,valley,depression
Aulosen,1,populated place,populated place
Auras,1,populated place,populated place
Aurbach,1,populated place,populated place
Autmut,1,river,stream
Aventofter See,1,lake,basin
Ayrhof,1,populated place,populated place
Baalensee,1,lake,basin
Bach und Altenberg,1,populated place,populated place
Bachenberg,1,populated place,populated place
Bachham,4,populated place,populated place
Backnang,1,populated place,populated place
Bad Berneck,1,populated place,populated place
Bad Nenndorf,1,populated place,populated place
Bad Schwalbach,1,populated place,populated place
Bad Soden in Taunus,1,populated place,populated place
Bad Wimpfen,1,populated place,populated place
Baggersee,1,lake,basin
Bahlas,1,hills,elevated area
Bahlburg,1,populated place,populated place
Bahlings,1,populated place,populated place
Bahren-Teich,1,lake,basin
Bahro,1,populated place,populated place
Balesfeld,1,populated place,populated place
Ball,1,populated place,populated place
Ballersdorf,2,populated place,populated place
Ballerts,1,hill,elevation
Ballrechten,1,populated place,populated place
Balsamgraben,1,river,stream
Balze,1,river,stream
Bandscher Hof,1,populated place,populated place
Banfe,1,river,stream
Bankewitz,1,populated place,populated place
Bannenberg,1,hill,elevation
Bannerrück,1,ridge,elevated area
Banzau,1,populated place,populated place
Banzer Berg,1,hill,elevation
Bärberg,1,hill,elevation
Bardenbach,1,populated place,populated place
Barget,1,river,stream
Bärlas-Berg,1,hill,elevation
Barmberg,1,hill,elevation
Barmenberg,1,hill,elevation
Bärn-See,1,lake,basin
Barnsen,1,populated place,populated place
Barßeler Tief,1,river,stream
Bartlberg,1,populated place,populated place
Bätholt,1,populated place,populated place
Battenberg,2,hill,elevation
Battenbrock,1,populated place,populated place
Batzdorf,1,populated place,populated place
