place_category,beginning
basin,Lan
basin,Hei
basin,Sta
basin,Neu
basin,Ste
basin,See
basin,Treb
basin,Schl
basin,Schu
basin,Schä
basin,Mittel
basin,Schwarz
basin,Teufels
concave shoreline,Bre
convex shoreline,Sch
elevated area,Sch
elevation,Wei
elevation,Har
elevation,Sta
elevation,Hei
elevation,Rei
elevation,Hal
elevation,Han
elevation,Has
elevation,All
elevation,Lan
elevation,Str
elevation,Fro
elevation,Hol
elevation,Him
elevation,Kra
elevation,Gro
elevation,Gie
elevation,Win
elevation,Wie
elevation,Stu
elevation,Kah
elevation,Spa
elevation,War
elevation,Weh
elevation,Wen
elevation,Wol
elevation,Wör
elevation,Bru
elevation,Eck
elevation,Bie
elevation,Dör
elevation,Gol
elevation,Gra
elevation,Wil
elevation,Kar
elevation,Kul
elevation,Küh
elevation,Lee
elevation,Lin
elevation,Mei
elevation,Mar
elevation,Hau
elevation,Mön
elevation,Ran
elevation,Rau
elevation,Reh
elevation,Ros
elevation,Stä
elevation,Her
elevation,Drei
elevation,Schl
elevation,Hoch
elevation,Wach
elevation,Ober
elevation,Schm
elevation,Kind
elevation,Schi
elevation,Buch
elevation,Rote
elevation,Sche
elevation,Burg
elevation,Frie
elevation,Stie
elevation,Kell
elevation,Hohe
elevation,Eich
elevation,Spie
elevation,Spit
elevation,Kreu
elevation,Roth
elevation,Schn
elevation,Geis
elevation,Stein
elevation,Schau
elevation,Fürst
elevation,Brand
elevation,Kirch
elevation,Vogels
elevation,Schwarz
populated place,Ber
populated place,Wei
populated place,Die
populated place,Lau
populated place,Kra
populated place,Bre
populated place,Kem
populated place,Alt
populated place,Hol
populated place,Her
populated place,Mar
populated place,Hau
populated place,Eng
populated place,Sei
populated place,Wen
populated place,Wes
populated place,Win
populated place,Hai
populated place,Hem
populated place,Bro
populated place,Gei
populated place,Dor
populated place,Koh
populated place,Heu
populated place,Leu
populated place,Mal
populated place,Deh
populated place,Men
populated place,Mün
populated place,Dah
populated place,Ell
populated place,Ham
populated place,Ram
populated place,Dan
populated place,Ein
populated place,San
populated place,Sau
populated place,Kam
populated place,See
populated place,Kar
populated place,Sin
populated place,Wol
populated place,Fer
populated place,Rot
populated place,Hei
populated place,Vor
populated place,Bah
populated place,Ban
populated place,Bar
populated place,Bri
populated place,Wie
populated place,Ach
populated place,Sta
populated place,Tra
populated place,Sche
populated place,Nord
populated place,Leip
populated place,Groß
populated place,Bill
populated place,Schl
populated place,Well
populated place,Bach
populated place,Krum
populated place,Ball
populated place,Gera
populated place,Hint
populated place,Brau
populated place,Fran
populated place,Lang
populated place,Prem
populated place,Röhr
populated place,Unter
populated place,Schwa
populated place,Neuen
populated place,Kirch
populated place,Oberg
populated place,Oster
populated place,Mitte
populated place,Oberl
populated place,Obert
populated place,Reich
populated place,Schmi
populated place,Schwe
populated place,Stein
populated place,Kleinh
populated place,Hohenb
populated place,Oberha
populated place,Niederb
stream,Rot
stream,Wes
stream,See
stream,Wei
stream,Hei
stream,Gro
stream,Str
stream,Sei
stream,Han
stream,Gei
stream,Gri
stream,Mai
stream,Neu
stream,Nie
stream,Ost
stream,Gra
stream,Wie
stream,Dür
stream,Kir
stream,Wal
stream,Tro
stream,Lee
stream,Wil
stream,Bie
stream,Bro
stream,Sche
stream,Höll
stream,Ried
stream,Mitt
stream,Rinn
stream,Schm
stream,Lange
stream,Grenz
stream,Schan
stream,Schle
stream,Stein
