name,place_category,frequency
Abendberg,elevation,1
Ablaß,populated place,1
Abterode,populated place,1
Abzugsgraben,stream,1
Achen,stream,10
Achering,populated place,1
Achterschlag,populated place,1
Achtrup,populated place,1
Ackumer Ee,strait,1
Adernbach,stream,1
Adlanz,populated place,1
Ahausen,populated place,6
Ahe,populated place,9
Ahlerts,stream,1
Ahlertsberg,elevation,1
Ahlstädter,elevation,1
Ahneberg,elevation,1
Ahneby,populated place,1
Ahornberg,elevation,3
Ahrenshöfter,marsh,1
Aiternbach,stream,1
Alacher,elevation,1
Alberthain,populated place,1
Aldinger,elevation,1
Alenberg,elevation,3
Alexisdorf,populated place,1
Alflen,populated place,1
Allenberg,elevation,3
Allhorn,elevation,1
Allmand,populated place,1
Allmannsberg,elevation,1
Allmannsweier,populated place,1
Allmuts,elevation,1
Almberg,elevation,1
Almerfeld,populated place,1
Almgraben,stream,1
Alpe,populated place,3
Alpi,elevated area,1
Alsch,elevation,1
Alten,elevation,1
Altenhammer,populated place,3
Altenkreith,populated place,1
Altes Gericht,elevation,1
Altgaul,populated place,1
Altlayer,stream,1
Altmyhl,populated place,1
Altschönau,populated place,1
Alzbach,stream,1
Amelinghausen,populated place,1
Amern,populated place,1
Amerwolf,basin,1
Ammeldingen Bei Neuerburg,populated place,1
Ammerwolf,basin,1
Ammerwolfweiher,basin,1
Amor,stream,1
An Der Möhlin,populated place,1
An Der Weinleite,populated place,1
Angelbach,stream,1
Anger,basin,1
Angerode,populated place,1
Angfeld,populated place,1
Angst,elevation,2
Annahöhe,elevation,1
Annasee,basin,1
Anskopf,elevation,1
Antonsberg,elevation,1
Antonsthal,populated place,1
Antweiler,populated place,2
Apelland Grode,island,1
Apfelbach,stream,3
Apfelberg,elevation,3
Apfelshöhe,elevation,1
Appelland,island,1
Archs Wial,stream,1
Archswehle,stream,1
Arennest,elevation,1
Arles,elevation,1
Armsberg,elevation,1
Arnhofen,populated place,4
Arnsbach,populated place,1
Arxt,basin,1
Arz,elevation,1
As,stream,2
Asbacherhütte,populated place,1
Asch Thal,depression,1
Aschauer,stream,1
Aschbach,populated place,6
Atdorf,populated place,1
Aubach,stream,21
Aude,elevation,1
Aue,underwater elevation,1
Auernhofen,populated place,1
Auersberg,elevation,2
Aufgange,elevation,1
Augrund,depression,1
Aulosen,populated place,1
Auras,populated place,1
Aurbach,populated place,1
Autmut,stream,1
Aventofter,basin,1
Ayrhof,populated place,1
Aß,depression,1
Baalensee,basin,1
Bach Und Altenberg,populated place,1
Bachenberg,populated place,1
Bachham,populated place,4
Backnang,populated place,1
Baggersee,basin,1
Bahlas,elevated area,1
Bahlburg,populated place,1
Bahlings,populated place,1
Bahnteich,basin,1
Bahren,basin,1
Bahro,populated place,1
Balesfeld,populated place,1
Ball,populated place,1
Ballersdorf,populated place,2
Ballerts,elevation,1
Ballrechten,populated place,1
Balsamgraben,stream,1
Balze,stream,1
Bandscher Hof,populated place,1
Banfe,stream,1
Bankewitz,populated place,1
Bannenberg,elevation,1
Bannerrück,elevated area,1
Banzau,populated place,1
Banzer,elevation,1
Bardenbach,populated place,1
Barget,stream,1
Barmberg,elevation,1
Barmenberg,elevation,1
Barnsen,populated place,1
Bartlberg,populated place,1
Barßeler,stream,1
Battenberg,elevation,2
Battenbrock,populated place,1
Batzdorf,populated place,1
Baumgarten,populated place,18
Baurs,elevation,1
Bausen,elevated area,1
Bayerische Schwarzach,stream,1
Becherkopf,elevation,1
Beersdorf,populated place,1
Beesegraben,stream,1
Behlendorf,populated place,2
Behlensee,basin,1
Behrste,populated place,1
Beichlinger,elevation,1
Beidnek,elevation,1
Beinberg,populated place,1
Benefeld,populated place,1
Benk,populated place,3
Berbersbach,populated place,1
