name,frequency,place_type,place_category
Abendberg,1,hill,elevation
Ablat,1,populated place,populated place
Abtezoda,1,populated place,populated place
Abtugsgraban,1,river,stream
Akan,10,river,stream
Akezing,1,populated place,populated place
Aktersklag,1,populated place,populated place
Aktrup,1,populated place,populated place
Ackumes Ea,1,channel,strait
Adernbak,1,river,stream
Adlant,1,populated place,populated place
Ahausan,6,populated place,populated place
Aha,9,populated place,populated place
Aalerds,1,river,stream
Aalstates Berg,1,hill,elevation
Aaneberg,1,hill,elevation
Aaneby,1,populated place,populated place
Ahornberg,3,hill,elevation
Aarenshoftes Marsk,1,marsh,marsh
Aidernbak,1,river,stream
Alakes Haua,1,hill,elevation
Alba,1,hill,elevation
Albertain,1,populated place,populated place
Aldinges Berg,1,hill,elevation
Alenberg,3,hill,elevation
Alexisdorp,1,populated place,populated place
Alflan,1,populated place,populated place
Allenberg,3,hill,elevation
Allhorn-Berg,1,hill,elevation
Allmand,1,populated place,populated place
Allmannsberg,1,hill,elevation
Allmannsweeis,1,populated place,populated place
Allmuds-Berg,1,hill,elevation
Almberg,1,mountain,elevation
Almerfeld,1,populated place,populated place
Almgraban,1,river,stream
Alpa,3,populated place,populated place
Alpele-Kop,1,mountain,elevation
Alpi,1,mountains,elevated area
Alsk-Berg,1,hill,elevation
Ald Dabes,1,populated place,populated place
Ald Fresenburg,1,populated place,populated place
Ald Lonnewidt,1,populated place,populated place
Ald Und Neu Bleyan,1,populated place,populated place
Alda Landwair,1,river,stream
Alda Luppa,1,river,stream
Alda Peena,1,river,stream
Aldan Berg,1,slope,elevation
Aldenhammes,3,populated place,populated place
Aldenkreit,1,populated place,populated place
Aldes Gezikt,1,mountain,elevation
Aldgaul,1,populated place,populated place
Aldlayes Bak,1,river,stream
Aldmyhl,1,populated place,populated place
Aldskonau,1,populated place,populated place
Altbak,1,river,stream
Am Aufganga,1,hill,elevation
Am Buhl,1,hill,elevation
Am Heidland,1,populated place,populated place
Am Skeuberg,1,populated place,populated place
Am Sidtardsberg,1,populated place,populated place
Amelinghausan,1,populated place,populated place
Amern,1,populated place,populated place
Amerwolf-Weihes,1,pond,basin
