place_category,separate_beginning,frequency
basin,<NONE>,144
marsh,<NONE>,18
populated place,<NONE>,1183
elevation,<NONE>,839
elevated area,<NONE>,50
island,<NONE>,11
convex shoreline,<NONE>,5
concave shoreline,<NONE>,2
strait,<NONE>,8
depression,<NONE>,23
underwater elevation,<NONE>,8
stream,<NONE>,550
populated place,Ald,4
stream,Alda,3
elevation,Am,2
populated place,Am,3
elevation,Askan,4
stream,Au,2
stream,Aues,2
populated place,Auf,2
elevation,Auf,3
populated place,Bad,5
underwater elevation,Borkum,2
elevation,Buk,4
elevation,Daks,17
elevation,Des,3
marsh,Des,2
basin,Des,2
stream,Dei,2
underwater elevation,Dei,2
basin,Dei,2
elevated area,Dei,3
elevation,Dei,3
elevation,Eik,34
basin,Grot,2
populated place,Grot,6
marsh,Grota,3
stream,Grota,5
stream,Grotes,6
basin,Grotes,16
elevation,Grotes,17
elevation,Hagan,3
populated place,Hausan,2
elevation,Heidan,7
elevation,Heu,12
elevation,Hexan,3
elevation,Haua,10
elevation,Haues,3
stream,Holt,6
elevation,Hopan,15
elevation,Hummel,4
elevation,Huhnes,15
island,Insel,2
elevation,Kaales,3
basin,Klazes,4
populated place,Klein,6
elevation,Kleina,2
stream,Kleina,5
elevation,Kleines,13
basin,Kleines,12
island,Kleines,2
stream,Kleines,2
basin,Kleines,2
populated place,Kolonei,2
elevation,Kasa,3
stream,Konigs,3
elevation,Langes,67
basin,Maal,2
stream,Muhl,26
stream,Muhlan,3
elevation,Muhlan,20
populated place,Neu,4
populated place,Neides,2
basin,Obezes,2
elevation,Rauhes,20
elevation,Rauskan,4
elevation,Ruck,3
elevation,Skantan,2
stream,Skleis,2
elevation,Skmidta,2
stream,Skwartes,2
elevation,Skweins,2
elevation,Speil,5
elevation,Spidt,9
elevation,Spidtiges,2
populated place,Stat,2
stream,Stein,4
stream,Sult,3
stream,Deifan,6
elevated area,Weita,4
elevation,Weites,26
