name,frequency,place_type,place_category
Staður,6,populated place,populated place
Hof,5,populated place,populated place
Hvammur,5,populated place,populated place
Saurbær,4,populated place,populated place
Bær,4,populated place,populated place
Kirkjuból,4,populated place,populated place
Skarð,3,populated place,populated place
Kirkjubær,3,populated place,populated place
Breiðabólsstaður,3,populated place,populated place
Vík,3,populated place,populated place
Eyri,3,populated place,populated place
Nes,3,populated place,populated place
Húsavík,3,populated place,populated place
Tunga,3,populated place,populated place
Búðir,2,populated place,populated place
Njarðvík,2,populated place,populated place
Möðruvellir,2,populated place,populated place
Þykkvibær,2,populated place,populated place
Hafnarfjörður,2,populated place,populated place
Hagi,2,populated place,populated place
Árbær,2,populated place,populated place
Búðareyri,2,populated place,populated place
Holt,2,populated place,populated place
Auðkúla,2,populated place,populated place
Hóll,2,populated place,populated place
Tröð,2,populated place,populated place
Sæból,2,populated place,populated place
Hólar,2,populated place,populated place
Haukadalur,2,populated place,populated place
Hvanneyri,2,populated place,populated place
Hjarðarholt,2,populated place,populated place
Hraun,2,populated place,populated place
Sandur,2,populated place,populated place
Múli,2,populated place,populated place
Svalbarð,2,populated place,populated place
Þrestbakki,2,populated place,populated place
Brekka,2,populated place,populated place
Tjörn,2,populated place,populated place
Vattarnes,2,populated place,populated place
Prestbakki,2,populated place,populated place
Háls,2,populated place,populated place
Hella,1,populated place,populated place
Grindavík,1,populated place,populated place
Kálfholt,1,populated place,populated place
Husayik,1,populated place,populated place
Heydalir,1,populated place,populated place
Keldur,1,populated place,populated place
Helgafell,1,populated place,populated place
Sandhur,1,populated place,populated place
Hnífsdalur,1,populated place,populated place
Hallbjarnstaðir,1,populated place,populated place
Hruni,1,populated place,populated place
Disastaðir,1,populated place,populated place
Höfði,1,populated place,populated place
Hvallátur,1,populated place,populated place
Furufjörður,1,populated place,populated place
Hveragerdi,1,populated place,populated place
Hvaleyri,1,populated place,populated place
Horn,1,populated place,populated place
Grenivík,1,populated place,populated place
Hafnir,1,populated place,populated place
Eiðar,1,populated place,populated place
Garður,1,populated place,populated place
Folafótur,1,populated place,populated place
Garðabær,1,populated place,populated place
Garðsstaðir,1,populated place,populated place
Dagverðarnes,1,populated place,populated place
Búrfell,1,populated place,populated place
Hafnarnes,1,populated place,populated place
Eiríksstaðir,1,populated place,populated place
Flatey,1,populated place,populated place
Egilstaðir,1,populated place,populated place
Býjasker,1,populated place,populated place
Dyrhólahverfi,1,populated place,populated place
Garðhur,1,populated place,populated place
Glaumbær,1,populated place,populated place
Gilsbakki,1,populated place,populated place
Grundarfjörþur,1,populated place,populated place
Hámundarstaðir,1,populated place,populated place
