place_category,beginning
basin,Rey
basin,Lan
basin,Kol
basin,Hra
basin,Þór
basin,Máf
basin,Sau
basin,Álf
basin,Bjar
basin,Hólm
basin,Vest
basin,Skar
basin,Reið
basin,Torf
basin,Stak
basin,Öldu
basin,Bæjar
concave shoreline,Vat
concave shoreline,Rey
concave shoreline,Hei
concave shoreline,Haf
concave shoreline,Kal
concave shoreline,Mið
concave shoreline,Mýr
concave shoreline,Nor
concave shoreline,Foss
concave shoreline,Horn
concave shoreline,Svar
concave shoreline,Sand
concave shoreline,Leir
concave shoreline,Grun
concave shoreline,Hval
concave shoreline,Jökul
concave shoreline,Breiða
convex shoreline,Ger
convex shoreline,Hól
depression,Þjó
depression,Arna
elevation,Mið
elevation,Arn
elevation,Ske
elevation,Str
elevation,Lei
elevation,Sta
elevation,Ein
elevation,Her
elevation,Hús
elevation,Ytr
elevation,Kol
elevation,Flö
elevation,Blá
elevation,Dal
elevation,Nor
elevation,Hol
elevation,Hro
elevation,Mán
elevation,Nón
elevation,Sko
elevation,Mos
elevation,Rey
elevation,Fjó
elevation,Stór
elevation,Kálf
elevation,Rauð
elevation,Lang
elevation,Hólm
elevation,Græn
elevation,Háls
elevation,Aust
elevation,Litl
elevation,Selh
elevation,Kamb
elevation,Sauð
elevation,Hatt
elevation,Borg
elevation,Snæf
elevation,Foss
elevation,Lamba
elevation,Hellu
elevation,Hraun
elevation,Skála
elevation,Vatns
elevation,Smjör
elevation,Vörðu
elevation,Breið
elevation,Svart
elevation,Jökul
elevation,Tungu
elevation,Illvi
elevation,Hafurs
elevation,Skarðs
elevation,Dagmála
elevation,Kerlinga
marsh,Sel
populated place,Hof
populated place,Guf
populated place,Ske
populated place,Ska
populated place,Ber
populated place,Rau
populated place,Nes
populated place,Mið
populated place,Val
populated place,Eyr
populated place,Sey
populated place,Hag
populated place,Mel
populated place,Hra
populated place,Ski
populated place,Sand
populated place,Hell
populated place,Stór
populated place,Sauð
populated place,Hjal
populated place,Hval
populated place,Hlíð
populated place,Vaðl
populated place,Vest
populated place,Bakk
populated place,Borg
populated place,Egil
populated place,Kópa
populated place,Norð
populated place,Gren
populated place,Álft
populated place,Víði
populated place,Saud
populated place,Vatns
populated place,Kálfa
populated place,Garða
populated place,Reyni
populated place,Þykkv
populated place,Búðar
populated place,Ólafs
populated place,Vopna
populated place,Þinge
populated place,Höfða
populated place,Hólma
populated place,Skála
populated place,Ísafj
populated place,Reykh
populated place,Staðar
populated place,Reykja
populated place,Snarta
populated place,Hafnar
populated place,Kirkjub
populated place,Breiðab
populated place,Laugard
populated place,Kolbeins
populated place,Hallorms
stream,Haf
stream,Hör
stream,Hra
stream,Gei
stream,Hús
stream,Kol
stream,Hof
stream,Hól
stream,Blá
stream,Hey
stream,Ker
stream,Lei
stream,Núp
stream,Sel
stream,Skj
stream,Aust
stream,Lang
stream,Hvít
stream,Syðr
stream,Snið
stream,Stór
stream,Land
stream,Rauð
stream,Skál
stream,Jökul
stream,Lamba
stream,Tröll
stream,Stein
stream,Breið
stream,Bæjar
stream,Vestur
stream,Eyvindar
stream,Dynjandi
underwater elevation,Djúp
underwater elevation,Vest
