name,place_category,frequency
Abær Kirkja,populated place,1
Adalvik,concave shoreline,1
Aedersteinn,convex shoreline,1
Affall,stream,1
Afréttarfjall,elevation,1
Afréttartindur,elevation,2
Afréttará,stream,1
Akrafjall,elevation,2
Akranes,populated place,1
Akrar,populated place,1
Akurey,populated place,1
Akureyjarrif,underwater elevation,1
Akureyri,populated place,1
Aldeyjarfoss,stream,1
Alfta,basin,2
Alftaskálará,stream,1
Almenningar,elevation,1
Almenningsfles,elevation,1
Altafjörður,basin,1
Alttanes,populated place,1
Andarnefjuboði,underwater elevation,1
Andey,island,1
Apavatn,basin,1
Araós,basin,1
Arfaklettur,elevation,1
Arfasker,underwater elevation,1
Arfavötn,basin,1
Argerdareyri,populated place,1
Arnadalur,depression,1
Arnar,concave shoreline,1
Arnarbælistjörn,basin,1
Arnardalseyrar,area,1
Arnardalsvatn,basin,1
Arnardalur,depression,2
Arnarey,island,2
Arnarfell Hið Litla,elevation,1
Arnarfellskvísl,stream,1
Arnarhóll,elevation,1
Arnarnesvík,concave shoreline,1
Arnarstaðadalur,depression,1
Arnarþúfafoss,stream,1
Arnfinnsfjall,elevation,1
Arngerðareyrarháls,elevation,1
Arngerðareyri,populated place,1
Arngerðeyri,populated place,1
Arnólfsfjall,elevation,1
Arnórstaðahnúkur,elevation,1
Atlaey,elevation,1
Atlastaðaá,stream,1
Atlavík,concave shoreline,1
Austari,stream,1
Austariháls,elevation,1
Austasti Kaelir,stream,1
Austdalsa,stream,1
Austur Hvanneyjarsker,island,1
Austurbjallar,elevation,1
Austurboðar,elevation,1
Austurfljót,stream,1
Austurgil,stream,1
Austurhorn,convex shoreline,1
Ausudalur,depression,1
Ausugil,elevation,1
Auðkúla,populated place,2
Auðsstaðahnúkur,elevation,1
Aðaldalur,depression,1
Aðalmannsvatn,basin,1
Aðalmannsvötn,basin,1
Baenshús,populated place,1
Bakkafjörður,populated place,1
Bakkaflói,concave shoreline,1
Bakkagerði,populated place,1
Bakkahorn,underwater elevation,1
Bakkakotsá,stream,1
Bakkatindur,elevation,1
Bakkatunga,marsh,1
Bakki,populated place,1
Bakkárfoss,stream,1
Balar,elevation,1
Ballará,stream,1
Balðeiði,elevation,1
Bani,elevation,1
Bardsnes,convex shoreline,1
Bardsvik,concave shoreline,1
Barmahlíð,elevation,1
Barð,populated place,1
Barðsvík,concave shoreline,1
Baugavötn,basin,1
Baula,elevation,1
Bauluhúsaskriður,elevation,1
Baðstofuvatn,basin,1
Beinaklettur,elevation,1
Beljandi,stream,1
Beraflóð,area,1
Bergkvísl,stream,1
Bergsstaðir,populated place,1
Bergsárvatn,basin,1
Bergólfsstaðaá,stream,1
Berjadalsá,populated place,1
Berjadalur,depression,1
Beru,concave shoreline,1
Berufjördur,concave shoreline,1
Berunes,populated place,1
Berutindur,elevation,1
Bessastaðir,populated place,1
Birnudalur,depression,1
Biskupsáfangar,marsh,1
Biskupsöxl,elevation,1
Bitru,concave shoreline,1
Bjargavatnsás,elevated area,1
Bjargaós,basin,1
Bjarghóll,elevation,1
Bjarnadalslækur,stream,1
Bjarnafoss,stream,1
Bjarnanes,populated place,1
Bjarnapollur,basin,1
Bjarnardalur,depression,1
Bjarnarfjörður,concave shoreline,2
Bjarnarhöfn,populated place,1
Bjarnarvatn,basin,1
Bjarneyjaflói,concave shoreline,1
Bjóluhverfi,populated place,1
Blafellskvísl,stream,1
Blakkin,convex shoreline,1
Blautakvísl,stream,6
Blautakvíslareyrar,area,1
Bleiksmýrardalur,depression,1
Bleikálukvísl,stream,1
Bleilasmyrar Valley,depression,1
Blesá,stream,1
Blikdalsá,stream,1
Bláfellsá,stream,1
Bláfjall,elevation,3
Bláfjallakvísl,stream,1
Blágil,marsh,1
Blákollur,elevation,1
Blákvísl,stream,2
