name,frequency,place_type,place_category
Abhainn Achadh na gCrann,1,river,stream
Abhainn an Crompain Bhuí,1,river,stream
Abhainn Ruscaí,1,river,stream
Abhainn tSeiscinne,1,hill,elevation
Achillbeg,1,island,island
Addergoole,1,river,stream
Aggard,1,river,stream
Agh Lough,1,lake,basin
Aghacashlawn,1,river,stream
Aghacurreen,2,populated place,populated place
Aghadiffin,1,populated place,populated place
Aghalona,1,river,stream
Aghameelta,1,populated place,populated place
Aghavannagh,1,mountain,elevation
Aghavannah,1,populated place,populated place
Aghaveagh,1,populated place,populated place
Aghavoher Lough,1,lake,basin
Aghills,1,hill,elevation
Aghills,1,lake,basin
Aghla Beg,1,mountain,elevation
Aghla,1,mountain,elevation
Aghnish Lough,1,lake,basin
Aillenacally,1,populated place,populated place
Aillroe Beg,1,slope,elevation
Aird Mhór,1,populated place,populated place
Altachoastia,1,hill,elevation
Altaconey,1,river,stream
Altan Lough,1,lake,basin
Altderg,1,river,stream
Altinierin,1,hill,elevation
Altnagullion,1,river,stream
Altnagullion,1,river,stream
An Abha,1,river,stream
An Abhainn Dubh,3,populated place,populated place
An Ardaidh Bheag,1,populated place,populated place
An Baile Dubh,4,populated place,populated place
An Bulla Thuaidh,1,island,island
An Bun Beag,1,populated place,populated place
An Cárán,1,populated place,populated place
An Casán,1,river,stream
An Charraig,1,mountain,elevation
An Cheapach Mhór,1,populated place,populated place
An Chorr,1,populated place,populated place
An Cionn Garbh,1,mountain,elevation
An Cloigeann,1,peninsula,convex shoreline
An Cnoc,1,point,convex shoreline
An Coinigéar,1,point,convex shoreline
An Cró,1,island,island
An Daoirín,1,river,stream
An Dumhaigh,1,populated place,populated place
An Dún Beag,1,populated place,populated place
An Fhaiche,4,populated place,populated place
An Fheothanach,1,populated place,populated place
An Gleann Mor,1,populated place,populated place
An Grianfort,1,populated place,populated place
An Inse Mhór,1,hill,elevation
An Leacán,1,populated place,populated place
An Leithcheathrú,1,populated place,populated place
An Loch Bán,1,lake,basin
An Rinn Iarthach,1,hill,elevation
An Seisíoch,1,populated place,populated place
An Tearmann,1,peninsula,convex shoreline
An tImleach Mór,1,river,stream
An tÍochtar,1,island,island
An tOileán Garbh,1,island,island
An tOileán Gorm,1,island,island
An tOileán Mór,2,island,island
An Tor Mór,1,point,convex shoreline
An tSionainn,1,river,stream
An Tulca,1,river,stream
Anamullaghaun,1,river,stream
Anloge,1,hill,elevation
Annagh,3,river,stream
Annagh,1,bog,marsh
Annagh West,1,island,island
Annaghbeg,1,populated place,populated place
Annaghierin Lough,1,lake,basin
Annaghvaan,1,populated place,populated place
Anner,2,river,stream
Araglin,2,river,stream
Árainn Mhór,1,island,island
Aran,1,islands,island
Aran,1,island,island
Arch,1,point,convex shoreline
Ardaboy Lough,1,lake,basin
Ardabrone,1,populated place,populated place
Ardagh,7,populated place,populated place
Ardagh Lough,1,lake,basin
Ardakillin Lough,1,lake,basin
Ardbear,1,bay,concave shoreline
Ardboline,1,island,island
Ardderry Lough,1,lake,basin
Arderin,1,hill,elevation
Ardfry,1,point,convex shoreline
Ardgreagh,1,populated place,populated place
Ardmore,1,peninsula,convex shoreline
Ardmulchan,1,populated place,populated place
Ardraheen Beg,1,populated place,populated place
Ardsheelhane,1,river,stream
Ardskea More,1,populated place,populated place
Arinagh Lough,1,lake,basin
Arklow,1,populated place,populated place
Arklow,1,hill,elevation
Aroo,1,mountain,elevation
Aroo Lough,1,lake,basin
Arra,1,mountains,elevated area
Ash,1,island,island
Askilgubroenacoragh,1,point,convex shoreline
Assaroe,1,lake,basin
Áth an Chláir,1,populated place,populated place
Áth Tí an Mheasaigh,1,populated place,populated place
Áth Trasna,1,populated place,populated place
Athboy,1,river,stream
Athgarvan,1,populated place,populated place
Athlone,2,populated place,populated place
Athy,1,populated place,populated place
Attavally,2,populated place,populated place
Attiduff Lough,1,pond,basin
Attimachugh,1,populated place,populated place
Auahboy,1,river,stream
Aughanall,1,river,stream
Aughinish Inlet,1,inlet,basin
Aughinish,3,point,convex shoreline
Aughrim,1,river,stream
Aughris Head,1,cape,convex shoreline
Aughrusbeg Lough,1,lake,basin
Avaghon,1,lake,basin
Avoca,1,populated place,populated place
Awbeg,1,river,stream
Awinbeg,1,river,stream
Aylevarroo,1,point,convex shoreline
Bá Chill Bheathach,1,bay,concave shoreline
Baginbun Head,1,cape,convex shoreline
Baile an Ásaigh,1,populated place,populated place
Baile an Phléamannaigh,1,hill,elevation
Baile Átha Troim,1,populated place,populated place
Baile Bhlainséir,1,populated place,populated place
Baile Deasumhan,1,populated place,populated place
Baile Mhic Íre,1,populated place,populated place
Baile Uí Odhragáin Thoir,1,populated place,populated place
Ballagh,1,hill,elevation
Ballany,1,populated place,populated place
Ballard,1,bay,concave shoreline
Ballickmoyler,1,populated place,populated place
Ballinabarny,1,populated place,populated place
Ballinagappoge,1,mountain,elevation
Ballinaleama,1,bay,concave shoreline
Ballinanty,1,populated place,populated place
Ballinaskea,1,populated place,populated place
Ballinasloe,1,populated place,populated place
Ballinastraw,1,populated place,populated place
Ballincar,1,populated place,populated place
Ballincurra,1,mountain,elevation
Ballindangan,2,populated place,populated place
Ballindrum,1,populated place,populated place
Ballingarry,1,island,island
Ballinhassig,1,populated place,populated place
Ballinhoe,1,populated place,populated place
Ballinla,1,populated place,populated place
Ballinrally,1,populated place,populated place
Ballintlea,3,populated place,populated place
Ballintubber,1,populated place,populated place
Ballinwillin,1,populated place,populated place
Ballitore,1,populated place,populated place
Ballivor,2,populated place,populated place
Ballough,1,populated place,populated place
Balloughter,1,populated place,populated place
Ballyandreen,1,populated place,populated place
Ballyania,1,river,stream
Ballybeg,1,river,stream
Ballybinaby,1,populated place,populated place
Ballyboe,1,populated place,populated place
Ballyboy,2,populated place,populated place
Ballybrophy,1,populated place,populated place
Ballycahall,1,populated place,populated place
Ballycong Lough,1,lake,basin
Ballyconnell,1,point,convex shoreline
Ballycottin,1,bay,concave shoreline
Ballycottin,1,island,island
Ballycotton,1,bay,concave shoreline
Ballycoyle,1,populated place,populated place
Ballycreen Brook,1,river,stream
Ballycrissane,1,populated place,populated place
Ballycuirke Lough,1,lake,basin
Ballycullinan Lough,1,lake,basin
Ballydawley Lough,1,lake,basin
Ballydevill,1,populated place,populated place
Ballydonnell Brook,1,river,stream
Ballydoogan,2,populated place,populated place
Ballydurn,1,populated place,populated place
Ballyegan,1,populated place,populated place
Ballygarriff,2,populated place,populated place
Ballygow,1,populated place,populated place
Ballyguile,1,populated place,populated place
Ballyheelan,1,populated place,populated place
Ballyheigue,1,bay,concave shoreline
Ballyhonock Lough,1,lake,basin
Ballyhorgan,1,marsh,marsh
Ballyhoura,1,mountains,elevated area
Ballykeefe,1,bog,marsh
Ballykenny,1,point,convex shoreline
Ballylaghnan,1,mountain,elevation
Ballylanders,1,populated place,populated place
Ballylennan,1,populated place,populated place
Ballyline,1,populated place,populated place
Ballylongford,1,bay,concave shoreline
Ballylow Brook,1,river,stream
Ballymacahil,1,hill,elevation
Ballymacdonnell,1,river,stream
Ballymagauran,1,populated place,populated place
Ballymagauran Lough,1,lake,basin
Ballymahon,1,populated place,populated place
Ballymalone Beg,1,bog,marsh
Ballymalone More,1,marsh,marsh
Ballymiles,1,populated place,populated place
Ballymoon,1,populated place,populated place
Ballymore,1,point,convex shoreline
Ballymulmore,1,populated place,populated place
Ballymurphy,1,populated place,populated place
Ballynacargy,1,populated place,populated place
Ballynacarriga,2,populated place,populated place
Ballynacree,1,populated place,populated place
Ballynagaul,2,populated place,populated place
Ballynahinch,1,lake,basin
Ballynamona,1,hill,elevation
Ballynamought,1,populated place,populated place
Ballynaneashagh,1,populated place,populated place
Ballynora,1,populated place,populated place
Ballyogan Lough,1,lake,basin
Ballyoliver,1,populated place,populated place
Ballyorgan,1,populated place,populated place
Ballyowen,3,populated place,populated place
Ballyrahan,1,populated place,populated place
Ballyring,1,hill,elevation
Ballyrush,2,populated place,populated place
Ballysadare,1,river,stream
Ballysloe,1,populated place,populated place
Ballyteige Lough,1,inlet,basin
Ballyvaltron,1,populated place,populated place
Ballyvoge,1,hill,elevation
Ballywalter,1,populated place,populated place
Banada,2,populated place,populated place
Banane,1,mountain,elevation
Bangor,1,populated place,populated place
Bankboy,1,shoal,underwater elevation
Banna,1,populated place,populated place
Bannus Lough,1,lake,basin
Banoge,1,river,stream
Bansha,1,populated place,populated place
Bar Deel,1,river,stream
Bar of Aran,1,bar,underwater elevation
Bar of Lough,1,bar,underwater elevation
Baralty,1,populated place,populated place
Barbavilla,1,bog,marsh
Barnabrack,1,populated place,populated place
Barnacahoge,1,populated place,populated place
Barnacuille,1,populated place,populated place
Barnadarrig,2,populated place,populated place
Barnaderg,1,bay,concave shoreline
Barnagh,2,hill,elevation
Barnan More,1,mountain,elevation
Barnavave,1,mountain,elevation
Barnynagappul,1,beach,shoreline
Baronrath,1,populated place,populated place
Barrack,1,point,convex shoreline
Barroe,4,populated place,populated place
Barrowen Lough,1,lake,basin
Bartonny Lough,1,lake,basin
Baunballinlough,1,populated place,populated place
Baunogemeely,1,populated place,populated place
Baunrosmore,1,populated place,populated place
Baurearagh,1,river,stream
Baurnahard,1,point,convex shoreline
Bawn,1,hill,elevation
Bawnduff,1,mountain,elevation
Bawnoge,2,populated place,populated place
Bawnrush,1,mountain,elevation
Bay Lough,1,lake,basin
Beaghy,1,hill,elevation
Béal Átha Fhínín,1,populated place,populated place
Béal Átha na gCarraigní,1,populated place,populated place
Béal Tairbirt,1,populated place,populated place
Beendarrig,1,hill,elevation
Beenhenry,1,hill,elevation
Beenmore,1,mountain,elevation
Beennakryraka Head,1,cape,convex shoreline
Beenreagh,1,mountain,elevation
Behanagh,1,river,stream
Behy,1,populated place,populated place
Bekan Lough,1,lake,basin
Belcarra,1,populated place,populated place
Belcloghogy Loughs,1,lakes,basin
Belderg,1,populated place,populated place
Belderg,1,river,stream
Belderra,1,beach,shoreline
Belgooly,1,populated place,populated place
Bellacragher,1,bay,concave shoreline
Bellahascarva,1,populated place,populated place
Bellakip,1,river,stream
Bellanacarra,1,populated place,populated place
Bellarush,1,populated place,populated place
Bellaveeny,1,populated place,populated place
Belra,1,populated place,populated place
Ben Creggan,1,mountain,elevation
Ben Dash,1,hill,elevation
Ben Gorm,1,mountain,elevation
Ben Lough South,1,lake,basin
Ben of Howth,1,hill,elevation
Benbulben,1,mountain,elevation
Bencroy,1,mountain,elevation
Bencullagh,1,mountain,elevation
Bengorm,2,mountain,elevation
Bennaummore,1,mountain,elevation
Benwee,1,cape,convex shoreline
Benwee Geevraun,1,point,convex shoreline
Bertraghboy,1,bay,concave shoreline
Bilberry,1,island,island
Billa,1,populated place,populated place
Binnaneane,1,hill,elevation
Binnion,1,hill,elevation
Binswilly,1,hill,elevation
Birreencorragh,1,mountain,elevation
Bohaun,1,mountain,elevation
Boherbaun,1,river,stream
Boherbaun,1,river,stream
Boherbue,1,populated place,populated place
Boherglass,1,populated place,populated place
Bolinaspick,1,populated place,populated place
Boliska Lough,1,lake,basin
Bonet,1,river,stream
Bookeen,1,hill,elevation
Boola,1,populated place,populated place
Booley,1,bay,concave shoreline
Boora,1,river,stream
Boraghy Lough,1,lake,basin
Boro,1,river,stream
Boro,1,river,stream
Borrisnoe,1,mountain,elevation
Borrisoleigh,1,populated place,populated place
Both Faonáin,1,populated place,populated place
Boughil,1,mountain,elevation
Bounla,1,island,island
Boyle,1,river,stream
Braadillaun,1,island,island
Bracklagh,1,river,stream
Bracklaghboy,1,populated place,populated place
Brackley Lough,1,lake,basin
Brackloon Lough,1,lake,basin
Bradlieve,1,hill,elevation
Bray,1,hill,elevation
Bré,1,populated place,populated place
Breagagh,1,river,stream
Breaghy Head,1,cape,convex shoreline
Breckinish,1,island,island
Bredagh,1,river,stream
Bree,1,hill,elevation
Bregaun,1,hill,elevation
Bregoge,1,river,stream
Brennan’s,1,rocks,elevation
Brittas,1,lake,basin
Broaghnabinnia,1,mountain,elevation
Brockagh,1,river,stream
Brosna,1,river,stream
Broughal,1,populated place,populated place
Bruff,2,populated place,populated place
Bruree,1,populated place,populated place
Brusna,1,river,stream
Buaile Uí Chuill,1,populated place,populated place
Buailte Pádraig,1,mountain,elevation
Buckoogh,1,mountain,elevation
Buiríos Uí Chéin,1,populated place,populated place
Bullaunmeneen,1,populated place,populated place
Bullaunmore,1,mountain,elevation
Bullogconnell Shoals,1,shoal,underwater elevation
Bunadaowen,1,river,stream
Bunclody,1,populated place,populated place
Bundorragha,1,populated place,populated place
Bundouglas,1,populated place,populated place
Bunduff Lough,1,lake,basin
Bunglass,1,bay,concave shoreline
Bunlahy,1,populated place,populated place
Bunlough,1,point,convex shoreline
Bunmahon,1,bay,concave shoreline
Bunnaboghee Lough,1,lake,basin
Bunnaclassy,1,point,convex shoreline
Bunnahowna,1,river,stream
Bunnoe,1,river,stream
Bunowen,2,bay,concave shoreline
Bunsheelin,1,river,stream
Burncourt,1,river,stream
Caddagh,1,populated place,populated place
Caha,1,mountain,elevation
Caheer,1,lake,basin
Caher,2,river,stream
Caherkine Lough,1,lake,basin
Caherrush,1,point,convex shoreline
Calabbe,1,river,stream
Calabber,1,river,stream
Calabber,1,river,stream
Calliagherom,1,rock,elevation
Callow Lough,1,lake,basin
Callowhill,1,hill,elevation
Calteraun,1,populated place,populated place
Caltoughs Lough,1,lake,basin
Caltragh,4,populated place,populated place
Camaross,1,populated place,populated place
Cammoge,1,populated place,populated place
Cams,1,populated place,populated place
Canbo Lough,1,lake,basin
Canduff,1,cape,convex shoreline
Canrour,1,populated place,populated place
Canuig,1,mountain,elevation
Cappagh,2,river,stream
Cappaghnagarrane,1,hill,elevation
Cappanargid,1,populated place,populated place
Cappanarrow,1,populated place,populated place
Cappanavarnoge,1,populated place,populated place
Cappanawalla,1,mountain,elevation
Capparicar Lough,1,lake,basin
Capppancur,1,populated place,populated place
Cappyroe,1,populated place,populated place
Caragh Cliff,1,cliff,elevation
Cardy,1,rocks,elevation
Cargaghlisnanarney,1,populated place,populated place
Carhameere,1,populated place,populated place
Carhoonaknock,1,populated place,populated place
Carna,1,populated place,populated place
Carnahinch,1,mountain,elevation
Carnarona,1,point,convex shoreline
Carnavaddy,1,mountain,elevation
Carndonagh,1,populated place,populated place
Carnhill,1,populated place,populated place
Carntullagh Head,1,cape,convex shoreline
Carra,1,populated place,populated place
Carrafin Lough,1,lake,basin
Carraig an Mhoilt,1,rocks,elevation
Carraig an Phoill,1,populated place,populated place
Carraig na Siúire,1,populated place,populated place
Carran,1,mountain,elevation
Carranarah,1,mountain,elevation
Carranduff,1,populated place,populated place
Carrantuohill,1,mountain,elevation
Carratraw Lough,1,lake,basin
Carrauntoohil,1,mountain,elevation
Carrick,2,hill,elevation
Carrick Lough,1,lake,basin
Carrickadda,1,point,convex shoreline
Carrickallen,1,populated place,populated place
Carrickarone,1,island,island
Carrickaslane,1,populated place,populated place
Carrickduff,1,rocks,elevation
Carrickhire,1,rocks,elevation
Carricklahan,1,point,convex shoreline
Carricklaur,1,island,island
Carrickmahoga,1,rock,elevation
Carrickmines,1,populated place,populated place
Carrickmore,1,island,island
Carricknacrannoge Lough,1,lake,basin
Carricknagaddy,1,rock,elevation
Carricknagalliaghdoo,1,rock,elevation
Carricknagappul,1,hill,elevation
Carricknahorna Lough,1,lake,basin
Carricknalicka,1,rock,elevation
Carricknamore,1,rock,elevation
Carricknaronty,1,island,island
Carricknaroun,1,island,island
Carrickrathmullin,1,populated place,populated place
Carrig,5,populated place,populated place
Carrig,1,hill,elevation
Carrig,1,island,island
Carrigadoon,1,mountain,elevation
Carrigagharoe,1,point,convex shoreline
Carrigaholt,1,bay,concave shoreline
Carrigbrean,1,point,convex shoreline
Carrigcleamore,1,cliff,elevation
Carrigee,1,island,island
Carrigeenina,1,mountain,elevation
Carrigfadda,1,island,island
Carriggower,1,river,stream
Carrighenry,1,mountain,elevation
Carriglinneen,1,mountain,elevation
Carrigmaclea,1,hill,elevation
Carrigmount,1,mountain,elevation
Carrignaspirroge,1,mountain,elevation
Carrigroe,1,mountain,elevation
Carrigvahanagh,1,hill,elevation
Carroll’s,1,mountain,elevation
Carronadavderg,1,hill,elevation
Carroward,2,populated place,populated place
Carrowbunnauna,1,populated place,populated place
Carrowcushely,1,populated place,populated place
Carrower,1,populated place,populated place
Carrowhubbuck,1,populated place,populated place
Carrowkeel,1,river,stream
Carrowkeel,1,river,stream
Carrowloughan Lough,1,lake,basin
Carrowmaddy,1,river,stream
Carrowmore,14,populated place,populated place
Carrownadargny,1,populated place,populated place
Carrownahaun,1,populated place,populated place
Carrownaknocraun,1,populated place,populated place
Carrownaleck,1,populated place,populated place
Carrownamaddy,1,river,stream
Carrownamallaght Lough,1,lake,basin
Carrowneden,3,populated place,populated place
Carrowntawy,1,populated place,populated place
Carrowntober,2,populated place,populated place
Carrownurlar,2,populated place,populated place
Carrowsallagh,1,river,stream
Carthage,1,hill,elevation
Cartron Lough,2,lake,basin
Casheen,1,bay,concave shoreline
Cashel Lough,1,lake,basin
Cashelduff,1,populated place,populated place
Cashelgolan,1,hill,elevation
Cashelnacor,1,river,stream
Cashia,1,river,stream
Cashla,1,populated place,populated place
Cauteen,1,river,stream
Cavan,1,river,stream
Ceann Acla,1,cape,convex shoreline
Ceann an Inbhir Mhóir,1,cape,convex shoreline
Ceann Chiarrai,1,cape,convex shoreline
Ceapach Choinn,1,populated place,populated place
Céidin,1,mountain,elevation
Chadrinagh,1,populated place,populated place
Cill an Mhuilinn,1,populated place,populated place
Cill Chiaráin,1,populated place,populated place
Cill Choca,1,populated place,populated place
Cill Maodhóg,1,populated place,populated place
Cill Mobhí,1,populated place,populated place
Cill Mogeanna,1,populated place,populated place
Cill Ón Chatha,1,hill,elevation
Cill Rónáin,1,populated place,populated place
Cill Scíre,1,populated place,populated place
Cill Tíle,1,populated place,populated place
Cillín Chaoimhín,1,populated place,populated place
Cionn an Locha,1,lake,basin
Cionn Fhánada,1,cape,convex shoreline
Claddagh,1,river,stream
Claddaghgarriff,1,mountain,elevation
Cladhnach,1,island,island
Clady,3,river,stream
Claggan,1,peninsula,convex shoreline
Claggan,1,point,convex shoreline
Claídeach,1,populated place,populated place
Claragh,1,mountain,elevation
Clare,2,river,stream
Clarebane,1,river,stream
Clarebane,1,river,stream
Clashawley,1,river,stream
Cleevaun Lough,1,lake,basin
Cléire,1,cape,convex shoreline
Clendy,1,river,stream
Clera,1,island,island
Clocharnach,1,mountain,elevation
Clocully,1,populated place,populated place
Cloggaghwood Loughs,1,lakes,basin
Clogh,1,river,stream
Cloghane,1,river,stream
Cloghanulk,1,populated place,populated place
Cloghaun Lough,1,lake,basin
Cloghbane,1,populated place,populated place
Cloghernagh,1,populated place,populated place
Cloghfin,4,populated place,populated place
Cloghmore,1,point,convex shoreline
Cloghnahakilla,1,point,convex shoreline
Clon,1,populated place,populated place
Clonadacasey,1,populated place,populated place
Clonakilty,1,bay,concave shoreline
Clonasera,1,hill,elevation
Clondelara,1,populated place,populated place
Cloneen,3,populated place,populated place
Cloneybeg,1,populated place,populated place
Clonglash,1,populated place,populated place
Clonkeen Lough,1,lake,basin
Clonnagh,1,populated place,populated place
Clonoula,1,populated place,populated place
Clonshanbo,1,river,stream
Clonshire,1,river,stream
Clonty Lough,1,lake,basin
Clonygark,1,populated place,populated place
Clonylogan,1,populated place,populated place
Cloonaghlin,1,cape,convex shoreline
Cloonaghmore,1,river,stream
Cloonaghmore,1,point,convex shoreline
Cloonaghmore,1,river,stream
Cloonalaghan,1,river,stream
Cloonalaghan,1,river,stream
Cloonameehan,1,populated place,populated place
Cloonard,1,river,stream
Cloonascragh,1,river,stream
Cloonascragh,1,river,stream
Cloonboygher,1,populated place,populated place
Clooncarna,1,populated place,populated place
Clooncorha,1,populated place,populated place
Clooncrooeel,1,populated place,populated place
Cloonderlaw,1,bay,concave shoreline
Clooneshil,1,populated place,populated place
Cloongort,1,hill,elevation
Cloongullaun,1,populated place,populated place
Cloonierin,1,populated place,populated place
Clooninshin,1,populated place,populated place
Cloonlavis,1,populated place,populated place
Cloonleenaun,1,populated place,populated place
Cloonmaul,1,populated place,populated place
Cloontaconnagh,1,populated place,populated place
Cloontarriff Lough,1,lake,basin
Cloontia,1,populated place,populated place
Clossaghroe,1,populated place,populated place
Cluain Falach,1,populated place,populated place
Cluain Fearta,1,populated place,populated place
Cluain Leannáin,1,populated place,populated place
Cluain Tarbh,1,populated place,populated place
Cluid,1,populated place,populated place
Clyda,1,river,stream
Cnoc an Iúir,1,populated place,populated place
