name,place_category,frequency
Abha,stream,1
Abisdedly,basin,1
Achadh Na Gcrann,stream,1
Achair,basin,1
Achillbeg,island,1
Achree,basin,1
Achryane,basin,1
Acla,convex shoreline,1
Aclearig,basin,1
Acoose,basin,2
Acummeen,basin,2
Addergoole,stream,1
Adeel,basin,1
Adoochro,basin,1
Afoor,basin,1
Aggard,stream,1
Agh,basin,3
Aghacashlawn,stream,1
Aghacurreen,populated place,2
Aghadiffin,populated place,1
Aghalona,stream,1
Aghameelta,populated place,1
Aghavannagh,elevation,1
Aghavannah,populated place,1
Aghaveagh,populated place,1
Aghavoher,basin,1
Aghills,basin,1
Aghills,elevation,1
Aghla,elevation,2
Aghnish,basin,1
Agraffard,basin,1
Ahalia,basin,1
Ahusey,basin,1
Aillenacally,populated place,1
Aillroe,elevation,1
Aillte,island,1
Aimhréidh,island,1
Aird,populated place,1
Akeen,basin,1
Akibbon,basin,1
Alaan,basin,1
Aleck,basin,1
Alewnaghta,basin,1
Alick,basin,1
Allen,elevation,1
Alligan,basin,1
Alp,elevation,1
Altachoastia,elevation,1
Altaconey,stream,1
Altan,basin,1
Altderg,stream,1
Altinierin,elevation,1
Altnagullion,stream,2
Altocreen,basin,1
Anamullaghaun,stream,1
Anaserd,basin,1
Anillar,basin,1
Anirvere,basin,1
Anloge,elevation,1
Annagh,marsh,1
Annagh,stream,3
Annagh West,island,1
Annaghbeg,populated place,1
Annaghierin,basin,1
Annaghvaan,populated place,1
Anner,stream,2
Anoneen,basin,1
Anooran,basin,1
Anscaul,basin,1
Antrawer,basin,1
Apheebera,basin,1
Araglin,stream,2
Aran,island,3
Arch,convex shoreline,1
Ardaboy,basin,1
Ardabrone,populated place,1
Ardagh,basin,1
Ardagh,populated place,7
Ardaidh,populated place,1
Ardakillin,basin,1
Ardbear,concave shoreline,1
Ardboline,island,1
Ardderry,basin,1
Arderin,elevation,1
Ardfry,convex shoreline,1
Ardgreagh,populated place,1
Ardmore,convex shoreline,1
Ardmulchan,populated place,1
Ardraheen,populated place,1
Ardsheelhane,stream,1
Ardskea,populated place,1
Arinagh,basin,1
Arklow,elevation,1
Arklow,populated place,1
Aroo,basin,1
Aroo,elevation,1
Aroolagh,basin,1
Aroshin,basin,1
Arra,elevated area,1
Arra,stream,1
Ash,island,1
Askilgubroenacoragh,convex shoreline,1
Assaroe,basin,1
Astickeen,basin,1
Asturrall,basin,1
Atercon,basin,1
Athboy,stream,1
Athgarvan,populated place,1
Athlone,populated place,2
Athooynastooka,basin,1
Athy,populated place,1
Atlea,basin,1
Atorick,basin,1
Attavally,populated place,2
Attiduff,basin,1
Attimachugh,populated place,1
Attyslany,basin,1
Auahboy,stream,1
Aughanall,stream,1
Aughinish,convex shoreline,3
Aughinish Inlet,basin,1
Aughrim,stream,1
Aughris,convex shoreline,1
Aughrusbeg,basin,1
Aush,basin,1
Avaghon,basin,1
Avaher,basin,1
Availe,basin,1
Avally,basin,1
Avoca,populated place,1
Awbeg,stream,1
Awinbeg,stream,1
Aylevarroo,convex shoreline,1
Baginbun,convex shoreline,1
Ballagh,elevation,1
Ballany,populated place,1
Ballard,concave shoreline,1
Ballickmoyler,populated place,1
Ballinabarny,populated place,1
Ballinagappoge,elevation,1
Ballinaleama,concave shoreline,1
Ballinanty,populated place,1
Ballinaskea,populated place,1
Ballinasloe,populated place,1
Ballinastraw,populated place,1
Ballincar,populated place,1
Ballincurra,elevation,1
Ballindangan,populated place,2
Ballindrum,populated place,1
Ballingarry,island,1
Ballinhassig,populated place,1
Ballinhoe,populated place,1
Ballinla,populated place,1
Ballinrally,populated place,1
Ballintlea,populated place,3
Ballintubber,populated place,1
Ballinwillin,populated place,1
Ballitore,populated place,1
Ballivor,populated place,2
Ballough,populated place,1
Balloughter,populated place,1
Ballyandreen,populated place,1
Ballyania,stream,1
Ballybeg,stream,1
Ballybinaby,populated place,1
Ballyboe,populated place,1
Ballyboy,populated place,2
Ballybrophy,populated place,1
Ballycahall,populated place,1
Ballycong,basin,1
Ballyconnell,convex shoreline,1
Ballycottin,concave shoreline,1
Ballycottin,island,1
Ballycotton,concave shoreline,1
Ballycoyle,populated place,1
Ballycreen,stream,1
Ballycrissane,populated place,1
Ballycuirke,basin,1
Ballycullinan,basin,1
Ballydawley,basin,1
Ballydevill,populated place,1
Ballydonnell,stream,1
Ballydoogan,populated place,2
Ballydurn,populated place,1
Ballyegan,populated place,1
Ballygarriff,populated place,2
Ballygow,populated place,1
Ballyguile,populated place,1
Ballyheelan,populated place,1
Ballyheigue,concave shoreline,1
Ballyhonock,basin,1
Ballyhorgan,marsh,1
Ballyhoura,elevated area,1
Ballykeefe,marsh,1
Ballykenny,convex shoreline,1
Ballylaghnan,elevation,1
Ballylanders,populated place,1
Ballylennan,populated place,1
Ballyline,populated place,1
Ballylongford,concave shoreline,1
Ballylow,stream,1
Ballymacahil,elevation,1
Ballymacdonnell,stream,1
Ballymagauran,basin,1
Ballymagauran,populated place,1
Ballymahon,populated place,1
Ballymalone,marsh,2
Ballymiles,populated place,1
Ballymoon,populated place,1
Ballymore,convex shoreline,1
Ballymulmore,populated place,1
Ballymurphy,populated place,1
Ballynacargy,populated place,1
Ballynacarriga,populated place,2
Ballynacree,populated place,1
Ballynagaul,populated place,2
Ballynahinch,basin,1
Ballynamona,elevation,1
Ballynamought,populated place,1
Ballynaneashagh,populated place,1
Ballynora,populated place,1
Ballyogan,basin,1
Ballyoliver,populated place,1
Ballyorgan,populated place,1
Ballyowen,populated place,3
Ballyrahan,populated place,1
Ballyring,elevation,1
Ballyrush,populated place,2
Ballysadare,stream,1
Ballysloe,populated place,1
Ballyteige,basin,1
Ballyvaltron,populated place,1
Ballyvoge,elevation,1
Ballywalter,populated place,1
Banada,populated place,2
Banane,elevation,1
Bane,basin,2
Bangor,populated place,1
Bankboy,underwater elevation,1
Banna,populated place,1
Bannus,basin,1
Banoge,stream,1
Bansha,populated place,1
Baralty,populated place,1
Barbavilla,marsh,1
Barnabrack,populated place,1
Barnacahoge,populated place,1
Barnacuille,populated place,1
Barnadarrig,populated place,2
Barnaderg,concave shoreline,1
Barnagh,elevation,2
Barnan,elevation,1
Barnavave,elevation,1
Barnynagappul,shoreline,1
Baronrath,populated place,1
Barrack,convex shoreline,1
Barroe,populated place,4
Barrowen,basin,1
Bartonny,basin,1
Baunballinlough,populated place,1
Baunogemeely,populated place,1
Baunrosmore,populated place,1
Baurearagh,stream,1
Baurnahard,convex shoreline,1
Bawn,basin,1
Bawn,elevation,1
Bawnduff,elevation,1
Bawnoge,populated place,2
Bawnrush,elevation,1
Bay,basin,1
Beagh,basin,1
Beaghcauneen,basin,1
Beaghy,elevation,1
Beara,basin,1
Beendarrig,elevation,1
Beenhenry,elevation,1
Beenmore,elevation,1
Beennakryraka,convex shoreline,1
Beenreagh,elevation,1
Behanagh,stream,1
Behy,populated place,1
Behy,stream,1
Bekan,basin,1
Belcarra,populated place,1
Belcloghogy,basin,1
Belderg,populated place,1
Belderg,stream,1
Belderra,shoreline,1
Belgooly,populated place,1
Bellacragher,concave shoreline,1
Bellahascarva,populated place,1
Bellakip,stream,1
Bellanacarra,populated place,1
Bellarush,populated place,1
Bellaveeny,populated place,1
Belra,populated place,1
Benbulben,elevation,1
Bencroy,elevation,1
Bencullagh,elevation,1
Bengorm,elevation,2
Bennaummore,elevation,1
Benwee,convex shoreline,1
Benwee Geevraun,convex shoreline,1
Bertraghboy,concave shoreline,1
Bevan,depression,1
Bhlainséir,populated place,1
Bhuaile An Fheadáin,elevation,1
Bilberry,island,1
Billa,populated place,1
Binnaneane,elevation,1
Binnion,elevation,1
Binswilly,elevation,1
Birreencorragh,elevation,1
Bohaun,elevation,1
Boherbaun,stream,2
Boherbue,populated place,1
Boherglass,populated place,1
Bolinaspick,populated place,1
Boliska,basin,1
Bollard,basin,1
Bonet,stream,1
Bookeen,elevation,1
Boola,populated place,1
Booley,concave shoreline,1
Boor,stream,1
Boora,stream,1
Boraghy,basin,1
Boro,stream,2
Borrisnoe,elevation,1
Borrisoleigh,populated place,1
Both Faonáin,populated place,1
Boughil,elevation,1
Bounla,island,1
Boy,basin,2
Boyle,stream,1
Braadillaun,island,1
Bracklagh,stream,1
Bracklaghboy,populated place,1
Brackley,basin,1
Brackloon,basin,1
Bradlieve,elevation,1
Bray,elevation,1
Breagagh,stream,1
Breaghy,convex shoreline,1
Breckinish,island,1
Bredagh,stream,1
Bree,basin,1
Bree,elevation,1
Bregaun,elevation,1
Bregoge,stream,1
Brennan’s,elevation,1
Brittas,basin,1
Broaghnabinnia,elevation,1
Brockagh,stream,1
Brosna,stream,1
Broughal,populated place,1
Bruff,populated place,2
Bruree,populated place,1
Brusna,stream,1
Bré,populated place,1
Bré Uachtair,basin,1
Buaile Uí Chuill,populated place,1
Buailte Pádraig,elevation,1
Buckoogh,elevation,1
