place_category,separate_ending,frequency
basin,<NONE>,16
stream,<NONE>,164
populated place,<NONE>,714
island,<NONE>,67
elevation,<NONE>,278
depression,<NONE>,6
convex shoreline,<NONE>,38
concave shoreline,<NONE>,5
island,Beag,2
populated place,Beag,2
elevation,Beg,2
elevated area,Beg,2
basin,Beg,5
populated place,Beg,5
populated place,Bheag,2
basin,Bofin,3
stream,Brook,5
stream,Douglas,3
populated place,Dubh,7
populated place,Fhaiche,4
basin,Gal,4
basin,Gall,5
basin,Golagh,3
convex shoreline,Head,18
populated place,Iúir,2
basin,Keagh,2
stream,Lee,2
basin,Lough,163
basin,Loughs,8
basin,Machugh,2
populated place,Mhór,3
populated place,More,6
elevation,More,4
basin,More,3
island,Mór,3
basin,Nabrack,3
island,Oileán,2
basin,Reagh,3
stream,River,181
basin,Sallagh,3
