place_category,beginning
area,Cam
area,Camp
area,Campa
area,Campan
area,Lom
area,Lomb
area,Lomba
area,Lombar
area,Maj
area,Majo
area,Major
area,Majore
basin,Amy
basin,Amyc
basin,Amycl
basin,Amycla
basin,Arv
basin,Arvo
basin,Bre
basin,Breb
basin,Brebe
basin,Brebei
basin,Cir
basin,Cird
basin,Cirdu
basin,Com
basin,Como
basin,Dra
basin,Drag
basin,Dragg
basin,Draggi
basin,Fog
basin,Fogl
basin,Fogli
basin,Foglia
basin,Kas
basin,Kast
basin,Kaste
basin,Kastel
basin,Lan
basin,Lang
basin,Lange
basin,Langen
basin,Lar
basin,Lari
basin,Lario
basin,Lug
basin,Luga
basin,Lugan
basin,Lugano
basin,Mae
basin,Maes
basin,Maest
basin,Maestr
basin,Mag
basin,Magg
basin,Maggi
basin,Maggio
basin,Mal
basin,Mala
basin,Malam
basin,Malamo
basin,Mar
basin,Mart
basin,Marti
basin,Martig
basin,Mez
basin,Mezz
basin,Mezzo
basin,Mezzol
basin,Mis
basin,Mise
basin,Misen
basin,Miseno
basin,Muc
basin,Mucr
basin,Mucro
basin,Mucron
basin,Pad
basin,Padu
basin,Padul
basin,Paduli
basin,Sci
basin,Scil
basin,Scill
basin,Scillo
basin,Sru
basin,Srue
basin,Sruer
basin,Ver
basin,Verb
basin,Verba
basin,Verban
basin,d’E
basin,d’En
basin,d’End
basin,d’Endi
basin,d’I
basin,d’Id
basin,d’Idr
basin,d’Idro
concave shoreline,Bat
concave shoreline,Batt
concave shoreline,Batti
concave shoreline,Battis
concave shoreline,Bra
concave shoreline,Bran
concave shoreline,Brand
concave shoreline,Brandi
concave shoreline,Buf
concave shoreline,Buff
concave shoreline,Buffo
concave shoreline,Buffol
concave shoreline,Bur
concave shoreline,Burr
concave shoreline,Burro
concave shoreline,Burron
concave shoreline,Chi
concave shoreline,Chia
concave shoreline,Chiao
concave shoreline,Chiaol
concave shoreline,Fra
concave shoreline,Fran
concave shoreline,Franc
concave shoreline,France
concave shoreline,Gav
concave shoreline,Gave
concave shoreline,Gavet
concave shoreline,Gavett
concave shoreline,Ist
concave shoreline,Ista
concave shoreline,Istan
concave shoreline,Istana
concave shoreline,Lis
concave shoreline,Lisc
concave shoreline,Lisci
concave shoreline,Liscia
concave shoreline,Mar
concave shoreline,Marg
concave shoreline,Margh
concave shoreline,Marghe
concave shoreline,Ped
concave shoreline,Pedr
concave shoreline,Pedro
concave shoreline,Pedros
concave shoreline,Pic
concave shoreline,Picc
concave shoreline,Picco
concave shoreline,Piccol
concave shoreline,Por
concave shoreline,Port
concave shoreline,Porto
concave shoreline,Sal
concave shoreline,Sali
concave shoreline,Salin
concave shoreline,Saline
concave shoreline,San
concave shoreline,Sant
concave shoreline,Sant’
concave shoreline,Sant’E
concave shoreline,Sis
concave shoreline,Sisi
concave shoreline,Sisin
concave shoreline,Sisine
concave shoreline,Tri
concave shoreline,Trie
concave shoreline,Tries
concave shoreline,Triest
concave shoreline,del
concave shoreline,d’A
concave shoreline,d’Ag
concave shoreline,d’Agu
concave shoreline,d’Agum
concave shoreline,d’O
concave shoreline,d’Om
concave shoreline,d’Omb
concave shoreline,d’Ombr
concave shoreline,d’Or
concave shoreline,d’Orr
concave shoreline,d’Orri
convex shoreline,Agn
convex shoreline,Agna
convex shoreline,Agnad
convex shoreline,Agnadd
convex shoreline,Ali
convex shoreline,Alic
convex shoreline,Alice
convex shoreline,Are
convex shoreline,Aren
convex shoreline,Arena
convex shoreline,Arene
convex shoreline,Arenel
convex shoreline,Bat
convex shoreline,Batt
convex shoreline,Batti
convex shoreline,Battis
convex shoreline,Ber
convex shoreline,Bert
convex shoreline,Berta
convex shoreline,Bia
convex shoreline,Bian
convex shoreline,Bianc
convex shoreline,Bianca
convex shoreline,Bianco
convex shoreline,Boe
convex shoreline,Boeo
convex shoreline,Bra
convex shoreline,Brac
convex shoreline,Bracc
convex shoreline,Bracce
convex shoreline,Bru
convex shoreline,Bruz
convex shoreline,Bruzz
convex shoreline,Bruzza
convex shoreline,Cac
convex shoreline,Cacc
convex shoreline,Cacci
convex shoreline,Caccia
convex shoreline,Cal
convex shoreline,Cala
convex shoreline,Calav
convex shoreline,Calavi
convex shoreline,Calc
convex shoreline,Calca
convex shoreline,Calcar
convex shoreline,Cap
convex shoreline,Capa
convex shoreline,Capac
convex shoreline,Capacc
convex shoreline,Cav
