place_category,ending
area,Campania
area,Lombarda
area,Majore
area,ajore
area,ampania
area,ania
area,arda
area,barda
area,jore
area,mbarda
area,mpania
area,nia
area,ombarda
area,ore
area,pania
area,rda
basin,Amyclanus
basin,Arvo
basin,Brebeis
basin,Cirdu
basin,Como
basin,Endine
basin,Fogliano
basin,Idro
basin,Kastelsee
basin,Langensee
basin,Lario
basin,Lugano
basin,Maestrale
basin,Maggiore
basin,Malamocco
basin,Mezzola
basin,Miseno
basin,Mucrone
basin,Paduli
basin,Scillo
basin,Sruer
basin,Verbano
basin,aduli
basin,aestrale
basin,aggiore
basin,aggiésolo
basin,alamocco
basin,ale
basin,amocco
basin,angensee
basin,ano
basin,anus
basin,ario
basin,artignano
basin,astelsee
basin,bano
basin,beis
basin,cco
basin,cillo
basin,clanus
basin,crone
basin,dine
basin,dro
basin,duli
basin,d’Endine
basin,d’Idro
basin,ebeis
basin,eis
basin,elsee
basin,eno
basin,ensee
basin,erbano
basin,estrale
basin,ezzola
basin,gano
basin,gensee
basin,ggiore
basin,ggiésolo
basin,giore
basin,giésolo
basin,gliano
basin,gnano
basin,iano
basin,ignano
basin,illo
basin,ine
basin,iore
basin,irdu
basin,iseno
basin,iésolo
basin,lamocco
basin,lanus
basin,liano
basin,llo
basin,lsee
basin,mocco
basin,myclanus
basin,nano
basin,ndine
basin,ngensee
basin,nsee
basin,nus
basin,occo
basin,ogliano
basin,ola
basin,olo
basin,omo
basin,one
basin,ore
basin,rale
basin,rbano
basin,rdu
basin,rebeis
basin,rio
basin,rone
basin,rtignano
basin,ruer
basin,rvo
basin,see
basin,seno
basin,solo
basin,stelsee
basin,strale
basin,telsee
basin,tignano
basin,trale
basin,ucrone
basin,uer
basin,ugano
basin,uli
basin,yclanus
basin,zola
basin,zzola
basin,ésolo
basin,’Endine
basin,’Idro
concave shoreline,Agumu
concave shoreline,Buffoluto
concave shoreline,Burroni
concave shoreline,Erasmo
concave shoreline,Francese
concave shoreline,Francesi
concave shoreline,Gavetta
concave shoreline,Istana
concave shoreline,Liscia
concave shoreline,Marghera
concave shoreline,Ombrone
concave shoreline,Orri
concave shoreline,Pedrosu
concave shoreline,Piccolo
concave shoreline,Porto
concave shoreline,Saline
concave shoreline,Sisine
concave shoreline,Trieste
concave shoreline,aline
concave shoreline,ana
concave shoreline,ancese
concave shoreline,ancesi
concave shoreline,andinghi
concave shoreline,aolella
concave shoreline,arghera
concave shoreline,asmo
concave shoreline,attistone
concave shoreline,avetta
concave shoreline,brone
concave shoreline,ccolo
concave shoreline,cese
concave shoreline,cesi
concave shoreline,cia
concave shoreline,colo
concave shoreline,del
concave shoreline,dinghi
concave shoreline,drosu
concave shoreline,d’Agumu
concave shoreline,d’Ombrone
concave shoreline,d’Orri
concave shoreline,edrosu
concave shoreline,ella
concave shoreline,era
concave shoreline,ese
concave shoreline,esi
concave shoreline,este
concave shoreline,etta
concave shoreline,ffoluto
concave shoreline,foluto
concave shoreline,ghera
concave shoreline,ghi
concave shoreline,gumu
concave shoreline,hera
concave shoreline,hiaolella
concave shoreline,iaolella
concave shoreline,iccolo
concave shoreline,ieste
concave shoreline,ine
concave shoreline,inghi
concave shoreline,iscia
concave shoreline,isine
concave shoreline,istone
concave shoreline,lella
concave shoreline,line
concave shoreline,lla
concave shoreline,luto
concave shoreline,mbrone
concave shoreline,ncese
concave shoreline,ncesi
concave shoreline,ndinghi
concave shoreline,nghi
concave shoreline,nt’Erasmo
concave shoreline,olella
concave shoreline,olo
concave shoreline,oluto
concave shoreline,one
concave shoreline,oni
concave shoreline,orto
concave shoreline,osu
concave shoreline,rancese
concave shoreline,rancesi
concave shoreline,randinghi
concave shoreline,rasmo
concave shoreline,rghera
concave shoreline,rieste
concave shoreline,rone
concave shoreline,roni
concave shoreline,rosu
concave shoreline,rri
concave shoreline,rroni
concave shoreline,rto
concave shoreline,scia
concave shoreline,sine
concave shoreline,smo
concave shoreline,stana
concave shoreline,ste
concave shoreline,stone
concave shoreline,tana
concave shoreline,tistone
concave shoreline,tone
concave shoreline,tta
concave shoreline,ttistone
concave shoreline,t’Erasmo
concave shoreline,uffoluto
concave shoreline,umu
concave shoreline,urroni
concave shoreline,uto
concave shoreline,vetta
concave shoreline,’Agumu
concave shoreline,’Erasmo
concave shoreline,’Ombrone
concave shoreline,’Orri
convex shoreline,'Aligusta
convex shoreline,Agnadda
convex shoreline,Alice
convex shoreline,Aligusta
convex shoreline,Andrea
convex shoreline,Arena
convex shoreline,Arenella
convex shoreline,Berta
convex shoreline,Bianca
convex shoreline,Bianco
convex shoreline,Boeo
convex shoreline,Braccetto
convex shoreline,Bruzzano
convex shoreline,Caccia
convex shoreline,Calavià
convex shoreline,Capaccia
convex shoreline,Cavallo
convex shoreline,Ceraso
convex shoreline,Circeo
convex shoreline,Coda
convex shoreline,Colonna
convex shoreline,Corbo
convex shoreline,Craul
convex shoreline,Cugno
convex shoreline,Furana
convex shoreline,Giordano
convex shoreline,Langan
convex shoreline,Maimoni
convex shoreline,Manara
convex shoreline,Mannu
convex shoreline,Martin
convex shoreline,Mattonara
convex shoreline,Menga
convex shoreline,Miseno
convex shoreline,Monte
convex shoreline,Mortola
convex shoreline,Mulino
convex shoreline,Nave
convex shoreline,Peloro
convex shoreline,Pero
convex shoreline,Pizzone
convex shoreline,Ratsi
convex shoreline,Regilione
convex shoreline,Ristola
convex shoreline,Ronco
convex shoreline,Rosocolmo
convex shoreline,Ruia
convex shoreline,Sabina
convex shoreline,Sardegna
convex shoreline,Scalambri
convex shoreline,Scalombri
convex shoreline,Scario
convex shoreline,Schisò
convex shoreline,Sguerina
convex shoreline,Socciaro
convex shoreline,Trabucato
convex shoreline,Ventroso
convex shoreline,Verde
convex shoreline,Vetereto
convex shoreline,Vico
convex shoreline,Zavorra
convex shoreline,abina
convex shoreline,abucato
convex shoreline,accetto
convex shoreline,accia
convex shoreline,adda
convex shoreline,aimoni
convex shoreline,alambri
convex shoreline,alavià
convex shoreline,alcarella
convex shoreline,allo
convex shoreline,alombri
convex shoreline,ambri
convex shoreline,ana
convex shoreline,anara
convex shoreline,anca
convex shoreline,anco
convex shoreline,angan
convex shoreline,annu
convex shoreline,ano
convex shoreline,apaccia
convex shoreline,ara
convex shoreline,ardegna
convex shoreline,arella
convex shoreline,arieddu
convex shoreline,ariglione
convex shoreline,ario
convex shoreline,aro
convex shoreline,artin
convex shoreline,aso
convex shoreline,ato
convex shoreline,atsi
convex shoreline,attistone
convex shoreline,attonara
convex shoreline,aul
convex shoreline,avallo
convex shoreline,ave
convex shoreline,avià
convex shoreline,avorra
convex shoreline,bina
convex shoreline,bri
convex shoreline,bucato
convex shoreline,calambri
convex shoreline,calombri
convex shoreline,carella
convex shoreline,cario
convex shoreline,cato
convex shoreline,ccetto
convex shoreline,ccia
convex shoreline,cciaro
convex shoreline,ceo
convex shoreline,cetto
convex shoreline,chisò
convex shoreline,cia
convex shoreline,ciaro
