name,frequency,place_type,place_category
Abava,1,river,stream
Abolkalni,1,populated place,populated place
Ābolkalnu-Zīleskalnu Pacēlums,1,hills,elevated area
Abragciems,1,populated place,populated place
Abragtsiems,1,populated place,populated place
Abrina,1,populated place,populated place
Acleja,1,depression,depression
Adamovas Ezers,2,lake,basin
Ādaži,1,populated place,populated place
Aģes Dzirnavezers,1,lake,basin
Aģes Purvs,1,swamp,marsh
Aglašs,1,hill,elevation
Aglona,2,populated place,populated place
Aglonas Dzirnavezers,1,lake,basin
Aglonas Kalns,1,hill,elevation
Ainavas Dzirnavezers,1,lake,basin
Aišpūri,1,swamp,marsh
Aitu Leja,1,hill,elevation
Aizdzire,1,populated place,populated place
Aizkalnes Kalns,2,hill,elevation
Aizpurve,4,populated place,populated place
Aizupe,1,swamp,marsh
Akanstaka,1,populated place,populated place
Akas Kalns,2,hill,elevation
Akatnīku Pūrs,1,swamp,marsh
Akaviņas Dzirnavezers,1,lake,basin
Aklītis,1,lake,basin
Akļu Kalns,1,hill,elevation
Akmene,1,river,stream
Akmeņsala,1,populated place,populated place
Akmenskalns,1,hill,elevation
Akmeņu Dīķis,1,pond,basin
Akminīšu Kalns,1,hill,elevation
Akmiņu Kolns,1,hill,elevation
Aknīste,1,populated place,populated place
Aktānu Kalns,1,hill,elevation
Alkšņupītes Ūdensrijējs,1,depression,depression
Aloja,1,populated place,populated place
Aluksne,1,lake,basin
Alūksnes Ezers,1,lake,basin
Alunāni,1,populated place,populated place
Alunēnu Dīķis,1,pond,basin
Amata,1,populated place,populated place
Amatnieki,1,populated place,populated place
Ambaiņu Kalns,1,hill,elevation
Ampuri,1,depression,depression
Ancāni,2,populated place,populated place
Anchkuna,1,populated place,populated place
Ančipovas Ezers,1,lake,basin
Anckiņš,1,hill,elevation
Ančupānu Kalni,1,hill,elevation
Anderi,1,populated place,populated place
Andrāni,1,populated place,populated place
Andrecēnu Akmens,1,rock,elevation
Andreja Sala,1,peninsula,convex shoreline
Andrejosta,1,harbor,concave shoreline
Andrēnu Kalns,2,hill,elevation
Andricēnu Krievu Kalniņš,1,hill,elevation
Anduļēnu Dīķis,1,pond,basin
Anduni,1,populated place,populated place
Andužu Ezers,1,lake,basin
Ānfabrikas Klints,1,cliff,elevation
Āņi,2,populated place,populated place
Aņītes Vidējais Iezis,1,cliff,elevation
Anmuižas Pūrs,1,swamp,marsh
Annas Klints,1,cliff,elevation
Anniņu Dīķis,1,pond,basin
Anša Kalns,1,hill,elevation
Ansnītkangars,1,hill,elevation
Antiņciems,1,populated place,populated place
Antonnieks,1,lake,basin
Antonu Akmens,1,rock,elevation
