place_category,ending
basin,ēnu
basin,tes
basin,tas
basin,ānu
basin,mas
basin,lis
basin,eņu
basin,res
basin,des
basin,aru
basin,era
basin,nis
basin,ķis
basin,uļu
basin,das
basin,īšu
basin,aļu
basin,les
basin,eņš
basin,ins
basin,bes
basin,iņa
basin,šķu
basin,ena
basin,zas
basin,jas
basin,ātu
basin,ovas
basin,enes
basin,maņu
basin,išku
basin,riņu
basin,liņu
basin,tiņu
basin,riņš
basin,ģeru
basin,nkas
basin,anku
basin,rgas
basin,iņas
basin,niņu
basin,guru
basin,nieku
basin,ienas
basin,Parka
basin,ovkas
basin,ieris
basin,kalna
basin,muižas
basin,nezers
basin,enītis
basin,šezers
convex shoreline,rags
depression,leja
elevated area,ēnu
elevated area,šku
elevated area,kalni
elevation,ānu
elevation,das
elevation,nas
elevation,las
elevation,aļu
elevation,ves
elevation,tas
elevation,īšu
elevation,eļu
elevation,era
elevation,eru
elevation,res
elevation,zes
elevation,uru
elevation,iķu
elevation,eņu
elevation,umu
elevation,nču
elevation,gas
elevation,iņa
elevation,uka
elevation,ūķu
elevation,kļu
elevation,ņas
elevation,mes
elevation,ipu
elevation,ņķu
elevation,bas
elevation,ūžu
elevation,ara
elevation,icu
elevation,iku
elevation,uļa
elevation,rtu
elevation,uķu
elevation,anu
elevation,avu
elevation,des
elevation,iču
elevation,enes
elevation,tiņu
elevation,kols
elevation,ejas
elevation,cēnu
elevation,tais
elevation,iešu
elevation,diņu
elevation,ovas
elevation,upes
elevation,ikas
elevation,guļu
elevation,nīku
elevation,eles
elevation,antu
elevation,alna
elevation,maņu
elevation,galu
elevation,stes
elevation,rēnu
elevation,rsas
elevation,ītes
elevation,kolns
elevation,kaiņu
elevation,uižas
elevation,akmens
elevation,jkalns
elevation,pkalns
elevation,tkalns
elevation,nkalns
elevation,akalns
elevation,tnieku
elevation,čkalns
elevation,žkalns
elevation,enieku
elevation,kangars
elevation,eskalns
elevation,īškalns
elevation,kalniņš
elevation,eļkalns
elevation,urkalns
elevation,avkalns
elevation,uļkalns
elevation,pukalns
elevation,umkalns
elevation,žukalns
elevation,tiņkalns
elevation,liņkalns
elevation,terkalns
elevation,ziņkalns
elevation,zerkalns
elevation,teņkalns
elevation,niekkalns
island,sala
marsh,iņu
marsh,īšu
marsh,eļa
marsh,uru
marsh,ānu
marsh,ais
marsh,ežu
marsh,pes
marsh,nka
marsh,uļu
marsh,sta
marsh,das
marsh,kas
marsh,purs
marsh,ļava
marsh,zera
marsh,maņu
marsh,ītes
marsh,enes
marsh,kalnu
marsh,kalna
marsh,nieku
marsh,muižas
marsh,rpurvs
marsh,ļpurvs
populated place,iņi
populated place,ari
populated place,ēni
populated place,eni
populated place,ina
populated place,ini
populated place,uļi
populated place,nes
populated place,zhi
populated place,umi
populated place,des
populated place,aki
populated place,one
populated place,eļi
populated place,uki
populated place,sti
populated place,nči
populated place,aka
populated place,ine
populated place,gas
populated place,nyu
populated place,ale
populated place,uti
populated place,pes
populated place,kļi
populated place,ste
populated place,upe
populated place,tes
populated place,āle
populated place,yni
populated place,ele
populated place,eja
populated place,odi
populated place,tas
populated place,ači
populated place,rāni
populated place,uški
populated place,šāni
populated place,išķi
populated place,iņas
populated place,iena
populated place,avas
populated place,eles
populated place,pene
populated place,teņi
populated place,sala
populated place,mani
populated place,veri
populated place,eshi
populated place,nava
populated place,eiši
populated place,iene
populated place,nāni
populated place,līši
populated place,cāni
populated place,kums
populated place,kuli
populated place,auka
populated place,rags
populated place,gaļi
populated place,čeva
populated place,lava
populated place,teri
populated place,deri
populated place,kalni
populated place,krogs
populated place,ienas
populated place,iškas
populated place,ishki
populated place,nyeki
populated place,škāni
populated place,muyzha
populated place,lnieki
populated place,enieki
populated place,niyeki
populated place,idzāni
populated place,tsiems
populated place,eliški
populated place,ukalns
populated place,umuiža
populated place,rciems
populated place,smuiža
populated place,tsiyems
stream,ene
stream,ste
stream,supe
stream,rupe
stream,pīte
