place_category,separate_beginning,frequency
basin,<NONE>,136
populated place,<NONE>,807
marsh,<NONE>,62
island,<NONE>,5
elevation,<NONE>,263
elevated area,<NONE>,12
depression,<NONE>,12
convex shoreline,<NONE>,2
stream,<NONE>,102
basin,Apaļais,3
elevation,Apses,3
elevation,Baņģu,3
elevation,Brežģa,3
basin,Bērzu,3
elevation,Bērzu,2
marsh,Dižais,2
elevation,Dižais,2
basin,Dūņu,4
elevation,Egļu,6
elevation,Elku,5
basin,Ežeras,2
elevation,Gaiļa,5
basin,Garais,11
elevation,Grants,3
elevation,Ješku,3
basin,Kapu,3
elevation,Kaķu,3
marsh,Klajais,7
elevation,Kuiļa,3
elevation,Kukuļu,3
elevation,Lapsu,29
elevation,Lazdu,7
elevation,Lielais,24
basin,Lielais,9
populated place,Lielie,3
basin,Lielā,2
island,Lielā,3
elevation,Liepas,5
elevation,Liepu,3
elevation,Lāča,3
marsh,Lāču,7
elevation,Majaka,12
populated place,Maz,3
elevation,Mazais,2
basin,Mazais,14
populated place,Mazie,7
elevation,Medņu,6
marsh,Melnais,8
populated place,Meža,5
populated place,Myza,31
elevation,Naudas,6
basin,Ozolu,5
elevation,Priedes,5
elevation,Raganas,3
elevation,Saules,14
elevation,Saulītes,3
elevation,Svētais,3
elevation,Vecmuižas,3
elevation,Velna,8
elevation,Zelta,4
elevation,Zviedru,3
elevation,Čūsku,3
