name,frequency,place_type,place_category
Abejučių Piliakalnis,1,mound,elevation
Abramaučiznos Ežeras,1,lake,basin
Adamavo Ežeriukai,1,lake,basin
Adamchuki,1,populated place,populated place
Adomavas,1,populated place,populated place
Adutiškio Kelias,1,populated place,populated place
Adutiškio Piliakalnis,1,mound,elevation
Agailės,1,populated place,populated place
Agailiai,1,populated place,populated place
Agilos Ragas,1,point,convex shoreline
Airupė,1,river,stream
Aisetas,1,lake,basin
Aiseto Ežeras,1,lake,basin
Akelės Ežeras,1,lake,basin
Aklažeris,1,lake,basin
Akmene,2,river,stream
Akmeniškių Piliakalnis,1,mound,elevation
Aknystėlių Piliakalnis,1,mound,elevation
Aktapolis,1,populated place,populated place
Akuotai,1,populated place,populated place
Akuotninkai,1,populated place,populated place
Akvieriškės Piliakalnis,1,mound,elevation
Alantos Piliakalnis,1,mound,elevation
Alaušai,1,populated place,populated place
Alautės,1,populated place,populated place
Aleininkai,2,populated place,populated place
Alejūnai,2,populated place,populated place
Alica,1,river,stream
Alkiškių,1,populated place,populated place
Alko,1,populated place,populated place
Alkos Kalnelis,1,hill,elevation
Alksnių Piliakalnis,1,mound,elevation
Alksnių Ragas,1,point,convex shoreline
Alkupe,1,populated place,populated place
Alsakys,1,lake,basin
Alsėdžiai,1,lake,basin
Alsėdžių Piliakalnis,1,mound,elevation
Alseliai,1,populated place,populated place
Alsetos Piliakalnis,1,mound,elevation
Alšyčia,1,river,stream
Altoniškių Piliakalnis,1,mound,elevation
Aluotų Piliakalnis,1,mound,elevation
Alvito Ežeras,1,lake,basin
Alytaus Piliakalnis,1,mound,elevation
Amalviškiai,1,populated place,populated place
Ambraziškiai,1,populated place,populated place
Ambraziškių Piliakalnis,1,mound,elevation
Ambraziūnų Piliakalnis,1,mound,elevation
Anavilis,1,populated place,populated place
Anča,1,river,stream
Andrešiūnai,1,populated place,populated place
Andriejūnai,1,populated place,populated place
Andrioniškis,3,populated place,populated place
Andulių Piliakalnis,1,mound,elevation
Anginykų,1,populated place,populated place
Angių Kalnas,1,hill,elevation
Aniškio Piliakalnis,1,mound,elevation
Antabaltės Piliakalnis,1,mound,elevation
Antailgis,1,populated place,populated place
Antakalniai,4,populated place,populated place
Antalgės Piliakalnis,1,mound,elevation
Antalina,1,populated place,populated place
Antaniškių Piliakalnis,1,mound,elevation
Antaraisčių Piliakalnis,1,mound,elevation
Antažiegės Piliakalnis,1,mound,elevation
Antilgės Piliakalnis,1,mound,elevation
Antkalnė Piliakalnis,1,mound,elevation
Antkalniškių Piliakalnis,1,mound,elevation
Antomir,1,populated place,populated place
Antuppen,1,populated place,populated place
Anturkė,1,populated place,populated place
Apeikiškio Ežeras,1,lake,basin
Apšriūtų Kalnas,1,hill,elevation
Apuolės Piliakalnis,1,mound,elevation
Apušė,1,river,stream
Apynojai,1,populated place,populated place
Aradninkų Ežeras,1,lake,basin
Areiniškiai,1,populated place,populated place
Arimaičių,1,populated place,populated place
Arklių Ragas,1,point,convex shoreline
Armališkių Piliakalnis,1,mound,elevation
Armanai,1,populated place,populated place
Armeniškiai Pirmieji,1,populated place,populated place
Armonai,2,populated place,populated place
Arnenyay,1,populated place,populated place
Asava,1,populated place,populated place
Asavytų Piliakalnis,1,mound,elevation
Ašmenos Aukštuma,1,upland,elevation
Asteikiai,3,populated place,populated place
Astravos,1,populated place,populated place
Atesninkų Piliakalnis,1,mound,elevation
Aučynų Piliakalnis,1,mound,elevation
Audra,1,populated place,populated place
Aukshtagiryay,1,populated place,populated place
Aukštadvario Piliakalnis,1,mound,elevation
Aukstadvaris,1,populated place,populated place
Aukštatrakis,1,populated place,populated place
Aukštažys,1,river,stream
Aukštujų Šančių Piliakalnis,1,mound,elevation
Aukštumala,1,swamp,marsh
Aukštupių Piliakalnis,1,mound,elevation
Auksūdžio Piliakalnis,1,mound,elevation
Ausiutiškės,1,populated place,populated place
Auslas,1,lake,basin
Austranija,1,populated place,populated place
Avikalnio Ragas,1,point,convex shoreline
Avilių Piliakalnis,1,mound,elevation
