name,frequency,place_type,place_category
Abasipazh,1,river,stream
Abazul-Kal,1,mountain,elevation
Abdalameer,1,mountains,elevated area
Açereşki,1,populated place,populated place
Achakhachay,1,river,stream
Achisu,1,river,stream
Achkhalabarg,1,river,stream
Achkhoy,1,populated place,populated place
Achkhu,1,river,stream
Achygsyrt,1,mountain,elevation
Addala,1,mountain,elevation
Addala-Shyukhgel’,1,mountain,elevation
Adil’otar,1,populated place,populated place
Adiloko,1,mountain,elevation
Agashbatoy,1,populated place,populated place
Agashbulak,1,mountains,elevated area
Agdymtala,1,mountain,elevation
Agereshki,1,populated place,populated place
Agišbatoj,1,populated place,populated place
Agrachansker Halbinsel,1,peninsula,convex shoreline
Akarlets,1,river,stream
Akaro,1,mountain,elevation
Akaykin,1,populated place,populated place
Akhalchi,1,populated place,populated place
Akhalchi,1,mountain,elevation
Akhalsopeli,1,populated place,populated place
Akh-Gel’,1,lake,basin
Akhkinchu-Barze,1,populated place,populated place
Akhmet-Irzau,1,mountain,elevation
Akhti-Chai,1,river,stream
Akhtychay,1,river,stream
Akhvakh,1,river,stream
Akkusande,1,mountain,elevation
Aklakar,1,mountains,elevated area
Aklikadta,1,river,stream
Akmash,1,river,stream
Aknada,3,populated place,populated place
Aknady,1,populated place,populated place
Akssai,1,river,stream
Aktash,1,river,stream
Ala,1,populated place,populated place
Alak,1,mountain,elevation
Alakhunag,1,mountain,elevation
Alakhunchay,1,river,stream
Aldy,1,populated place,populated place
Alënkino,1,lake,basin
Alhan-Kala,1,populated place,populated place
Alikazgan,1,river,stream
Alin’ganykh,1,river,stream
Alkhadzhan,1,mountain,elevation
Alkhan,1,populated place,populated place
Alkhan-Churt,1,valley,depression
Alkhan-Yurt,1,populated place,populated place
Alkhan-Yurt,1,valley,depression
Almak,1,populated place,populated place
Almaktar,1,river,stream
Almalo,1,populated place,populated place
Amaltala,1,mountain,elevation
Amki,1,populated place,populated place
Amklala,1,mountain,elevation
Amrachakh,1,mountain,elevation
Amushi,1,populated place,populated place
Andalaly,1,populated place,populated place
Andikhtlyar,2,river,stream
Angity,1,mountain,elevation
Ankhoshatlimer,1,mountain,elevation
