place_category,beginning
depression,Kha
elevated area,Bak
elevated area,Cha
elevated area,Kha
elevated area,Sha
elevation,Bar
elevation,Chu
elevation,Khu
elevation,Art
elevation,Che
elevation,Chi
elevation,Tar
elevation,Gar
elevation,Boy
elevation,Bak
elevation,Cho
elevation,Ava
elevation,Kho
elevation,Mak
elevation,Kara
elevation,Dzha
elevation,Char
elevation,Tsun
elevation,Shar
elevation,Khan
elevation,Gizchen
populated place,Kha
populated place,Dzh
populated place,Sha
populated place,Khu
populated place,Cha
populated place,Tsu
populated place,Bur
populated place,Dat
populated place,Chi
populated place,Mak
populated place,Kon
populated place,Akh
populated place,Tok
populated place,Tyu
populated place,Cho
populated place,Mes
populated place,Mug
populated place,San
populated place,Shi
populated place,Shu
populated place,Ash
populated place,Kurç
populated place,Khor
populated place,Kara
populated place,Yand
populated place,Beno
populated place,Gala
populated place,Kuba
populated place,Tlyar
populated place,Germen
stream,Dzh
stream,Cha
stream,Ara
stream,Ach
stream,Chi
stream,Kho
stream,Gam
stream,Chu
stream,Akh
stream,Ker
stream,Gyu
stream,Kum
stream,Kuk
stream,Bel
stream,Kul
stream,Tsu
stream,Tsa
stream,Tse
stream,Kur
stream,Yam
stream,Khul
stream,Shal
stream,Khar
stream,Kara
