place_category,beginning
basin,Ber
basin,Bjø
basin,Grø
basin,Ska
basin,Skj
basin,Kje
basin,Hal
basin,Sva
basin,Mar
basin,Lang
basin,Krok
basin,Stor
basin,Vest
basin,Brei
basin,Sand
basin,Strand
concave shoreline,Sve
concave shoreline,Hol
concave shoreline,Val
concave shoreline,Nord
concave shoreline,Sand
concave shoreline,Kongs
convex shoreline,Sand
convex shoreline,Skar
convex shoreline,Mann
elevation,Bre
elevation,Sta
elevation,Skj
elevation,Lau
elevation,Løk
elevation,Flø
elevation,Sau
elevation,Sør
elevation,Vas
elevation,Grø
elevation,Ber
elevation,Stor
elevation,Skar
elevation,Vest
elevation,Rams
elevation,Skre
elevation,Koll
elevation,Sand
elevation,Hamm
elevation,Lang
elevation,Kråk
elevation,Stei
elevation,Holm
elevation,Helg
elevation,Bratt
elevation,Troll
elevation,Svart
elevation,Varde
island,Røs
island,Fla
island,Kal
island,Sel
island,Bor
island,Gra
island,Skj
island,Vik
island,Stor
island,Hell
island,Raud
island,Sand
island,Kjerring
marsh,Han
marsh,Sto
populated place,Han
populated place,Bru
populated place,Sør
populated place,Sel
populated place,Nes
populated place,For
populated place,Grø
populated place,Bre
populated place,Hol
populated place,Tor
populated place,Sva
populated place,Bor
populated place,Gri
populated place,Løv
populated place,Skr
populated place,Gra
populated place,Kår
populated place,Kol
populated place,Kje
populated place,Hus
populated place,Kal
populated place,Høy
populated place,Tin
populated place,Bil
populated place,Heg
populated place,Fin
populated place,Sol
populated place,Sve
populated place,Dom
populated place,Sæv
populated place,Ten
populated place,Aur
populated place,Ask
populated place,Bør
populated place,Byr
populated place,Byg
populated place,And
populated place,Nau
populated place,Gje
populated place,Goa
populated place,Hav
populated place,Ran
populated place,Kva
populated place,Kam
populated place,Ros
populated place,Ull
populated place,Åsl
populated place,Kna
populated place,Her
populated place,Kop
populated place,Kjø
populated place,Eik
populated place,Rau
populated place,Kaa
populated place,Mol
populated place,Lun
populated place,Mar
populated place,Mel
populated place,Löv
populated place,Myr
populated place,Fle
populated place,Kvi
populated place,Ler
populated place,Rei
populated place,Berg
populated place,Skog
populated place,Skar
populated place,Nord
populated place,Enge
populated place,Eids
populated place,Sund
populated place,Haug
populated place,Hund
populated place,Vass
populated place,Tron
populated place,Foss
populated place,Botn
populated place,Aust
populated place,Leir
populated place,Lind
populated place,Sete
populated place,Smed
populated place,Stav
populated place,Linn
populated place,Skjel
populated place,Sande
populated place,Skjer
populated place,Kongs
populated place,Store
populated place,Brand
populated place,Valle
populated place,Bjørn
populated place,Klubb
populated place,Langen
populated place,Hammer
populated place,Steins
populated place,Strand
populated place,Sandvik
underwater elevation,Sve
underwater elevation,Stor
underwater elevation,Brei
underwater elevation,Nord
underwater elevation,Stein
