name,frequency,place_type,place_category
Abaitikau,1,populated place,populated place
Abaytikau,1,populated place,populated place
Adaykhokh,2,mountain,elevation
Adaykom,1,river,stream
Adaykomdon,1,river,stream
Ærydon,1,populated place,populated place
Akhki-Yurt,1,populated place,populated place
Akhoindzite,1,mountain,elevation
Akhsarisar,1,populated place,populated place
Akhsau,1,populated place,populated place
Akhshinigag,1,mountain,elevation
Akhshkadon,1,river,stream
Akhshkyanan,1,mountain,elevation
Akhushkov,1,populated place,populated place
Akhva,1,mountain,elevation
Alagir,2,populated place,populated place
Alkhanchurt,1,populated place,populated place
Allardyrag,1,mountain,elevation
Ambistyperta,1,hill,elevation
Amusadon,1,river,stream
Angusht,1,populated place,populated place
Angushty,1,populated place,populated place
Arats-Khokh,1,mountain,elevation
Araukhokh,1,mountain,elevation
Archkhi,1,river,stream
Archon,1,mountain,elevation
Ardan,1,river,stream
Ardon,1,populated place,populated place
Arf-Adaga,1,river,stream
Arf-Aryk,1,river,stream
Arganalkhokh,1,mountain,elevation
Arkhodon,1,river,stream
Arkhon,1,populated place,populated place
Arkhon,1,mountain,elevation
Arkhon,1,river,stream
Arkhondon,1,river,stream
Armidon,1,river,stream
Armkhi,1,populated place,populated place
Arsaki,1,river,stream
Arta-Tupur,1,mound,elevation
Arykom,1,mountain,elevation
Arzi,1,populated place,populated place
Asabchdon,1,river,stream
Astafkakhokh,1,mountain,elevation
Astaudon,1,river,stream
Atderti,1,mountain,elevation
Atorti-Barzond,1,mountain,elevation
Aulisar,1,mountain,elevation
Avgofsti-Tupur,1,mound,elevation
Aygamuga,1,river,stream
Azivgus,1,populated place,populated place
Bachait,1,mountain,elevation
Bad,1,mountain,elevation
Bad,1,populated place,populated place
Baddon,1,river,stream
Badzi-Don,1,river,stream
Badzi-don,1,river,stream
Badzidon,1,river,stream
Bakhti Lagzar,1,gorge,depression
Bakhty-Laparyrag,1,mountains,elevated area
Bakuna,1,river,stream
Balash,1,mountain,elevation
Balta,1,populated place,populated place
Baltsau,1,river,stream
Baltsaukom,1,gorge,depression
Bankhi,1,river,stream
Barkhoyev,1,populated place,populated place
Barkinkhoyev,1,populated place,populated place
Bartuidon,1,river,stream
Bartuitsete,1,glacier,glacier
Barzhibyn,1,mountain,elevation
Barzi-Isar,1,mountain,elevation
Barzikau,1,populated place,populated place
Barzond-Tsagveri,1,mountain,elevation
Barzuikhokh,1,mountain,elevation
Basmata,1,mountain,elevation
Batako,1,populated place,populated place
Batayrag,1,pass,depression
Batykau,1,populated place,populated place
Bazhigandon,1,river,stream
Bazorkina,1,populated place,populated place
Bazorkino,1,populated place,populated place
Bazorni,1,populated place,populated place
Bealan,1,populated place,populated place
Bekan,1,populated place,populated place
Belsan,1,populated place,populated place
Belti-Tupur,1,mound,elevation
Beslæn,1,populated place,populated place
Beslan,2,populated place,populated place
Bilyagi,1,glacier,glacier
Bilyagidon,1,river,stream
Biragzang,1,populated place,populated place
Birakhatkhokh,1,mountain,elevation
Biz,1,populated place,populated place
Bongashbadan,1,mountain,elevation
Bongashtetsup,1,mountain,elevation
Bongasta,1,mountain,elevation
Borkhkonkh,1,mountain,elevation
Borovtsek,1,mountain,elevation
Bozorkino,1,populated place,populated place
Brut,1,populated place,populated place
Bruta,1,populated place,populated place
Bubidon,1,river,stream
Bugul’todon,1,river,stream
Burchak,1,river,stream
Burkustykh,1,ridge,elevated area
Buron,1,populated place,populated place
Chalingini,1,glacier,glacier
Chalinginitsete,1,glacier,glacier
Chas,1,mountain,elevation
Chekhatsirtit,1,mountains,elevated area
Chermen,1,populated place,populated place
Chikola,1,populated place,populated place
Chirkh,1,ridge,elevated area
Chisorandag,1,mountains,elevated area
Chizdzhinkhokh,1,mountain,elevation
Chizhinkhokh,1,mountain,elevation
Chmi,1,populated place,populated place
Chysylsuadon,1,spring,stream
Chyzfandag,1,mountains,elevated area
Dagat-Khuntsag,1,populated place,populated place
Dagom,1,populated place,populated place
Dallagkau,1,populated place,populated place
Dar-Kokh,1,populated place,populated place
Darg-Kldun,1,mountain,elevation
Darg-Kokh,1,populated place,populated place
Dargavs,1,populated place,populated place
Dargom,1,river,stream
Dargonkom,1,river,stream
Dargordoza,1,river,stream
Darhimara-Dzhimara,1,populated place,populated place
Dart Koch,1,populated place,populated place
Dartaga,1,river,stream
Dashikhokh,1,mountain,elevation
Dashsar,1,mountain,elevation
Daykau,1,populated place,populated place
Deikau,1,populated place,populated place
Dey-Kav,1,populated place,populated place
Digora,1,populated place,populated place
Dikduk,1,mountain,elevation
Dolagkau,1,populated place,populated place
Dongaron,1,populated place,populated place
Donifars,1,populated place,populated place
Donifars Nar,1,populated place,populated place
Donisar,1,glacier,glacier
Donisartsete,1,glacier,glacier
Doniser-Tsete,1,glacier,glacier
Dunta,1,populated place,populated place
Dur-Dur,1,river,stream
Dur-Dur,1,populated place,populated place
Duvadonystau,1,river,stream
Dzagepbarz,1,populated place,populated place
Dzagipars,1,populated place,populated place
Dzamarashdon,1,river,stream
Dzamarashkan,1,gorge,depression
Dzankalisi,1,mountain,elevation
Dzhaudzhikau,1,populated place,populated place
Dzhelivtsek,1,mountain,elevation
Dzherakh,1,populated place,populated place
Dzhimara,1,populated place,populated place
Dzhimara,1,mountain,elevation
Dzhimaraykhokh,1,mountain,elevation
Dzhizidon,1,river,stream
Dzhyrvazagytykh,1,ridge,elevated area
Dzin’lam,1,mountains,elevated area
Dzinaga,1,populated place,populated place
Dzinala,1,populated place,populated place
Dziri,1,mountain,elevation
Dzivgis,1,populated place,populated place
Dzivgus,1,populated place,populated place
Dzuarikau,2,populated place,populated place
Eglau,1,mountain,elevation
El’badty-Kokh,1,mountain,elevation
Elkhot,1,populated place,populated place
Ezmi,1,populated place,populated place
Faraskat,1,populated place,populated place
Faraskatta,1,populated place,populated place
Fardon,1,river,stream
Farn,1,populated place,populated place
Faskayta,1,mountain,elevation
Fasnal,1,populated place,populated place
Fassaurag,1,mountain,elevation
Fastagtsete,1,glacier,glacier
Fazikau,1,populated place,populated place
Fetkhuz,1,mountain,elevation
Fiagdon,2,populated place,populated place
Fiagdon,1,populated place,populated place
Gachik,1,mountain,elevation
Gagabors,1,mountain,elevation
Gagbors,1,mountain,elevation
Galautsagat,1,mountain,elevation
Galauz,1,river,stream
Galgay,1,populated place,populated place
Galiat,1,populated place,populated place
Ganizet,1,river,stream
Gazat,1,populated place,populated place
Genaldon,1,river,stream
Gestonrag,1,mountain,elevation
Gibenon-Don,1,river,stream
Gibitandon,1,river,stream
Gimaray-Khokh,1,mountain,elevation
Ginat,1,river,stream
Ginatkhokh,1,mountain,elevation
Girkhi,1,river,stream
Gizaldon’,1,river,stream
Gizel’,2,populated place,populated place
Gizel’don,1,river,stream
Gudorotatsete,1,glacier,glacier
Guli,1,populated place,populated place
Gusara,1,populated place,populated place
Gusoyta,1,populated place,populated place
Gusra,1,populated place,populated place
Gusyra,1,populated place,populated place
Gyankosan,1,mountain,elevation
Imsa-Kom-Khokh,1,mountain,elevation
Iran,1,populated place,populated place
Iriston,1,populated place,populated place
Iron,1,populated place,populated place
Is’na,1,glacier,glacier
Kabagaldon,1,river,stream
Kabbagautdon,1,river,stream
Kadakhdzhin,1,populated place,populated place
Kadat,1,populated place,populated place
Kadgaran,1,populated place,populated place
Kadgaron,1,populated place,populated place
Kadgoron,1,populated place,populated place
Kaisartsete,1,glacier,glacier
Kakadur,1,populated place,populated place
Kakdur,1,populated place,populated place
Kakhtisar,1,populated place,populated place
Kal’per,1,ridge,elevated area
Kalak,1,populated place,populated place
Kalaki,1,populated place,populated place
Kalbtver,1,ridge,elevated area
Kalnakhta,1,populated place,populated place
Kalnikhta,1,populated place,populated place
Kalper,1,ridge,elevated area
Kalukh,1,populated place,populated place
Kamanaykhokh,1,mountain,elevation
Kamat,1,populated place,populated place
Kamata,1,populated place,populated place
Kamatadon,1,river,stream
Kamenta,1,populated place,populated place
Kamunta,1,populated place,populated place
Kanal Ges,1,channel,strait
Kandyl-Khokh,1,mountain,elevation
Kani,1,populated place,populated place
Karaugom,1,river,stream
Karaugom,1,glacier,glacier
Kardzhin,1,populated place,populated place
Kario-Khokh,1,mountain,elevation
Karivkhokh,1,mountain,elevation
Karmadon,1,populated place,populated place
Karman,1,populated place,populated place
Karman-Sindzikau,1,populated place,populated place
Karonkom,1,river,stream
Kartoyev,1,populated place,populated place
Kartsa,3,populated place,populated place
Kartsadon,2,river,stream
Karyklycho,1,gorge,depression
Karyngiduk,1,mountains,elevated area
Kasalkun,1,river,stream
Kasanybarzond,1,mountain,elevation
Kasatikau,1,populated place,populated place
Kashkada-Rog,1,mountain,elevation
Kaurag,1,hill,elevation
Kauridon,1,river,stream
Kaydzhin-Barzond,1,mountain,elevation
Kaysar,1,glacier,glacier
Kaysyny-Kakhyr,1,mountain,elevation
Kazakhta,1,populated place,populated place
Kazatftsag,1,pass,depression
Kazatkhokh,1,mountain,elevation
Kazhchibos,1,mountain,elevation
Keraudon,1,river,stream
Kesatikau,1,populated place,populated place
Khabaldon,1,river,stream
Khalatsa,1,river,stream
Khalatsakh,1,ridge,elevated area
Khanaz,1,populated place,populated place
Khanchtstysar,1,mountain,elevation
Kharakom-Barzond,1,mountain,elevation
Kharisdzhin,1,populated place,populated place
Kharishchen,1,mountain,elevation
Kharves,1,river,stream
Kharzhdzhin,1,populated place,populated place
Khataldon,1,populated place,populated place
Khaydon,1,river,stream
Khazna,1,river,stream
Khaznidon,1,populated place,populated place
Khaznydon,1,populated place,populated place
Kheraudon,1,river,stream
Khiakh,1,mountain,elevation
Khidakus,1,populated place,populated place
Khidikus,1,populated place,populated place
Khiktsag,1,populated place,populated place
Khitiyev,1,populated place,populated place
Khod,1,mountain,elevation
Khod,1,populated place,populated place
Khodaftsag,1,mountain,elevation
Khoddon,1,river,stream
Khodevtsek,1,mountain,elevation
Khodvtsek,2,mountain,elevation
Kholst,1,populated place,populated place
Khomanay-Khokh,1,mountain,elevation
Khos-Aparanydon,1,river,stream
Khosavdrag,1,mountains,elevated area
Khoshkhinkhokh,1,mountain,elevation
Khost,1,populated place,populated place
Khotaldon,1,river,stream
Khudisan,1,populated place,populated place
Khukali,1,populated place,populated place
Khumalag,1,populated place,populated place
Khumarat-Khak,1,mountain,elevation
Khumaratkhokh,1,mountain,elevation
Khumrat-Khou,1,mountain,elevation
Khurikau,1,populated place,populated place
Khurkau,1,populated place,populated place
Khurykau,1,populated place,populated place
Khusfarak,1,river,stream
Khyznydon,1,river,stream
Khzaydon,1,river,stream
Kionkhokh,1,mountain,elevation
Kizlyar,1,populated place,populated place
Koban,2,populated place,populated place
Koban’,1,populated place,populated place
Kodakhdzhin,1,populated place,populated place
Kokhi-Shar,1,mountain,elevation
Kolukh,1,populated place,populated place
Komdon,1,river,stream
Komgaran,1,populated place,populated place
Komgaron,1,populated place,populated place
Komidon,1,river,stream
Komunta,1,populated place,populated place
Kontsag-Obau,1,mountain,elevation
Kora,2,populated place,populated place
Kora-Ursdon,1,populated place,populated place
Koroska,1,glacier,glacier
Kosanrag,1,mountain,elevation
Koska,1,mountain,elevation
Koskem-Uoza,1,mountains,elevated area
Kosta,1,populated place,populated place
Kozhchibos,1,mountain,elevation
Kozydon,1,river,stream
Krasatikau,1,populated place,populated place
Kristonghæw,1,populated place,populated place
Krupsha,1,river,stream
Krupshdon,1,river,stream
Ksurta,1,populated place,populated place
Kuardzhin,1,mountain,elevation
Kulikasan,1,hill,elevation
Kumarat-Khokh,1,mountain,elevation
Kurtal,1,populated place,populated place
Kurtat,1,populated place,populated place
Kurttat,1,populated place,populated place
Kusheska,1,mountain,elevation
Kuskhomaykho,1,populated place,populated place
Kusov,1,populated place,populated place
Kussu,1,populated place,populated place
Labagom,1,river,stream
Lakhodon,1,river,stream
Lakhurankhokh,1,mountain,elevation
Lakisov,1,populated place,populated place
Lamardon,1,populated place,populated place
Lamardon-Tsagat,1,populated place,populated place
Lars,1,populated place,populated place
Larsi,1,populated place,populated place
Lats,1,populated place,populated place
Lesken,1,populated place,populated place
Logau-Khokh,1,mountain,elevation
Lyadon,1,river,stream
Lyagat,1,mountain,elevation
Lysata,1,mountain,elevation
Madagravindon,1,river,stream
Mæzdæg,1,populated place,populated place
Mairamadag,1,populated place,populated place
Makhchesk,1,populated place,populated place
Malgobek,1,populated place,populated place
Mamikhdon,1,river,stream
Mamison,1,river,stream
Marrakh,1,mountains,elevated area
Masdok,1,populated place,populated place
Mastadon,1,river,stream
Mastidon,1,river,stream
Mastirdzhi,1,mountain,elevation
Mastyrdzhi,1,mountain,elevation
Masuksy,1,mountain,elevation
Matsuta,1,mountain,elevation
Matsuta,1,populated place,populated place
Mayramadag,1,populated place,populated place
Mayramdag,1,river,stream
Mayramdon,1,river,stream
Metskhal’skiy,1,populated place,populated place
Midagrabin,1,glacier,glacier
Midagrabindon,1,river,stream
Midagravin,1,glacier,glacier
Midagravindon,1,river,stream
Midragabin,1,glacier,glacier
Mizur,2,populated place,populated place
Mizur,1,populated place,populated place
Mizuri,1,populated place,populated place
Moravkhokh,1,mountain,elevation
Mosdok,1,populated place,populated place
Moska,1,populated place,populated place
Mostidzakh,1,populated place,populated place
Mostizdakh,1,populated place,populated place
Mostotsete,1,glacier,glacier
Mozdok,1,populated place,populated place
Mt’a Uilpat’a,1,mountain,elevation
Muldzugi-Barzond,1,mountain,elevation
Mygvarebarzond,1,mountain,elevation
Mygvars-Barzond,1,mountain,elevation
Nakhagibita,1,glacier,glacier
Nar,2,populated place,populated place
Narakin,1,mountain,elevation
Nargidon,1,river,stream
Nart,1,populated place,populated place
Natsraudon,1,river,stream
Nikolayeva,1,glacier,glacier
Nogir,1,populated place,populated place
Nogkau,3,populated place,populated place
Nor-Don,1,river,stream
Nort,1,populated place,populated place
Nuzal,1,populated place,populated place
Odola,1,populated place,populated place
Ol’dukhankhokh,1,mountain,elevation
Ol’dukhat-Khokh,1,mountain,elevation
Orodon,1,river,stream
Orskhokh,1,mountain,elevation
Ortsakhua,1,mountain,elevation
Ozagir,1,populated place,populated place
Piriat,1,populated place,populated place
Prima,1,mountain,elevation
Psiti,1,ridge,elevated area
Puriat,1,populated place,populated place
Pusulmonghæw,1,populated place,populated place
Rag,1,mountains,elevated area
Rassvet,1,populated place,populated place
Razdzog,1,populated place,populated place
Redant,1,populated place,populated place
Regakh,1,populated place,populated place
Rekomrag,1,mountain,elevation
Sachalkhan,1,mountain,elevation
Sadon,1,populated place,populated place
Sadonvtsek,1,mountain,elevation
Sadzhildon,1,river,stream
Sagazdon,1,river,stream
Sagol,1,populated place,populated place
Sakhsat,1,populated place,populated place
Sakinbar,1,mountain,elevation
Sakinbarz,1,mountain,elevation
Salugardon,1,populated place,populated place
Salugordan,1,populated place,populated place
Sanat,1,gorge,depression
Sanguti,1,glacier,glacier
Sanguti-Don-Tsete,1,glacier,glacier
Saniba,1,populated place,populated place
Saorydon,1,river,stream
Sapvtsek,1,pass,depression
Sardiftsag,1,pass,depression
Sardigon,1,river,stream
Sargom,1,river,stream
Satat,1,populated place,populated place
Saubin,1,populated place,populated place
Saubyn,1,populated place,populated place
Saukhokh,1,mountain,elevation
Saukomydon,1,river,stream
Saur,1,populated place,populated place
Savaraftsag,1,pass,depression
Saverdon,1,river,stream
Sekholadon,1,river,stream
Shaukhokh,1,mountain,elevation
Shayayeriadon,1,river,stream
Shechichdon,1,river,stream
Sholkhi,1,populated place,populated place
Shtridon,1,river,stream
Sindzikau,1,populated place,populated place
Sintsar,1,populated place,populated place
Skaron,1,mountain,elevation
Skatty,1,river,stream
Skattykom,1,river,stream
Skoly-Kom,1,river,stream
Skon,1,mountain,elevation
Skoty-Kom,1,river,stream
Skummidon,1,river,stream
Slas,1,populated place,populated place
Sonayrag,1,mountain,elevation
Songutidon,1,river,stream
Songutidontsete,1,glacier,glacier
Soudor,1,ridge,elevated area
Stavd-Durta,1,populated place,populated place
Stavt-Dort,1,populated place,populated place
Stepnoy,1,populated place,populated place
Stryapchev,1,populated place,populated place
Stur-Digora,1,populated place,populated place
Styr-Digor,1,populated place,populated place
Styr-Digora,1,populated place,populated place
Styrdurydon,1,river,stream
Suadachdon,1,river,stream
Suadag,1,populated place,populated place
Suadagdon,2,river,stream
Suagdon,1,river,stream
Suangrag,1,ridge,elevated area
Suargom,1,river,stream
Sunzha,1,populated place,populated place
Suragatdon,1,river,stream
Surkh,1,mountain,elevation
Surkh-Digora,1,populated place,populated place
Surkhibarzond,1,mountain,elevation
Surkhkhokh,1,mountain,elevation
Syrgbarzond,1,mountain,elevation
Syrkh,1,mountain,elevation
Syrkhibarzond,1,mountain,elevation
Syrkhu-Barzon,1,mountain,elevation
Syrkhu-Borzon,1,mountain,elevation
Syrkhybarzond,1,mountain,elevation
Taga,1,river,stream
Tagardon,1,populated place,populated place
Tagarrag,1,mountains,elevated area
Taguzbarz,1,mountain,elevation
Tamisi Don,1,river,stream
Tamisi-don,1,river,stream
Tamisk,1,populated place,populated place
Tamiskdon,1,river,stream
Tanandon,1,river,stream
Tanantsete,1,glacier,glacier
Targaydon,1,river,stream
Tarkhagdur,1,mountain,elevation
Tauzen-Yurt,1,populated place,populated place
Tbaukhokh,1,mountain,elevation
Teger-Rakh,1,mountains,elevated area
Tegerdon,1,populated place,populated place
Tekhta,1,mountain,elevation
Tel’man,1,populated place,populated place
Temenikau,1,populated place,populated place
Tepli,1,mountain,elevation
