place_category,beginning
elevated area,Kal
elevation,Akh
elevation,Kha
elevation,Mas
elevation,Tsa
elevation,Dzh
elevation,Barz
elevation,Khod
elevation,Khum
elevation,Syrkh
elevation,Surkh
elevation,Bongas
glacier,Mid
glacier,Donis
populated place,Kha
populated place,Dar
populated place,Kal
populated place,Tsa
populated place,Gus
populated place,Kam
populated place,Akh
populated place,Dzi
populated place,Khi
populated place,Mos
populated place,Kom
populated place,Kus
populated place,Far
populated place,Kak
populated place,Bar
populated place,Kho
populated place,Don
populated place,Dzh
populated place,Sau
populated place,Tse
populated place,Ter
populated place,Kadg
populated place,Khur
populated place,Kurt
populated place,Tsmi
populated place,Bazor
populated place,Karma
populated place,Zrigat
stream,Kha
stream,Sua
stream,Kar
stream,Tsa
stream,Kho
stream,Bad
stream,Tsey
stream,Arkho
stream,Dargo
