name,place_category,frequency
Abaitikau,populated place,1
Abaytikau,populated place,1
Adaykhokh,elevation,2
Adaykom,stream,1
Adaykomdon,stream,1
Akhki,populated place,1
Akhoindzite,elevation,1
Akhsarisar,populated place,1
Akhsau,populated place,1
Akhshinigag,elevation,1
Akhshkadon,stream,1
Akhshkyanan,elevation,1
Akhushkov,populated place,1
Akhva,elevation,1
Alagir,populated place,2
Alkhanchurt,populated place,1
Allardyrag,elevation,1
Ambistyperta,elevation,1
Amusadon,stream,1
Angusht,populated place,1
Angushty,populated place,1
Arats,elevation,1
Araukhokh,elevation,1
Archkhi,stream,1
Archon,elevation,1
Ardan,stream,1
Ardon,populated place,1
Arf Adaga,stream,1
Arf Aryk,stream,1
Arganalkhokh,elevation,1
Arkhodon,stream,1
Arkhon,elevation,1
Arkhon,populated place,1
Arkhon,stream,1
Arkhondon,stream,1
Armidon,stream,1
Armkhi,populated place,1
Arsaki,stream,1
Arta,elevation,1
Arykom,elevation,1
Arzi,populated place,1
Asabchdon,stream,1
Astafkakhokh,elevation,1
Astaudon,stream,1
Atderti,elevation,1
Atorti,elevation,1
Aulisar,elevation,1
Avgofsti,elevation,1
Aygamuga,stream,1
Azivgus,populated place,1
Bachait,elevation,1
Bad,elevation,1
Bad,populated place,1
Baddon,stream,1
Badzi,stream,2
Badzidon,stream,1
Bakhti Lagzar,depression,1
Bakhty Laparyrag,elevated area,1
Bakuna,stream,1
Balash,elevation,1
Balta,populated place,1
Baltsau,stream,1
Baltsaukom,depression,1
Bankhi,stream,1
Barkhoyev,populated place,1
Barkinkhoyev,populated place,1
Bartuidon,stream,1
Bartuitsete,glacier,1
Barzhibyn,elevation,1
Barzi Isar,elevation,1
Barzikau,populated place,1
Barzond Tsagveri,elevation,1
Barzuikhokh,elevation,1
Basmata,elevation,1
Batako,populated place,1
Batayrag,depression,1
Batykau,populated place,1
Bazhigandon,stream,1
Bazorkina,populated place,1
Bazorkino,populated place,1
Bazorni,populated place,1
Bealan,populated place,1
Bekan,populated place,1
Belsan,populated place,1
Belti,elevation,1
Beslan,populated place,2
Beslæn,populated place,1
Bilyagi,glacier,1
Bilyagidon,stream,1
Biragzang,populated place,1
Birakhatkhokh,elevation,1
Biz,populated place,1
Bongashbadan,elevation,1
Bongashtetsup,elevation,1
Bongasta,elevation,1
Borkhkonkh,elevation,1
Borovtsek,elevation,1
Bozorkino,populated place,1
Brut,populated place,1
Bruta,populated place,1
Bubidon,stream,1
Bugul’todon,stream,1
Burchak,stream,1
Burkustykh,elevated area,1
Buron,populated place,1
Chalingini,glacier,1
Chalinginitsete,glacier,1
Chas,elevation,1
Chekhatsirtit,elevated area,1
Chermen,populated place,1
Chikola,populated place,1
Chirkh,elevated area,1
Chisorandag,elevated area,1
Chizdzhinkhokh,elevation,1
Chizhinkhokh,elevation,1
Chmi,populated place,1
Chysylsuadon,stream,1
Chyzfandag,elevated area,1
Dagat Khuntsag,populated place,1
Dagom,populated place,1
Dallagkau,populated place,1
Dar,populated place,1
Darg,populated place,1
Darg Kldun,elevation,1
Dargavs,populated place,1
Dargom,stream,1
Dargonkom,stream,1
Dargordoza,stream,1
Darhimara Dzhimara,populated place,1
Dart Koch,populated place,1
Dartaga,stream,1
Dashikhokh,elevation,1
Dashsar,elevation,1
Daykau,populated place,1
Deikau,populated place,1
Dey Kav,populated place,1
Dikduk,elevation,1
Dolagkau,populated place,1
Dongaron,populated place,1
Donifars,populated place,1
Donifars Nar,populated place,1
Donisar,glacier,1
Donisartsete,glacier,1
Doniser Tsete,glacier,1
Dunta,populated place,1
Dur Dur,populated place,1
Dur Dur,stream,1
Duvadonystau,stream,1
Dzagepbarz,populated place,1
Dzagipars,populated place,1
Dzamarashdon,stream,1
Dzamarashkan,depression,1
Dzankalisi,elevation,1
Dzhaudzhikau,populated place,1
Dzhelivtsek,elevation,1
Dzherakh,populated place,1
Dzhimara,elevation,1
Dzhimara,populated place,1
Dzhimaraykhokh,elevation,1
Dzhizidon,stream,1
Dzhyrvazagytykh,elevated area,1
Dzinaga,populated place,1
Dzinala,populated place,1
Dzin’lam,elevated area,1
Dziri,elevation,1
Dzivgis,populated place,1
