place_category,beginning
basin,Nie
basin,Zar
basin,Wie
basin,Mar
basin,Jez
basin,Mie
basin,Kuc
basin,Sar
basin,Sie
basin,Rad
basin,Sum
basin,Sze
basin,Wil
basin,Trz
basin,Lubi
basin,Kier
basin,Gard
depression,Lubaw
elevated area,Mag
elevated area,Czer
elevation,Kos
elevation,Gro
elevation,Pol
elevation,Sto
elevation,Bor
elevation,Bar
elevation,Lip
elevation,Str
elevation,Pla
elevation,Kop
elevation,Kie
elevation,Smr
elevation,Sze
elevation,Pta
elevation,Szy
elevation,Zam
elevation,Jas
elevation,Łys
elevation,Sie
elevation,Ska
elevation,Dąb
elevation,Ber
elevation,Kar
elevation,Mar
elevation,Sol
elevation,Sow
elevation,Kicz
elevation,Lubo
elevation,Przy
elevation,Szcz
elevation,Słon
elevation,Kozi
elevation,Woło
elevation,Dzie
elevation,Krze
elevation,Ostr
elevation,Pust
elevation,Lisi
elevation,Hrub
elevation,Czer
elevation,Prze
elevation,Magur
elevation,Śląsk
elevation,Bukow
elevation,Wysok
elevation,Śnież
elevation,Łopie
elevation,Kamie
elevation,Święt
elevation,Jaworz
elevation,Chełmi
elevation,Czantor
island,Miel
island,Kępa 
populated place,Kos
populated place,Pod
populated place,Kra
populated place,Pie
populated place,Rad
populated place,Dzi
populated place,Tur
populated place,Pos
populated place,Mal
populated place,Bar
populated place,Gar
populated place,Por
populated place,Wil
populated place,Kon
populated place,Goł
populated place,Świ
populated place,Lip
populated place,Kop
populated place,Mał
populated place,Rud
populated place,Now
populated place,Zag
populated place,Pol
populated place,Bud
populated place,Chr
populated place,Zar
populated place,Dan
populated place,Jar
populated place,Trz
populated place,Sta
populated place,Ros
populated place,Mar
populated place,Mod
populated place,Rog
populated place,Kle
populated place,Bog
populated place,Lub
populated place,Zal
populated place,Krz
populated place,Che
populated place,Mos
populated place,Bes
populated place,Koł
populated place,Wit
populated place,Gro
populated place,Jur
populated place,Las
populated place,Pus
populated place,Wło
populated place,Prze
populated place,Wiel
populated place,Biel
populated place,Grab
populated place,Brze
populated place,Jank
populated place,Mich
populated place,Brzo
populated place,Biał
populated place,Karc
populated place,Nied
populated place,Żabi
populated place,Widz
populated place,Wier
populated place,Zawi
populated place,Borow
populated place,Przyb
populated place,Dobro
populated place,Kobyl
populated place,Siemi
populated place,Strze
populated place,Wiśni
populated place,Sobies
populated place,Czerni
populated place,Ostrow
stream,Lub
stream,Str
stream,Krz
stream,Rud
stream,Nie
stream,Nar
stream,Brz
stream,Peł
stream,Żyl
stream,Tur
stream,Drw
stream,Wisł
stream,Piła
stream,Przy
stream,Czer
stream,Chot
stream,Wierz
