place_category,ending
area,ina
area,wska
basin,sko
basin,owo
basin,ino
basin,cin
basin,gie
basin,bno
basin,cze
basin,cko
basin,ewo
basin,ent
basin,szno
basin,czno
basin,ierz
basin,ickie
basin,ackie
basin,alskie
basin,elskie
basin,adzkie
basin,ieckie
basin,nowskie
basin,kowskie
basin,lińskie
basin,barskie
basin,ławskie
basin,chowskie
basin,szewskie
basin,szyńskie
depression,cka
depression,rska
depression,owska
depression,ovské
elevated area,owe
elevated area,dek
elevated area,ské
elevated area,ady
elevated area,rskie
elevated area,ockie
elevated area,ińskie
elevated area,owskie
elevation,nik
elevation,rka
elevation,ień
elevation,cka
elevation,arz
elevation,ana
elevation,nna
elevation,bla
elevation,era
elevation,ata
elevation,bra
elevation,kyd
elevation,bia
elevation,sko
elevation,rek
elevation,zak
elevation,ony
elevation,sta
elevation,iel
elevation,awa
elevation,acz
elevation,sia
elevation,ków
elevation,ówka
elevation,kowa
elevation,owka
elevation,anka
elevation,lica
elevation,zyna
elevation,ovec
elevation,łowa
elevation,niak
elevation,ckie
elevation,orza
elevation,ucha
elevation,ania
elevation,aska
elevation,rska
elevation,hyba
elevation,acza
elevation,rowa
elevation,ńska
elevation,owska
elevation,olska
elevation,ielec
elevation,alowa
elevation,owski
elevation,enica
elevation,iniec
elevation,kowiec
elevation,awskie
island,ski
island,lin
populated place,iny
populated place,nie
populated place,ina
populated place,aki
populated place,cie
populated place,nia
populated place,cze
populated place,nka
populated place,ski
populated place,chy
populated place,awa
populated place,owy
populated place,rze
populated place,nin
populated place,tki
populated place,nek
populated place,ale
populated place,zka
populated place,lin
populated place,łki
populated place,nik
populated place,usy
populated place,ana
populated place,rki
populated place,awy
populated place,ele
populated place,uty
populated place,ody
populated place,bin
populated place,żki
populated place,ane
populated place,min
populated place,ory
populated place,tów
populated place,tka
populated place,asy
populated place,bki
populated place,rna
populated place,nica
populated place,nice
populated place,rzyn
populated place,niki
populated place,lewo
populated place,szyn
populated place,udki
populated place,iska
populated place,chów
populated place,iany
populated place,zyce
populated place,czki
populated place,ejów
populated place,ecko
populated place,inów
populated place,zyna
populated place,rowo
populated place,ówko
populated place,anów
populated place,ików
populated place,szew
populated place,dowo
populated place,kowa
populated place,czyn
populated place,łowo
populated place,isko
populated place,sław
populated place,ęcin
populated place,czno
populated place,dowa
populated place,owska
populated place,czewo
populated place,nicka
populated place,ewice
populated place,anowo
populated place,ejewo
populated place,iniec
populated place,kówka
populated place,ńskie
populated place,chowo
populated place,czków
populated place,yszów
populated place,mierz
populated place,łkowo
populated place,zówek
populated place,niewo
populated place,janki
populated place,sówka
populated place,nówek
populated place,eckie
populated place,rzewo
populated place,łowice
populated place,iszewo
populated place,szówka
populated place,szowice
populated place,niowiec
populated place,tkowice
populated place,chowice
populated place,kowskie
stream,ska
stream,ina
stream,cza
stream,rka
stream,ski
stream,cha
stream,rwa
stream,zka
stream,uga
stream,ata
stream,oga
stream,nik
stream,rta
stream,sza
stream,owa
stream,awka
stream,onka
stream,lica
stream,niec
stream,rawa
stream,ewka
stream,owka
stream,ianka
stream,tówka
stream,lnica
stream,dnica
stream,eczna
stream,rzyca
stream,tynia
stream,znica
stream,mnica
stream,wnica
stream,rnica
stream,tnica
stream,chówka
stream,rzynka
stream,czanka
