name,frequency,place_type,place_category
Aballava,1,populated place,populated place
Aballo,1,populated place,populated place
Aballum,1,populated place,populated place
Abdera,1,populated place,populated place
Abudiacum,1,populated place,populated place
Abula,1,populated place,populated place
Abusina,1,populated place,populated place
Acci,1,populated place,populated place
Acinipo,1,populated place,populated place
Ad Anisum,1,populated place,populated place
Ad Flexum,1,populated place,populated place
Ad Iuvense,1,populated place,populated place
Ad Mauros,1,populated place,populated place
Ad Mediam,1,populated place,populated place
Ad Statuas,1,populated place,populated place
Ad Statuas,1,populated place,populated place
Aelium Cetium,1,populated place,populated place
Aeminium,1,populated place,populated place
Aemona,1,populated place,populated place
Aequinoctium,1,populated place,populated place
Aesica,1,populated place,populated place
Agathe,1,populated place,populated place
Agedincum,1,populated place,populated place
Aguntum,1,populated place,populated place
Ala Nova,1,populated place,populated place
Altinum,1,populated place,populated place
Ambiani,1,populated place,populated place
Anderida,1,populated place,populated place
Anicium,1,populated place,populated place
Antipolis,1,populated place,populated place
Apulum,1,populated place,populated place
Aquae Helveticae,1,populated place,populated place
Aquae Sextiae,1,populated place,populated place
Aquae Sulis,1,populated place,populated place
Aquincum,1,populated place,populated place
Aquis Voconis,1,populated place,populated place
Aquisgranium,1,populated place,populated place
Aquitania,1,region,region
Arausio,1,populated place,populated place
Arbeia,1,populated place,populated place
Arcidava,1,populated place,populated place
Arelape,1,populated place,populated place
Arelate,1,populated place,populated place
Argentoratum,1,populated place,populated place
Armorica,1,populated place,populated place
Arrabona,1,populated place,populated place
Arverni,1,populated place,populated place
Asturica,1,populated place,populated place
Atrans,1,populated place,populated place
Atrebatum,1,populated place,populated place
Atuatuca Tungrorum,1,populated place,populated place
Augusta Emerita,1,populated place,populated place
Augusta Raurica,1,populated place,populated place
Augusta Trebecorum,1,populated place,populated place
Augusta Treverorum,1,populated place,populated place
Augusta Trevirorum,1,populated place,populated place
Augusta Vindelicorum,1,populated place,populated place
Augustianis,1,populated place,populated place
Augustobona,1,populated place,populated place
Augustodunum,1,populated place,populated place
Augustonementum,1,populated place,populated place
Aurelia,1,populated place,populated place
Aurelia Aquensi,1,populated place,populated place
Aurelianum,1,populated place,populated place
Autricum,1,populated place,populated place
Avennio,1,populated place,populated place
Aventicum,1,populated place,populated place
Baelo,1,populated place,populated place
Baeloe,1,populated place,populated place
Baeterrae,1,populated place,populated place
Baetulo,1,populated place,populated place
Barcino,1,populated place,populated place
Basti,1,populated place,populated place
Batavis,1,populated place,populated place
Belgica,1,region,region
Belginum,1,populated place,populated place
Berzobis,1,populated place,populated place
Bilbilis,1,populated place,populated place
Bilbilis Italica,1,populated place,populated place
Blariacum,1,populated place,populated place
Bona,1,populated place,populated place
Bononia,1,populated place,populated place
Bononia Malata,1,populated place,populated place
Bracara Augusta,1,populated place,populated place
Bremetennacum Veteranorum,1,populated place,populated place
Brigantium,1,populated place,populated place
Brigantium,1,populated place,populated place
Brigetio,1,populated place,populated place
Britannia,1,region,region
Brivas,1,populated place,populated place
Burdigala,1,populated place,populated place
Burrium,1,populated place,populated place
Caesaraugusta,1,populated place,populated place
Caesarodunum,1,populated place,populated place
Calagurris,1,populated place,populated place
Calagurris Iulia Nasica,1,populated place,populated place
Caledonia,1,region,region
Callatis,1,populated place,populated place
Calleva Atrebatum,1,populated place,populated place
Cambria,1,region,region
Campi Catalaunii,1,populated place,populated place
Campona,1,populated place,populated place
Camulodunum,1,populated place,populated place
Cannabiaca,1,populated place,populated place
Cantabrigia,1,populated place,populated place
Caprera,1,populated place,populated place
Carcaso,1,populated place,populated place
Carmo,1,populated place,populated place
Carmona,1,populated place,populated place
Carnotum,1,populated place,populated place
Carnuntum,1,populated place,populated place
Carteia,1,populated place,populated place
Carthago Nova,1,populated place,populated place
Cascantum,1,populated place,populated place
Castellum apud Confluentes,1,populated place,populated place
Castellum Flevum,1,populated place,populated place
Castra ad Herculem,1,populated place,populated place
Castra Batavorum,1,populated place,populated place
Castra Batvorum,1,populated place,populated place
Castra Regina,1,populated place,populated place
Castrum Octavianum,1,populated place,populated place
