place_category,ending
populated place,nae
populated place,iae
populated place,nia
populated place,tis
populated place,lia
populated place,ana
populated place,rae
populated place,ina
populated place,eia
populated place,nis
populated place,ara
populated place,ris
populated place,tio
populated place,ena
populated place,ius
populated place,mus
populated place,nna
populated place,tus
populated place,era
populated place,ata
populated place,lva
populated place,sca
populated place,cia
populated place,mum
populated place,sus
populated place,inum
populated place,anum
populated place,iani
populated place,rica
populated place,rnum
populated place,atum
populated place,itum
populated place,dava
populated place,onum
populated place,bona
populated place,cium
populated place,mona
populated place,rium
populated place,inium
populated place,entum
populated place,ntium
populated place,corum
populated place,onium
populated place,entia
populated place,iorum
populated place,antia
populated place,durum
populated place,untum
populated place,varia
populated place,allum
populated place,rorum
populated place,isium
populated place,odunum
populated place,riacum
populated place,omagus
populated place,ensium
populated place,tanorum
populated place,ianopolis
region,ania
