name,frequency,place_type,place_category
A’ Bhrideanach,1,point,convex shoreline
A’ Chailleach,1,mountain,elevation
A’ Ghairbhe,1,river,stream
A’ Ghlas-bheinn,2,mountain,elevation
A’ Mharconaich,1,mountain,elevation
A’Chailleach,1,mountain,elevation
Abbey Head,1,cape,convex shoreline
Aberarder,1,populated place,populated place
Aberchalder,1,populated place,populated place
Aberchalder Burn,1,river,stream
Aberdour,2,populated place,populated place
Aberlady Point,1,point,convex shoreline
Aberlemm,1,populated place,populated place
Abertay Sands,1,bank,underwater elevation
Abhainn a Mhail,1,river,stream
Abhainn Beinn nan Eun,1,river,stream
Abhainn Bruachaig,1,river,stream
Abhainn Droma,1,river,stream
Abhainn na Frithe,1,river,stream
Abhainn na Glasa,1,river,stream
Abhainn Thràil,1,river,stream
Abhuinn Cuileig,1,river,stream
Abhuinn Droma,1,river,stream
Aboine,1,populated place,populated place
Aboyne,1,populated place,populated place
Achafubil,1,populated place,populated place
Achagate,1,populated place,populated place
Achain Burn,1,river,stream
Achairn Burn,1,river,stream
Achanalt,1,populated place,populated place
Achany,1,populated place,populated place
Acharacle,1,populated place,populated place
Acharole Burn,1,river,stream
Acharra,1,populated place,populated place
Achateny,1,river,stream
Achateny Water,1,river,stream
Acheniner,1,populated place,populated place
Acheninver,1,populated place,populated place
Achentee,1,populated place,populated place
Achentoul,1,populated place,populated place
Achfarrie,1,populated place,populated place
Achfarry,1,populated place,populated place
Achfary,1,populated place,populated place
Achinduich,1,populated place,populated place
Achintoul,1,populated place,populated place
Achlighness,1,populated place,populated place
Achmelvich,1,populated place,populated place
Achmelvich Bay,1,bay,concave shoreline
Achmore,1,populated place,populated place
Achnacroish,1,populated place,populated place
Achnahannet,1,populated place,populated place
Achnasheen,1,populated place,populated place
Achriesgill,1,populated place,populated place
Achterneed,1,populated place,populated place
Ackergill,1,populated place,populated place
Addiewell,1,populated place,populated place
Aird of Sleat,1,populated place,populated place
Airds Point,2,point,convex shoreline
Airie Burn,1,river,stream
Airor,1,populated place,populated place
Aldie,1,populated place,populated place
Alford,1,populated place,populated place
Allachy Water,1,river,stream
Allanfearn,1,populated place,populated place
Alligin,1,populated place,populated place
Alloa,1,populated place,populated place
Allt a’ Chalda Mòr,1,river,stream
Allt a’ Chaoil-réidhe,1,river,stream
Allt a’ Vullin,1,river,stream
Allt Bhalachain,1,river,stream
Allt Bhlàraidh,1,river,stream
Allt Bhran,1,river,stream
Allt Cam,1,river,stream
Allt Càm Carach,1,river,stream
Allt Cristie,1,river,stream
Allt Cristie Mòr,1,river,stream
Allt Cro-Chlach,1,river,stream
Allt Dunie,1,river,stream
Allt Ladaidh,1,river,stream
Allt Laddie,1,river,stream
Allt Loraich,1,river,stream
Allt Lorgy,1,river,stream
Allt Mòr,1,river,stream
Allt Mòr Gìsgil,1,river,stream
Allt na Caim,1,river,stream
Allt na Lairige Mòire,1,river,stream
Allt nan Caorach,1,river,stream
Allt Ruadh,1,river,stream
Alltbeath,1,populated place,populated place
Alltsigh,1,populated place,populated place
Almorness Point,1,point,convex shoreline
Alness,1,river,stream
Altan Strahan,1,river,stream
Altandon,1,populated place,populated place
Altanduin,1,populated place,populated place
Altavaig Island,1,island,island
Alterlie Bay,1,bay,concave shoreline
Alterlie Point,1,point,convex shoreline
Altnaharra,1,populated place,populated place
Alturlie Point,1,point,convex shoreline
Alvah,1,populated place,populated place
Alvie,1,populated place,populated place
Am Bhuachaille,1,island,island
Am Buachaille,1,island,island
Am Fiar Loch,1,lake,basin
Amar Strath Ossian,1,valley,depression
Amhainn a’ Choire,1,river,stream
Amhainn Ceann Locha,1,river,stream
Amhainn Chearbhaig,1,river,stream
Amhainn Ghuilbinn,1,river,stream
Amhainn Raidh,1,river,stream
Amhainn Rath,1,river,stream
Amhainn Righ,1,river,stream
Amisfield Town,1,populated place,populated place
An Ceannaich,1,cape,convex shoreline
An Coileach,1,rock,elevation
An Dubh-sgeir,1,rock,elevation
An Fhaochag,1,point,convex shoreline
An Garbh-eilean,2,island,island
An Groban,1,mountain,elevation
An Riabhachan,1,mountain,elevation
An Ruadh-stac,1,mountain,elevation
An Sgùrr,1,mountain,elevation
An Steidh,1,island,island
An Teallach,1,mountain,elevation
Anaboard Burn,1,river,stream
Ankerville,1,populated place,populated place
Ankerville Corner,1,populated place,populated place
Annan Water,1,river,stream
Annat Bay,1,bay,concave shoreline
Anstruther Easter,1,populated place,populated place
Aonach Beag,1,mountain,elevation
Aonach Buidhe,1,mountain,elevation
Aonach Mòr,1,mountain,elevation
Appin Burn,1,river,stream
Applecross,1,river,stream
Applegarth Town,1,populated place,populated place
Arbirlot,1,populated place,populated place
Arbroath,1,populated place,populated place
Archer Beck,1,river,stream
Arcuil,1,mountain,elevation
Àrd Mòr,1,peninsula,convex shoreline
Ard More,1,peninsula,convex shoreline
Àrd na Cailc,1,point,convex shoreline
Ardcharnich,1,populated place,populated place
Ardgour,1,populated place,populated place
Ardheslaig,1,populated place,populated place
Ardmeanach,1,peninsula,convex shoreline
Ardmore Point,3,point,convex shoreline
Ardmuir,1,populated place,populated place
Ardnamurchan,1,peninsula,convex shoreline
Ardnamurchan Peninsula,1,peninsula,convex shoreline
Ardnarff,1,populated place,populated place
Ardnastang,1,populated place,populated place
Ardnish,1,peninsula,convex shoreline
Ardnish Peninsula,1,peninsula,convex shoreline
Ardovie,1,populated place,populated place
Ardroy Sand,1,bank,underwater elevation
Ardshealach,1,populated place,populated place
Ardshieloch,1,populated place,populated place
Ardslignish,1,populated place,populated place
Ardtoe,1,populated place,populated place
Ardtornish Bay,1,bay,concave shoreline
Ardullie,1,populated place,populated place
Ardvar,1,populated place,populated place
Ardvasar,1,populated place,populated place
Ardwell,1,populated place,populated place
Ardwell Point,1,point,convex shoreline
Arisaig,1,bay,concave shoreline
Arisaig Harbour,1,bay,concave shoreline
Armadale,2,populated place,populated place
Armadale Bay,2,bay,concave shoreline
Armadale Burn,1,river,stream
Arnisdale,1,populated place,populated place
Arnish,1,populated place,populated place
Aros Bay,1,bay,concave shoreline
Artfield Fell,1,hill,elevation
Askadill,1,rock,elevation
Askival,1,mountain,elevation
Astail,1,populated place,populated place
Astel,1,populated place,populated place
Astle,1,populated place,populated place
Athnamulloch,1,populated place,populated place
Auchenbay Burn,1,river,stream
Auchendinny,1,populated place,populated place
Auchenmalg Bay,1,bay,concave shoreline
Auchenvey Burn,1,river,stream
Auchinblae,1,populated place,populated place
Auchinhove,1,populated place,populated place
Auchleven,1,populated place,populated place
Auchmacoy,1,populated place,populated place
Auchmantle,1,populated place,populated place
Auchmithie Bay,1,bay,concave shoreline
Auchnagatt,1,populated place,populated place
Auchness,1,populated place,populated place
Auchterhouse,1,populated place,populated place
Auchterneed,1,populated place,populated place
Auchtertool,1,populated place,populated place
Auckingill,1,populated place,populated place
Auld-dinnit Burn,1,river,stream
Auldearn,1,populated place,populated place
Aultgrishin,1,populated place,populated place
Aultivullin,1,populated place,populated place
Aviemore,1,populated place,populated place
Avoch,1,populated place,populated place
Bà,1,river,stream
Babbet Ness,1,point,convex shoreline
Baca Ruadh,1,mountain,elevation
Bachnagairn,1,waterfall,stream
Backies,1,populated place,populated place
Backmuir of New Gilston,1,populated place,populated place
Badaneoin,1,populated place,populated place
Badcall,1,river,stream
Badcall Burn,1,river,stream
Badcall Loch,1,bay,concave shoreline
Baden Bay,1,bay,concave shoreline
Badenscallie,1,populated place,populated place
Badenyon,1,populated place,populated place
Badluchrach,1,populated place,populated place
Bàgh an Srathaidh,1,bay,concave shoreline
Bailliewhir,1,populated place,populated place
Baladie,1,populated place,populated place
Balblair,2,populated place,populated place
Balcary Point,1,point,convex shoreline
Balchladich,1,populated place,populated place
Balconie Point,1,point,convex shoreline
Balgavie Loch,1,lake,basin
Balgavies Loch,1,lake,basin
Ballachulish,1,populated place,populated place
Ballachulist,1,populated place,populated place
Ballater,1,populated place,populated place
Ballingry,1,populated place,populated place
Ballogie,1,populated place,populated place
Balmacara,1,populated place,populated place
Balmacarra,1,populated place,populated place
Balmae Head,1,point,convex shoreline
Balmakiel,1,populated place,populated place
Balmeanach Bay,1,bay,concave shoreline
Balmerino,1,populated place,populated place
Balminnoch,1,populated place,populated place
Balmullo,1,populated place,populated place
Balnakeil,1,populated place,populated place
Balnakiel,1,populated place,populated place
Banff,1,populated place,populated place
Baosbheinn,1,mountain,elevation
Bar Hill,1,hill,elevation
Bar Point,1,point,convex shoreline
Barachie,1,populated place,populated place
Baraer,1,populated place,populated place
Barbaraville,1,populated place,populated place
Barevan,1,populated place,populated place
Bargatton Loch,1,lake,basin
Bargrennan,1,populated place,populated place
Barnhourie Sand,1,bank,underwater elevation
Barns Ness,1,point,convex shoreline
Barony Point,1,point,convex shoreline
Barr,1,populated place,populated place
Barr Point,1,point,convex shoreline
Barraer,1,populated place,populated place
Barrisdale,1,populated place,populated place
Barry,1,populated place,populated place
Barry Sands,1,bank,underwater elevation
Barsalloch Point,1,point,convex shoreline
Bass Rock,1,rock,elevation
Baxter Rock,1,rock,elevation
Bay of Cruden,1,bay,concave shoreline
Bay of Laig,1,bay,concave shoreline
Bay of Stoer,1,bay,concave shoreline
Bay River,1,river,stream
Beannachan,1,lake,basin
Bearneas,1,river,stream
Bearnock,1,populated place,populated place
Beauly,1,river,stream
Beeswing,1,populated place,populated place
Beggar’s Cap,1,rock,elevation
Bein Alligin,1,mountain,elevation
Bein Meillich,1,mountain,elevation
Beinn a’ Bheithir,1,mountains,elevated area
Beinn a’ Bhuird,1,mountain,elevation
Beinn a’ Chàisgein Beag,1,mountain,elevation
Beinn a’ Chàisgein Mòr,1,mountain,elevation
Beinn a’ Chaisteil,1,mountain,elevation
Beinn a’ Chlachair,1,mountain,elevation
Beinn a’ Chlaidheimh,1,mountain,elevation
Beinn Alligin,1,mountain,elevation
Beinn an Armuinn,1,mountain,elevation
Beinn Bhàn,1,mountain,elevation
Beinn Bheag,2,mountain,elevation
Beinn Bheithir,1,mountains,elevated area
Beinn Bhreac,2,mountain,elevation
Beinn Bhuidhe Mhòr,1,mountain,elevation
Beinn Ceitlein,1,mountain,elevation
Beinn Chlianaig,1,mountain,elevation
Beinn Cleith Bric,1,mountain,elevation
Beinn Damh,1,mountain,elevation
Beinn Dearg,4,mountain,elevation
Beinn Dearg Bheag,1,mountain,elevation
Beinn Dearg Mhor,1,mountain,elevation
Beinn Dearg Mhòr,1,mountain,elevation
Beinn Dhorain,1,mountain,elevation
Beinn Direach,1,mountain,elevation
Beinn Dronaig,1,mountain,elevation
Beinn Fhada,1,mountain,elevation
Beinn Ghobhlach,1,mountain,elevation
Beinn Làir,1,mountain,elevation
Beinn Leòid,1,mountain,elevation
Beinn Liath Mhor,1,mountain,elevation
Beinn Mheadhoin,1,mountain,elevation
Beinn Mhor,1,mountain,elevation
Beinn na Caillich,1,mountain,elevation
Beinn na Seilg,1,mountain,elevation
Beinn nam Bad Mòr,1,hill,elevation
Beinn nan Ramh,1,mountain,elevation
Beinn Sgeireach,1,mountain,elevation
Beinn Sgreamhaidh,1,mountain,elevation
Beinn Smeorail,1,mountain,elevation
Beinn Tharsuinn,3,mountain,elevation
Beinn Tighe,1,mountain,elevation
Beinn Ulvaie,1,mountain,elevation
Beinn’s Tomaine,1,mountain,elevation
Belhaven,1,populated place,populated place
Belhelvie,1,populated place,populated place
Bell Rock,1,rock,elevation
Belmaduthy,1,populated place,populated place
Ben a Chlaidheimh,1,mountain,elevation
Ben a’ Chaisgein Beag,1,mountain,elevation
Ben a’ Chaisteil,1,mountain,elevation
Ben Alisky,1,mountain,elevation
Ben Aslak,1,mountain,elevation
Ben Attow,1,mountain,elevation
Ben Auskaird,1,mountain,elevation
Ben Bhach Ard,1,mountain,elevation
Ben Bheag,2,mountain,elevation
Ben Chlinaig,1,mountain,elevation
Ben Criam More,1,mountain,elevation
Ben Damh,1,mountain,elevation
Ben Dearg,1,ridge,elevated area
Ben Dearg Mhor,1,mountain,elevation
Ben Dearg-mor,1,mountain,elevation
Ben Dearg-veg,1,mountain,elevation
Ben Derg,2,mountain,elevation
Ben Derg More,1,mountain,elevation
Ben Derg-veg,1,mountain,elevation
Ben Dergbeg,1,mountain,elevation
Ben Dirach,1,mountain,elevation
Ben Dronnaig,1,mountain,elevation
Ben Eay,1,mountain,elevation
Ben Edra,1,mountain,elevation
Ben Eibhinn,1,mountain,elevation
Ben Fionn,1,mountain,elevation
Ben Griam Beg,1,mountain,elevation
Ben Griam Mhor,1,mountain,elevation
Ben Griam More,1,mountain,elevation
Ben Hee,1,mountain,elevation
Ben Horn,1,mountain,elevation
Ben Hutig,1,mountain,elevation
Ben Killilan,1,mountain,elevation
Ben Klibreck,1,mountain,elevation
Ben Lair,1,mountain,elevation
Ben Lee,1,mountain,elevation
Ben Leod,1,mountain,elevation
Ben Liath Mhor,1,mountain,elevation
Ben Liughach,1,mountain,elevation
Ben Loyal,1,mountain,elevation
Ben Meabost,1,mountain,elevation
Ben Mhor,1,mountain,elevation
Ben More Assynt,1,mountain,elevation
Ben More Coigach,1,mountain,elevation
Ben na Caillich,1,mountain,elevation
Ben na Lap,1,mountain,elevation
Ben na Leac,1,mountain,elevation
Ben nan Ramh,1,mountain,elevation
Ben Resipol,1,mountain,elevation
Ben Rosail,1,hill,elevation
Ben Screel,1,mountain,elevation
Ben Scrial,1,mountain,elevation
Ben Sgriol,1,mountain,elevation
Ben Shalloch,1,mountain,elevation
Ben Smeoral,1,mountain,elevation
Ben Smeorale,1,mountain,elevation
Ben Starav,1,mountain,elevation
Ben Staray,1,mountain,elevation
Ben Tarsuinn,1,mountain,elevation
Ben Tee,1,mountain,elevation
Ben Tharsuinn,3,mountain,elevation
Ben Tighe,1,mountain,elevation
Ben Tue,1,mountain,elevation
Ben Uie,1,mountain,elevation
Ben Ulamhie,1,mountain,elevation
Ben Vair,1,mountains,elevated area
Ben Vrack,1,mountain,elevation
Ben Wyvis,1,mountain,elevation
Ben Yadain,1,mountain,elevation
Ben-a-chielt,1,hill,elevation
Bencleuch,1,mountain,elevation
Bengairn,1,mountain,elevation
Benholm,1,populated place,populated place
Bennachie,1,mountain,elevation
Bernera,1,populated place,populated place
Berriedale,1,populated place,populated place
Berwick Law,1,hill,elevation
Bettyhill,1,populated place,populated place
Bewcastle Fells,1,hill,elevation
Bidean Dam Bian,1,mountain,elevation
Bidean nan Bean,1,mountain,elevation
Biel,1,populated place,populated place
Big Water of Fleet,1,river,stream
Bighouse Hill,1,hill,elevation
Billow Ness,1,point,convex shoreline
Birkhall,1,populated place,populated place
Birkhill,1,rocks,elevation
Bishop Burn,1,river,stream
Blabheim,1,mountain,elevation
Black Cart,1,river,stream
Black Cart River,1,river,stream
Black Dog,1,rock,elevation
Black Esk,1,river,stream
Black Island,1,islands,island
Black Islands,1,islands,island
Black Isle,1,peninsula,convex shoreline
Black Loch,1,lake,basin
Black Point,1,point,convex shoreline
Black Water,6,river,stream
Black Water of Dee,1,river,stream
Blackburn,2,populated place,populated place
Blackdog Rock,1,rock,elevation
Blackford,1,populated place,populated place
Blackhope Burn,1,river,stream
Blackshiels,1,populated place,populated place
Blackwood,1,populated place,populated place
Bladenoch,1,river,stream
Bladnoch,1,river,stream
Blaich,1,populated place,populated place
Blairhall,1,populated place,populated place
Blaven,1,mountain,elevation
Blindman,1,rock,elevation
Bloch Hill,1,hill,elevation
Boarhills,1,populated place,populated place
Boddam,1,populated place,populated place
Boddin Point,1,point,convex shoreline
Bodesbeck,1,river,stream
Bodesbeck Burn,1,river,stream
Bogie Water,1,river,stream
Bogniebrae,1,populated place,populated place
Bogrie Hill,1,hill,elevation
