name,place_category,frequency
A Bhuachaille,convex shoreline,1
A Chielt,elevation,1
A Chlaidheimh,elevation,1
A Ghuish,elevation,1
A Loin,depression,1
A Mhail,stream,1
A Ridire,concave shoreline,1
A Veg,convex shoreline,1
Abbey,convex shoreline,1
Abbey,populated place,1
Aberarder,populated place,1
Aberchalder,populated place,1
Aberchalder,stream,1
Aberdour,populated place,2
Aberlady,convex shoreline,1
Aberlemm,populated place,1
Abertay,underwater elevation,1
Aboine,populated place,1
Aboyne,populated place,1
Achafubil,populated place,1
Achagate,populated place,1
Achain,stream,1
Achairn,stream,1
Achall,basin,1
Achall,depression,1
Achaltt,depression,1
Achanalt,basin,1
Achanalt,populated place,1
Achany,populated place,1
Acharacle,populated place,1
Acharole,stream,1
Acharra,populated place,1
Achateny,stream,2
Acheniner,populated place,1
Acheninver,populated place,1
Achentee,populated place,1
Achentoul,populated place,1
Achfarrie,populated place,1
Achfarry,populated place,1
Achfary,populated place,1
Achinduich,populated place,1
Achintoul,populated place,1
Achlighness,populated place,1
Achmelvich,concave shoreline,1
Achmelvich,populated place,1
Achmore,populated place,1
Achnacroish,populated place,1
Achnahannet,populated place,1
Achnamoine,basin,1
Achnasheen,populated place,1
Achran,basin,1
Achriesgill,populated place,1
Achterneed,populated place,1
Ackergill,populated place,1
Addiewell,populated place,1
Affric,basin,1
Affrick,basin,1
Ailort,concave shoreline,1
Ailsh,basin,1
Ainneart,concave shoreline,2
Ainort,concave shoreline,1
Aird,convex shoreline,1
Aird Druimnich,convex shoreline,1
Aird Druimnish,convex shoreline,1
Aird Of Sleat,populated place,1
Airdbhair,concave shoreline,1
Airds,convex shoreline,2
Airgid,elevation,1
Airie,stream,1
Airor,populated place,1
Aladale,depression,1
Alasdair,elevation,1
Albyn,depression,1
Aldie,depression,1
Aldie,populated place,1
Alford,populated place,1
Aline,concave shoreline,1
Aline,stream,1
Alisky,elevation,1
Allachy,stream,1
Allanfearn,populated place,1
Alligin,elevation,2
Alligin,populated place,1
Alloa,populated place,1
Alltain Duibh,concave shoreline,1
Alltain Fhearna,basin,1
Alltbeath,populated place,1
Alltsigh,populated place,1
Almorness,convex shoreline,1
Alness,stream,1
Altan Strahan,stream,1
Altandon,populated place,1
Altanduin,populated place,1
Altavaig,island,2
Alterlie,concave shoreline,1
Alterlie,convex shoreline,1
Altnaharra,populated place,1
Alturlie,convex shoreline,1
Alvah,populated place,1
Alvie,basin,1
Alvie,populated place,1
Am Bhuachaille,island,1
Am Buachaille,island,1
Am Fiar,basin,1
Amar Strath Ossian,depression,1
Amisfield,populated place,1
Anaboard,stream,1
Ankerville,populated place,1
Ankerville Corner,populated place,1
Annan,stream,2
Annat,concave shoreline,1
Anstruther,populated place,2
Anstruther Easter,populated place,1
Appin,stream,1
Applecross,stream,1
Applegarth,populated place,1
Arbirlot,populated place,1
Arbroath,populated place,1
Archer Beck,stream,1
Arcuil,elevation,1
Ard,convex shoreline,1
Ardcharnich,populated place,1
Ardgour,populated place,1
Ardheslaig,populated place,1
Ardmeanach,convex shoreline,1
Ardmuir,populated place,1
Ardnamurchan,convex shoreline,2
Ardnarff,populated place,1
Ardnastang,populated place,1
Ardnish,convex shoreline,2
Ardovie,populated place,1
Ardroy,underwater elevation,1
Ardshealach,populated place,1
Ardshieloch,populated place,1
Ardslignish,populated place,1
Ardtoe,populated place,1
Ardtornish,concave shoreline,1
Ardullie,populated place,1
Ardvar,populated place,1
Ardvasar,populated place,1
Ardwell,convex shoreline,1
Ardwell,populated place,1
Arienas,basin,1
Arisaig,concave shoreline,2
Armadale,concave shoreline,2
Armadale,populated place,2
Armadale,stream,1
Armuinn,elevation,1
Arnisdale,populated place,1
Arnisdale,stream,1
Arnish,concave shoreline,1
Arnish,populated place,1
Aros,concave shoreline,1
Artfield,elevation,1
Arthur,basin,1
Ashie,basin,1
Askadill,elevation,1
Askival,elevation,1
Aslak,elevation,1
Assynt,basin,1
Astail,populated place,1
Astel,populated place,1
Astle,populated place,1
Athnamulloch,populated place,1
Attow,elevation,1
Auchenbay,stream,1
Auchendinny,populated place,1
Auchenmalg,concave shoreline,1
Auchenvey,stream,1
Auchinblae,populated place,1
Auchinhove,populated place,1
Auchleven,populated place,1
Auchmacoy,populated place,1
Auchmantle,populated place,1
Auchmithie,concave shoreline,1
Auchnagatt,populated place,1
Auchness,populated place,1
Auchterhouse,populated place,1
Auchterneed,populated place,1
Auchtertool,populated place,1
Auckingill,populated place,1
Auld Dinnit,stream,1
Auldearn,populated place,1
Aultgrishin,populated place,1
Aultivullin,populated place,1
Auskaird,elevation,1
Aviemore,populated place,1
Avoch,populated place,1
A’chailleach,elevation,1
Ba,basin,1
Ba,stream,1
Babbet,convex shoreline,1
Baca Ruadh,elevation,1
Bachnagairn,stream,1
Backies,populated place,1
Backmuir Of New Gilston,populated place,1
Badaneoin,populated place,1
Badcall,concave shoreline,1
Badcall,stream,2
Baddanloch,basin,1
Baden,concave shoreline,1
Badenscallie,populated place,1
Badenyon,populated place,1
Badluchrach,populated place,1
Bagastie,depression,1
Baile Ghobhain,island,1
Bailliewhir,populated place,1
Baladie,populated place,1
Balblair,populated place,2
Balcary,convex shoreline,1
Balchladich,populated place,1
Balconie,convex shoreline,1
Balgavie,basin,1
Balgavies,basin,1
Baligill,basin,1
Ballachulish,populated place,2
Ballachulist,populated place,1
Ballater,populated place,1
Ballingry,populated place,1
Ballogie,populated place,1
Balmacara,populated place,1
Balmacarra,populated place,1
Balmae,convex shoreline,1
Balmakiel,populated place,1
Balmeanach,concave shoreline,1
Balmerino,populated place,1
Balminnoch,populated place,1
Balmullo,populated place,1
Balnagowan,island,1
Balnakeil,populated place,1
Balnakiel,populated place,1
Ban,convex shoreline,1
Ban,elevation,2
Banff,populated place,1
Bannisdail,depression,1
Baosbheinn,elevation,1
Bar,convex shoreline,1
Bar,elevation,1
Barachie,populated place,1
Baraer,populated place,1
Barbaraville,populated place,1
Barcloy,populated place,2
Barevach,basin,1
Barevan,populated place,1
Bargatton,basin,1
Bargrennan,populated place,1
Barnhourie,underwater elevation,1
Barns,convex shoreline,1
Barony,convex shoreline,1
Barr,convex shoreline,1
Barr,populated place,1
Barraer,populated place,1
Barrisdale,populated place,1
Barry,populated place,1
Barry,underwater elevation,1
Barsalloch,convex shoreline,1
Bass,elevation,1
Baxter,elevation,1
Beannachan,basin,1
Beannacharain,basin,1
Beanoch,basin,1
Bearneas,stream,1
Bearnock,populated place,1
Beauly,stream,2
Beeswing,populated place,1
Beggar’s Cap,elevation,1
Beinne Baine,basin,1
Beinn’s Tomaine,elevation,1
Belhaven,populated place,1
Belhelvie,populated place,1
Bell,elevation,1
Bellows,underwater elevation,1
Belmaduthy,populated place,1
Bencleuch,elevation,1
Bengairn,elevation,1
Benholm,populated place,1
Bennachie,elevation,1
Bernera,populated place,1
Berriedale,populated place,1
Berwick,elevation,2
Berwick,populated place,1
Bettyhill,populated place,1
Bewcastle Fells,elevation,1
Bhacain,elevation,1
Bhach Ard,elevation,1
Bhalach,elevation,1
Bhalachain,stream,1
Bhanabhaidh,basin,1
Bhealaich,basin,3
Bhealaich,elevation,1
Bheithir,elevated area,2
Bhlair,basin,1
Bhlàraidh,stream,1
Bhran,stream,1
Bhraoin,basin,1
Bhreac,elevation,2
Bhreatal,concave shoreline,1
Bhren,elevation,1
Bhrideanach,convex shoreline,1
Bhrà,convex shoreline,2
Bhuidhe,elevation,1
Bhuird,elevation,1
Bhàn,elevation,1
Bianasdail,depression,2
Bidean Dam Bian,elevation,1
Bidean Nan Bean,elevation,1
Biel,populated place,1
Big Water Of Fleet,stream,1
Bighouse,elevation,1
Billow,convex shoreline,1
Birkhall,populated place,1
Birkhill,elevation,1
Bishop,stream,1
Blabheim,elevation,1
Blackburn,populated place,2
Blackdog,elevation,1
Blackford,populated place,1
Blackhope,stream,1
Blackshiels,populated place,1
Blackwood,populated place,1
Bladenoch,stream,1
Bladnoch,stream,2
Blaich,populated place,1
Blairhall,populated place,1
Blaven,elevation,1
Blindman,elevation,1
Bloch,elevation,1
Boarhills,populated place,1
Boddam,populated place,1
Boddin,convex shoreline,1
Bodesbeck,stream,2
Bogie,stream,1
Bogniebrae,populated place,1
Bogrie,elevation,1
Bohuntine,populated place,1
Bolton,populated place,1
Bonar,populated place,1
Bonnavoulin,populated place,1
Boreland,populated place,1
Boreraig,populated place,1
Borgie,stream,1
Borgue,populated place,2
Borreraig,populated place,1
Borve,populated place,1
Bottle,island,2
Boursa,island,1
