name,frequency,place_type,place_category
Abantro,1,populated place,populated place
Abiego,1,populated place,populated place
Ablana,1,populated place,populated place
Acebuche,1,populated place,populated place
Acereda,1,populated place,populated place
Aces,1,populated place,populated place
Acibeiros,1,populated place,populated place
Adzaneta de Albaida,1,populated place,populated place
Aguacada,1,mountain,elevation
Aguafría,1,populated place,populated place
Agudo Island,1,island,island
Aguilafuente,1,populated place,populated place
Alagüeces,1,populated place,populated place
Alberca de Loreto,1,pond,basin
Alberguería,1,populated place,populated place
Albiasu,1,populated place,populated place
Albolleque,1,populated place,populated place
Alborajico,1,populated place,populated place
Albujón,1,populated place,populated place
Alcalá,2,populated place,populated place
Alcalá de la Vega,1,populated place,populated place
Alcañiz,1,populated place,populated place
Alcocero,1,populated place,populated place
Alconada de Maderuelo,1,populated place,populated place
Alcornocal,1,hill,elevation
Alcudia de Monteagud,1,populated place,populated place
Aldeadávila de Revilla,1,populated place,populated place
Aldealafuente,2,populated place,populated place
Aldeanueva de Guadalajara,1,populated place,populated place
Aldeanueva de San Bartolomé,1,populated place,populated place
Aldearraso,1,populated place,populated place
Algarrobo,1,populated place,populated place
Algimia de Alfara,1,populated place,populated place
Algimia de Almonacid,1,populated place,populated place
Alloz,1,populated place,populated place
Almagros,1,populated place,populated place
Almenaras,1,mountain,elevation
Almonaster,1,populated place,populated place
Almora,1,populated place,populated place
Alquería Cañedino,1,populated place,populated place
Alquería Sotrobal,1,populated place,populated place
Alsasua,1,populated place,populated place
Alta Garaona,1,mountain,elevation
Alto,2,populated place,populated place
Alto Abedules,1,mountain,elevation
Alto Buciero,1,hill,elevation
Alto Cotero,1,mountain,elevation
Alto da Serra,1,hill,elevation
Alto de Cherintín,1,hill,elevation
Alto de Imunia,1,mountain,elevation
Alto de La Guarda,1,mountain,elevation
Alto de la Jara,1,hill,elevation
Alto de las Chorreras,1,peak,elevation
Alto de los Leones de Castilla,1,hill,elevation
Alto del Águila,1,hill,elevation
Altos del Hontanar,1,ridge,elevated area
Alvaré,1,populated place,populated place
Alzórriz,1,populated place,populated place
Ambiedes,1,populated place,populated place
Amunartia,1,populated place,populated place
Anceo,1,populated place,populated place
Anciles,2,populated place,populated place
Andinas,1,populated place,populated place
Andraitx,1,populated place,populated place
Aneto,1,populated place,populated place
Añobres,1,populated place,populated place
Anse Teïdent,1,cove,concave shoreline
Arana,1,populated place,populated place
Arangocillo,1,populated place,populated place
Aras,2,populated place,populated place
Arbás,1,populated place,populated place
Archipiélago Balear,1,islands,island
Arcón de San Marcos,1,bay,concave shoreline
Ardaiz,1,populated place,populated place
Ardines,1,populated place,populated place
Arenal de Son Servera,1,beach,shoreline
Argamasilla de Alba,1,populated place,populated place
Arico el Nuevo,1,populated place,populated place
Armuña de Tajuña,1,populated place,populated place
Armunia,1,populated place,populated place
Arquide,1,populated place,populated place
Arroyo Adalia,1,river,stream
Arroyo Albatajar,1,river,stream
Arroyo Ardachón,1,river,stream
Arroyo Azore,1,river,stream
Arroyo Baldriz,1,river,stream
Arroyo Bamba,1,river,stream
Arroyo Barzones,1,river,stream
Arroyo Batán,1,river,stream
Arroyo Bejarano,1,river,stream
Arroyo Boganes,1,river,stream
Arroyo Borrachuelo,1,river,stream
Arroyo Buitrera,1,river,stream
Arroyo Calle de Francos,1,river,stream
Arroyo Campillejo,1,river,stream
Arroyo Caña Honda,1,river,stream
Arroyo Canaleta,1,river,stream
Arroyo Candoncillo,1,river,stream
Arroyo Cantoblanco,1,river,stream
Arroyo Caracuesta,1,river,stream
Arroyo Cárcaba,1,river,stream
Arroyo Carraparedes del Sapo,1,river,stream
Arroyo Casillas,1,river,stream
Arroyo Caula,1,river,stream
Arroyo Chiquero,1,river,stream
Arroyo Chiquillo,1,river,stream
Arroyo Chorro de Corcos,1,river,stream
Arroyo Coto Calderón,1,river,stream
Arroyo de Acin,1,river,stream
Arroyo de Agua,1,river,stream
Arroyo de Albercas,1,river,stream
Arroyo de Alberite,1,river,stream
Arroyo de Alcalá,1,river,stream
Arroyo de Aldobarota,1,river,stream
Arroyo de Almagrera,1,river,stream
Arroyo de Ardileta,1,river,stream
Arroyo de Bamba del Molino,1,river,stream
Arroyo de Bans,1,river,stream
Arroyo de Bañuelos,1,river,stream
Arroyo de Barquero,1,river,stream
Arroyo de Bayoto,1,river,stream
Arroyo de Benalud,1,river,stream
Arroyo de Benavente,1,river,stream
Arroyo de Benazaire,1,river,stream
Arroyo de Bernabé,1,river,stream
Arroyo de Borox,1,river,stream
Arroyo de Bruñel,1,river,stream
Arroyo de Camarenilla,1,river,stream
Arroyo de Cantaelgallo,1,river,stream
Arroyo de Carabielas,1,river,stream
Arroyo de Carmona,1,river,stream
Arroyo de Carnerero,1,river,stream
Arroyo de Carremorales,1,river,stream
Arroyo de Carreteros,1,river,stream
Arroyo de Casas,1,river,stream
Arroyo de Castillejo,1,river,stream
Arroyo de Cuestaquebrada,1,river,stream
Arroyo de Escoznar,1,river,stream
Arroyo de Forcas,1,river,stream
Arroyo de Fresnadillo,1,river,stream
Arroyo de Fresnedoso,1,river,stream
Arroyo de Fuente Cubierta,1,river,stream
Arroyo de Fuentelarraya,1,river,stream
Arroyo de Fuentelviejo,1,river,stream
Arroyo de Gachasmigas,1,river,stream
Arroyo de Galindón,1,river,stream
Arroyo de Gilico,1,river,stream
Arroyo de Guadalcotón,1,river,stream
Arroyo de Guadalín,1,river,stream
Arroyo de Guadalobón,1,river,stream
Arroyo de Guazujeros,1,river,stream
Arroyo de Hoyos,1,river,stream
Arroyo de Jara,1,river,stream
Arroyo de Juana Ruíz,1,river,stream
