name,frequency,place_type,place_category
Aavaviken,1,bay,concave shoreline
Abild,1,populated place,populated place
Acksjön,9,lake,basin
Adbodarna,1,populated place,populated place
Afvasjön,2,lake,basin
Agentjärn,1,lake,basin
Aggnäs,1,populated place,populated place
Aggön,1,peninsula,convex shoreline
Agnetaryd,1,populated place,populated place
Aime,1,mountain,elevation
Ainavardo,1,hill,elevation
Ajsjaur,1,lake,basin
Akkapakte,1,populated place,populated place
Aktseberg,1,populated place,populated place
Ala Pårro,1,hill,elevation
Alabo,1,populated place,populated place
Alanen Lulimus,1,hill,elevation
Alevikkilen,1,inlet,basin
Alholmen,3,island,island
Alle Mattaure,1,lake,basin
Allejaurälven,1,river,stream
Allervat,1,rocks,elevation
Allesätno,1,river,stream
Allgunnås,1,populated place,populated place
Allsarpasjön,1,lake,basin
Almesjö,1,populated place,populated place
Almseleberget,1,mountain,elevation
Almusholmarna,1,islands,island
Alnö,1,island,island
Alo Fiärd,1,bay,concave shoreline
Alsjön,1,lakes,basin
Alskäret,1,islands,island
Alsträsket,1,lake,basin
Alsätersjön,1,lake,basin
Alvsta Långholmar,1,islands,island
Aläng,1,populated place,populated place
Anderholmarna,1,islands,island
Andsjön,2,lake,basin
Andträsket,1,lake,basin
Anjona,1,mountain,elevation
Annefors,2,populated place,populated place
Annerössle,1,populated place,populated place
Annrötsle,1,populated place,populated place
Antilaberget,1,hill,elevation
Antjärn,1,populated place,populated place
Anviksjön,1,lake,basin
Apelgården,1,populated place,populated place
Aptasvuoma,1,bog,marsh
Arbodaön,1,island,island
Arboga,1,populated place,populated place
Arfsnisstjärn,1,lake,basin
Arfvet,1,populated place,populated place
Arlom,1,populated place,populated place
Arvberget,1,hill,elevation
Arvsälsvalen,1,river,stream
Asbysand,1,populated place,populated place
Askskärsfjärd,1,cove,concave shoreline
Askskärsviken,1,cove,concave shoreline
Asparna,1,populated place,populated place
Aspberget,2,populated place,populated place
Aspenäs,1,populated place,populated place
Aspön,6,island,island
Assmundsbruk,1,populated place,populated place
Atra River,1,river,stream
Avagrund,1,rock,elevation
Avagrundet,1,reef,underwater elevation
Avagrunn,1,rock,elevation
Avan,1,point,convex shoreline
Avardo,1,mountain,elevation
Axelstorp,1,populated place,populated place
Backabro,1,populated place,populated place
Backnilsbo,1,populated place,populated place
Backvicken,1,populated place,populated place
Backåkra,1,populated place,populated place
Badasjöarna,1,lakes,basin
Badelundaåsen,1,ridge,elevated area
Baldersgrund,1,rock,elevation
Balingsta,1,populated place,populated place
Balleren,1,lake,basin
