place_category,separate_ending,frequency
basin,<NONE>,502
stream,<NONE>,135
strait,<NONE>,15
shoreline,<NONE>,2
populated place,<NONE>,1132
marsh,<NONE>,37
island,<NONE>,305
elevation,<NONE>,456
elevated area,<NONE>,10
underwater elevation,<NONE>,125
concave shoreline,<NONE>,74
convex shoreline,<NONE>,82
island,Asken,3
elevation,Berget,2
populated place,Bro,2
stream,Elf,3
concave shoreline,Fjord,2
basin,Fjärden,2
basin,Flugen,2
island,Hamnskär,3
populated place,Mellby,3
island,Möja,3
island,Skärgård,3
