name,frequency,place_type,place_category
Aber,1,populated place,populated place
Aber Cowarch,1,populated place,populated place
Aber Geirch,1,inlet,basin
Aber Soch,1,point,convex shoreline
Aber-Brân,1,populated place,populated place
Aber-Menai,1,point,convex shoreline
Aberaeron,1,populated place,populated place
Aberangell,1,populated place,populated place
Aberayron,1,populated place,populated place
Aberdaron,1,populated place,populated place
Aberdaron,1,bay,concave shoreline
Aberdaugleddau,1,populated place,populated place
Aberdovey,1,populated place,populated place
Aberdyfi,1,populated place,populated place
Aberedw,1,populated place,populated place
Abereiddy,1,populated place,populated place
Abererch,1,populated place,populated place
Aberffraw,1,populated place,populated place
Aberffraw,1,bay,concave shoreline
Abergavenny,1,populated place,populated place
Abergorloch,1,populated place,populated place
Abergwaun,1,populated place,populated place
Abergwesyn,1,populated place,populated place
Abergwili,1,populated place,populated place
Abergynolwyn,1,populated place,populated place
Aberhafesp,1,populated place,populated place
Aberllefenni,1,populated place,populated place
Aberllefenny,1,populated place,populated place
Abermule,1,populated place,populated place
Abernant,1,populated place,populated place
Aberporth,1,populated place,populated place
Aberporth,1,cove,concave shoreline
Abersoch,1,populated place,populated place
Aberystwyth,1,populated place,populated place
Adpar,1,populated place,populated place
Aeron,1,river,stream
Afon Aeron,1,river,stream
Afon Alwen,1,river,stream
Afon Artro,1,river,stream
Afon Banwy,1,river,stream
Afon Brân,1,river,stream
Afon Cefni,1,river,stream
Afon Ceirw,1,river,stream
Afon Claerwen,1,river,stream
Afon Clywedog,1,river,stream
Afon Cothi,1,river,stream
Afon Cych,1,river,stream
Afon Cynin,1,river,stream
Afon Cywyn,1,river,stream
Afon Dewi Fawr,1,river,stream
Afon Dulas,1,river,stream
Afon Dwyryd,1,river,stream
Afon Dyfi,1,river,stream
Afon Dysynni,1,river,stream
Afon Eden,1,river,stream
Afon Eirth,1,river,stream
Afon Elan,1,river,stream
Afon Gain,1,river,stream
Afon Glaslyn,1,river,stream
Afon Gronw,1,river,stream
Afon Gwili,1,river,stream
Afon Gwydderig,1,river,stream
Afon Leri,1,river,stream
Afon Lliw,1,river,stream
Afon Llynfi,1,river,stream
Afon Mawddach,1,river,stream
Afon Ogwen,1,river,stream
Afon Prysor,1,river,stream
Afon Rhaiadr,1,river,stream
Afon Rheidol,1,river,stream
Afon Sawdde,1,river,stream
Afon Seiont,1,river,stream
Afon Taf,1,river,stream
Afon Tanat,1,river,stream
Afon Teifi,1,river,stream
Afon Tryweryn,1,river,stream
Afon Twrch,2,river,stream
Afon Twymyn,1,river,stream
Afon Tywi,1,river,stream
Afon Wnion,1,river,stream
Afon Wyre,1,river,stream
Afon Ystwyth,1,river,stream
Allt Wen,1,hill,elevation
Alltmawr,1,populated place,populated place
Alwen,1,river,stream
Alyn,1,river,stream
Amlwch,1,populated place,populated place
Anglesea,1,island,island
Anglesey,1,island,island
Aran Benllyn,1,mountain,elevation
Aran Fawddwy,1,mountain,elevation
Aran Mawddwy,1,mountain,elevation
Arberth,1,populated place,populated place
Arddleen,1,populated place,populated place
Arenig Fach,1,mountain,elevation
Arenig Fawr,1,mountain,elevation
Arianrod,1,rock,elevation
Arthog,1,populated place,populated place
Artro,1,river,stream
Bagillt,1,populated place,populated place
Bagilt,1,populated place,populated place
Bais Bank,1,bank,underwater elevation
Bala,1,lake,basin
Banc-y-felin,1,populated place,populated place
Bancffosfelen,1,populated place,populated place
Bancyfelin,1,populated place,populated place
Bangon,1,populated place,populated place
Bangor,2,populated place,populated place
Banwy,1,river,stream
Bardsey,1,sound,strait
Barmouth,1,populated place,populated place
Barmouth,1,bay,concave shoreline
Barrels,1,reef,underwater elevation
Bastram Shoal,1,shoal,underwater elevation
Bayvil,1,populated place,populated place
Beaumaris,1,populated place,populated place
Begelly,1,populated place,populated place
Beguildy,1,populated place,populated place
Berriew,1,populated place,populated place
Berwyn,1,mountains,elevated area
Berwyn,1,mountains,elevated area
Bettws,1,populated place,populated place
Bettws Cedewain,1,populated place,populated place
Bettws Cedewen,1,populated place,populated place
Bettws Disserth,1,populated place,populated place
Bettws Ffan,1,populated place,populated place
Bettws Garmon,1,populated place,populated place
Bettws Gwerfil Goch,1,populated place,populated place
Bettws Lleiki,1,populated place,populated place
Bettws y Crwyn,1,populated place,populated place
Bettws-Evan,1,populated place,populated place
Blaenau Festiniog,1,populated place,populated place
Blaenau-Ffestiniog,1,populated place,populated place
Blaenpenal,1,populated place,populated place
Blaenporth,1,populated place,populated place
Blaenwaun,1,populated place,populated place
Bleddfa,1,populated place,populated place
Bodedera,1,populated place,populated place
Bodedern,1,populated place,populated place
Bodelwyddan,1,populated place,populated place
Bodewryd,1,populated place,populated place
Bodfari,1,populated place,populated place
Bodfean,1,populated place,populated place
Bodorgan,1,populated place,populated place
Boduan,1,populated place,populated place
Bodvean,1,populated place,populated place
Bola Bleiddyn,1,reef,underwater elevation
Boncath,1,populated place,populated place
Borth,1,populated place,populated place
Borth Bog,1,marsh,marsh
Borth,1,point,convex shoreline
Borth,1,bank,underwater elevation
Borthwen,1,point,convex shoreline
Braich y Pwll,1,point,convex shoreline
Brechfa,1,populated place,populated place
Brecknock,1,populated place,populated place
Brecknock Beacons,1,mountains,elevated area
Brecon,1,populated place,populated place
Brecon Beacons,1,mountains,elevated area
Breidden,1,hill,elevation
Bridell,1,populated place,populated place
Bron Banog,1,mountain,elevation
Bron-nant,1,populated place,populated place
Bronant,1,populated place,populated place
Brondini,1,populated place,populated place
Brongwyn,1,populated place,populated place
Bryn Brawd,1,mountain,elevation
Bryn Garw,1,mountain,elevation
Bryn-crug,1,populated place,populated place
Brynberian,1,populated place,populated place
Bryncir,1,populated place,populated place
Bryncroes,1,populated place,populated place
Bryneglwys,1,populated place,populated place
Bryngwran,1,populated place,populated place
Bryngwyrai,1,populated place,populated place
Brynkir,1,populated place,populated place
Builth,1,populated place,populated place
Bwlch,1,populated place,populated place
Bwlchnewydd,1,populated place,populated place
Bwlchygroes,1,populated place,populated place
Cadair Idris,1,mountains,elevated area
Cader Bronwen,1,mountain,elevation
Cader Fronwen,1,mountain,elevation
Cader Idris,1,mountains,elevated area
Caderddris,1,mountains,elevated area
Cadwgan,1,point,convex shoreline
Cadwgan Reef,1,reef,underwater elevation
Caer Arianrod,1,rock,elevation
Caerfyrddin,1,populated place,populated place
Caernarfon,1,populated place,populated place
Caerwent,1,populated place,populated place
Caerwys,1,populated place,populated place
Caio,1,populated place,populated place
Caldey,1,island,island
Caldey,1,sound,strait
Caldy,1,island,island
Cambrian,1,mountains,elevated area
Camddwr,1,river,stream
Camlyn,1,bay,concave shoreline
Capel Arthog,1,populated place,populated place
Capel Bangor,1,populated place,populated place
Capel Dewi,1,populated place,populated place
Capel Dyffryn Honddu,1,populated place,populated place
Capel Gartheli,1,populated place,populated place
Capel Gwyn,1,populated place,populated place
Capel Iwan,1,populated place,populated place
Capel Ystradffin,1,populated place,populated place
Capel-Cynon,1,populated place,populated place
Capel-Ifan,1,populated place,populated place
Capel-y-ffin,1,populated place,populated place
Cardigan,1,populated place,populated place
Cardigan,1,island,island
Careg Gloyn,1,reef,underwater elevation
Careg Goch,1,shoal,underwater elevation
Careg Hen,1,shoal,underwater elevation
Carew,1,populated place,populated place
Carmarthen,1,populated place,populated place
Carn Llidi,1,hill,elevation
Carn-gron,1,mountain,elevation
Carnarvon,1,populated place,populated place
Carnedd Filast,1,mountain,elevation
Carnedd Wen,1,mountain,elevation
Carnedd y Filiast,1,mountain,elevation
Carnhedryn,1,populated place,populated place
Carno,1,populated place,populated place
Caron Uwch,1,populated place,populated place
Caron-is-Clawdd,1,populated place,populated place
Carreg Coch,1,reef,underwater elevation
Carreg Dwrban,1,point,convex shoreline
