place_category,beginning
concave shoreline,Cem
concave shoreline,Cym
concave shoreline,Aber
convex shoreline,Pen
convex shoreline,Din
elevation,Gar
elevation,Llan
populated place,Tal
populated place,Cyn
populated place,Cil
populated place,Hen
populated place,Gla
populated place,Gwe
populated place,Mae
populated place,Cre
populated place,Tro
populated place,Gro
populated place,Gwa
populated place,Mei
populated place,Mer
populated place,Mar
populated place,Myd
populated place,Cas
populated place,Coe
populated place,Dis
populated place,Ffa
populated place,Lan
populated place,Din
populated place,Cyf
populated place,Rhyd
populated place,Pont
populated place,Bryn
populated place,Nant
populated place,Caer
populated place,Pwll
populated place,Treg
populated place,Bode
populated place,Banc
populated place,Cwmf
populated place,Bron
populated place,Clyd
populated place,Carn
populated place,Gell
populated place,Brec
populated place,Gwyd
populated place,Cric
populated place,Blaen
populated place,Llani
populated place,Felin
populated place,Aberd
populated place,Penrh
populated place,Manor
populated place,Llanv
populated place,Bwlch
populated place,Abera
populated place,Llanh
populated place,Treff
populated place,Llanc
populated place,Llann
populated place,Llano
populated place,Abere
populated place,Garth
populated place,Penna
populated place,Rhos 
populated place,Trele
populated place,Llanll
populated place,Ystrad
populated place,Llangw
populated place,Llango
populated place,Llangr
populated place,Llanar
populated place,Llanyc
populated place,Abergw
populated place,Llangi
populated place,Llanfy
populated place,Llanyb
populated place,Eglwys
populated place,Llandi
populated place,Llangu
populated place,Llando
populated place,Llanst
populated place,Llanfae
populated place,Llandeg
populated place,Llangyn
populated place,Llanell
populated place,Llanbad
populated place,Dolgell
populated place,Llangad
populated place,Llandde
populated place,Llanrhy
populated place,Llanwrt
populated place,Llandefa
populated place,Dyffryn 
populated place,Llandyss
populated place,Llangenn
populated place,Llangatt
populated place,Llantris
populated place,Llandeilo
populated place,Llansaint
