name,place_category,frequency
Aberaeron,populated place,1
Aberangell,populated place,1
Aberayron,populated place,1
Aberdaron,concave shoreline,1
Aberdaron,populated place,1
Aberdaugleddau,populated place,1
Aberdovey,populated place,1
Aberdyfi,populated place,1
Aberedw,populated place,1
Abereiddy,populated place,1
Abererch,populated place,1
Aberffraw,concave shoreline,1
Aberffraw,populated place,1
Abergavenny,populated place,1
Abergorloch,populated place,1
Abergwaun,populated place,1
Abergwessin,populated place,1
Abergwesyn,populated place,1
Abergwili,populated place,1
Abergynolwyn,populated place,1
Aberhafesp,populated place,1
Aberllefenni,populated place,1
Aberllefenny,populated place,1
Abermule,populated place,1
Abernant,populated place,1
Aberporth,concave shoreline,1
Aberporth,populated place,1
Abersoch,populated place,1
Aberystwyth,populated place,1
Adpar,populated place,1
Allt Wen,elevation,1
Alltmawr,populated place,1
Alwen,stream,2
Alyn,stream,1
Amlwch,populated place,1
Anglesea,island,1
Anglesey,island,1
Ap Wridden,elevation,1
Ar Caeau,populated place,1
Arberth,populated place,1
Arddleen,populated place,1
Arianrod,elevation,1
Arthog,populated place,2
Arthur,elevation,1
Artro,stream,2
Bach,elevation,2
Bach,populated place,1
Badrig,island,1
Bagillt,populated place,1
Bagilt,populated place,1
Bais,underwater elevation,1
Bala,basin,1
Banc,populated place,1
Banc Y Felin,populated place,1
Bancffosfelen,populated place,1
Bancyfelin,populated place,1
Bangon,populated place,1
Bangor,populated place,3
Banwy,stream,2
Bardsey,strait,1
Barmouth,concave shoreline,1
Barmouth,populated place,1
Barrels,underwater elevation,1
Bastram Shoal,underwater elevation,1
Bayvil,populated place,1
Beaumaris,populated place,1
Begelly,populated place,1
Beguildy,populated place,1
Benar,convex shoreline,1
Benllyn,elevation,1
Berriew,populated place,1
Berwyn,elevated area,2
Blaenau Festiniog,populated place,1
Blaenau Ffestiniog,populated place,1
Blaenpenal,populated place,1
Blaenporth,populated place,1
Blaenwaun,populated place,1
Bleddfa,populated place,1
Bodedera,populated place,1
Bodedern,populated place,1
Bodelwyddan,populated place,1
Bodewryd,populated place,1
Bodfari,populated place,1
Bodfean,populated place,1
Bodorgan,populated place,1
Boduan,populated place,1
Bodvean,populated place,1
Bola Bleiddyn,underwater elevation,1
Boncath,populated place,1
Borth,convex shoreline,1
Borth,populated place,2
Borth,underwater elevation,1
Borth Bog,marsh,1
Borthwen,convex shoreline,1
Braich Y Pwll,convex shoreline,1
Brain,populated place,1
Brawd,elevation,1
Bre,elevation,1
Brechfa,populated place,1
Brecknock,elevated area,1
Brecknock,populated place,1
Brecon,elevated area,1
Brecon,populated place,1
Brefi,populated place,1
Breidden,elevation,1
Bridell,populated place,1
Bron Banog,elevation,2
Bron Nant,populated place,1
Bronant,populated place,1
Brondini,populated place,1
Brongwyn,populated place,1
Bronwen,elevation,1
Brynberian,populated place,1
Bryncir,populated place,1
Bryncroes,populated place,1
Bryneglwys,populated place,1
Bryngwran,populated place,1
Bryngwyrai,populated place,1
Brynkir,populated place,1
Bugael,island,1
Builth,populated place,1
Bwch,convex shoreline,1
Bwch Du,convex shoreline,1
Bwlch,populated place,1
Bwlchnewydd,populated place,1
Bwlchygroes,populated place,1
Byr,island,1
Bâch,populated place,1
Cadair Idris,elevated area,1
Caderddris,elevated area,1
Cadlan,concave shoreline,1
Cadwgan,convex shoreline,1
Cadwgan Reef,underwater elevation,1
Cae,populated place,1
Caer,convex shoreline,1
Caer Arianrod,elevation,1
Caereinion,populated place,1
Caerfyrddin,populated place,1
Caernarfon,populated place,1
Caerwent,populated place,1
Caerwys,populated place,1
Caio,populated place,2
Caldey,island,1
Caldey,strait,1
Caldy,island,1
Cambrian,elevated area,1
Camddwr,stream,1
Camlyn,concave shoreline,1
Cardigan,island,1
Cardigan,populated place,1
Carew,populated place,1
Carmarthen,populated place,1
Carnarvon,populated place,1
Carnhedryn,populated place,1
Carno,populated place,1
Caron Is Clawdd,populated place,1
Caron Uwch,populated place,1
Carrog,populated place,1
Cascob,populated place,1
Castell,concave shoreline,1
Castell Newydd Emlyn,populated place,1
Castlemartin,populated place,1
Cathedine,populated place,1
Cayo,populated place,1
Cedewain,populated place,1
Cedewen,populated place,1
Cefn Y Pant,populated place,1
Cefneithin,populated place,1
Cefni,stream,1
Ceirw,stream,2
Cellan,populated place,1
Cemaes,concave shoreline,1
Cemaes,convex shoreline,1
Cemaes,populated place,1
Cemlyn,concave shoreline,1
Cemmaes,concave shoreline,1
Cemmaes,convex shoreline,1
Cemmaes,populated place,2
Cenmaes,convex shoreline,1
Cerwyn,elevation,1
Chain,convex shoreline,1
Chwilog,populated place,1
Cil,convex shoreline,1
Cilan,convex shoreline,1
Cilcain,populated place,1
Cilcennin,populated place,1
Cilgerran,populated place,1
Ciliau,populated place,1
Cilrhedyn,populated place,1
Ciwydian,elevated area,1
Claerwen,stream,2
Clawdd,populated place,2
Cleddau,stream,1
Cliperau,convex shoreline,1
Clocaenog,populated place,1
Clogwyn Du’r Arddu,elevation,1
Clunderwen,populated place,1
Clwyd,stream,1
Clwydian,elevated area,1
Clydach,populated place,1
Clydey,populated place,1
Clydogau,populated place,1
Clynderwen,populated place,1
Clyro,populated place,1
Clywedog,stream,3
Coch,underwater elevation,1
Coed Talon,populated place,1
Coedana,populated place,1
Coelbren,populated place,1
Corris,populated place,1
Cors Ddaugae,marsh,1
Cors Fochno,marsh,1
Corwen,populated place,1
Cothi,stream,1
Cowarch,populated place,1
Coy,populated place,1
Cregina,populated place,1
Cregrina,populated place,1
Creiddyn,populated place,1
Creuddyn,populated place,1
Cribach,convex shoreline,1
Cribyn,populated place,1
Criccieth,populated place,1
Crickadarn,populated place,1
Crickadorn,populated place,1
Crigyll,concave shoreline,1
Crinow,populated place,1
Croes Goch,populated place,1
Croesyceilog,populated place,1
Crug,populated place,1
Crug Fâch,elevation,1
Crunwear,populated place,1
Crwbin,populated place,1
Crwyn,populated place,1
Crymmych,populated place,1
Crymych,populated place,1
Cwellyn,basin,1
Cwman,populated place,1
Cwmann,populated place,1
Cwmbach,populated place,1
Cwmcerwyn,elevation,1
Cwmduad,populated place,1
Cwmfelin,populated place,1
Cwmfelin Mynach,populated place,1
Cwmffrwd,populated place,1
Cwmffwrd,populated place,1
Cwmorgan,populated place,1
Cwmpencraig,populated place,1
Cwnfelin,populated place,1
Cwrt,populated place,1
Cych,stream,1
Cydweli,populated place,1
Cyffic,populated place,1
Cyffylliog,populated place,1
Cyfyn,populated place,1
Cymmean,concave shoreline,1
Cymmeran,concave shoreline,1
Cymmerau,populated place,1
Cymyran,concave shoreline,1
Cynfelin Patches,underwater elevation,1
Cynfelyn Patches,underwater elevation,1
Cynfyn,populated place,1
Cynghordy,populated place,1
Cynheidre,populated place,1
Cynin,stream,1
Cynllwyd,depression,1
Cynnen,stream,1
Cynon,populated place,1
Cynwyd,populated place,1
Cynwyl Elfed,populated place,1
Cyrn Y Brain,elevation,1
Cywyn,stream,2
Dafydd,populated place,1
Dal Aderyn,convex shoreline,1
Dale,convex shoreline,1
Dandderwen,populated place,1
Darowen,populated place,1
Ddinas,basin,1
Denbigh,populated place,1
Derwen,populated place,1
Deullyn,convex shoreline,1
Devynock,populated place,1
Dewi,populated place,1
Dewi,stream,1
Dihewid,populated place,1
Dihewyd,populated place,1
Dinas,basin,1
Dinas,convex shoreline,1
Dinas Mawddwy,populated place,1
Dinbych Y Pysgod,populated place,1
Dinlleyn,concave shoreline,1
Dinlleyn,convex shoreline,2
Dinlläen,concave shoreline,1
Dinlläen,convex shoreline,1
Dinorwic,populated place,1
Diphwys,elevation,1
Discoed,populated place,1
Discoyd,populated place,1
Disserth,populated place,1
Doc Penfro,populated place,1
Dolanog,populated place,2
Dolau,populated place,2
Dolbenmaen,populated place,1
Dolgellau,populated place,1
Dolgelley,populated place,1
Dolgelly,populated place,1
Dolgran,populated place,1
Dovey,stream,1
Drefach,populated place,1
Drysllwyn,populated place,1
Dryslwyn,populated place,1
Du,convex shoreline,1
Du Point,convex shoreline,1
Dulas,concave shoreline,1
Dulas,island,1
Dulas,stream,2
Dwlban,convex shoreline,1
Dwrban,convex shoreline,1
