place_category,separate_ending,frequency
basin,<NONE>,2
populated place,<NONE>,639
island,<NONE>,4
stream,<NONE>,42
convex shoreline,<NONE>,6
elevation,<NONE>,11
elevated area,<NONE>,4
stream,Aeron,2
populated place,Aeron,2
underwater elevation,Bank,2
elevated area,Beacons,2
populated place,Boeth,2
populated place,Bont,2
populated place,Brân,2
populated place,Fach,2
elevation,Fach,4
elevation,Fawr,8
stream,Fawr,2
populated place,Fawr,3
populated place,Groes,4
populated place,Gwyn,3
populated place,Newydd,3
stream,Tanat,3
stream,Twrch,4
