English,land
Czech,země
Danish,land
Estonian,maa
Estonian,riik
Finnish,maa
French,
German,land
Gothic,land
Greek,chora
Hawaiian,aina
Hindi,desh
Icelandic,land
Indonesian,Negara N
Khmer,Prateih N
Lao,Pa thet N
Latvian,zeme
Lithuanian,kraštas 
Lithuanian,šalis 
Malay,Negara N
Norwegian,land
AngloSaxon,land
Iranian,stan
Polish,ADJM kraj
Polish,ADJF krajina
Polish,ADJF ziemia
OldSlavic,ADJF krajina
OldSlavic,ADJF zemlja
OldSlavic,ADJF strana
Portuguese,Terra N
Quechua,marka
Romanian,țară
Russian,ADJM kraj
Russian,ADJF zemlja
Irish,Tir N
SerboCroatian,ADJF zemlja
SerboCroatian,ADJF krajina
Spanish,Terra N
Swahili,nchi?
Swedish,land
Thai,Pratet N
Turkish,
Welsh,Tir N
Welsh,Gwlad N
